Word,Riddle,Class
moon ,"i can be a quarter , i can be a half, i can be full, but the other side of me you'll never know.  What am i ?!",what am i
hand,I am a body part. Thats attached to your wrist. When I have been curled up. I am known as a fist. What am I?,what am i
doorbell,"My voice rises above the din, sometimes catching all unaware. I never ask questions, yet get many answers. What am I?",what am i
voice,"I am everywhere but cannot be seen captured or held, only heard, what am i?",what am i
eye,I am pronounced as a one letter alphabet. I am written with three letters. I am complete with just two letters. I am double. I am blue I am black I am brown I am gray I am yellow and I am green. I can read from both ends. I appear the same every way!  What am I?,what am i
lemonade,I am often sold by children entrepreneurs in summer time. What am I?,what am i
cabinet,I am a seven lettered word; my first three letters refer to a place a driver sits in a bus. My first five letters refer to a small room on a ship; my middle three letters is a container people put waste in. My last three letters refer to one which catches fish. My whole refer to a furniture with doors. What am I?,what am i
lie,It gets passed among men and builds without growing. It serves to injure from a source unknowing. What is it?,what is it
fart,"When I am released to the wind, you look away and you pretend, but away your friends I will send. What am I?",what am i
feet,"I rise and fall no matter what, only at finals rest do I not budge, what am I?",what am i
fingernails,"I can be long, or I can be short. I can be grown, and I can be bought. I can be painted, or left bare. I can be round, or square. What am I?",what am i
silk,"The fisherman loves me, doctors hates me,children loves me,what am i?",what am i
wedding ring,A child doesn't have one of me. Most parents do. Rich people have expensive ones. I can be bought or given and I mean a lot.I can be decorated or just plain.I vary in sizes and I'm difficult to forget. What am I?,what am i
coffee maker,Discharging is what I do.It's my way of serving you. Ingredients you supply.Extract their essence do I. Push my buttons; make me start.Now it's time to do my part. A tumultuous event.During which I've steam to vent. A contrivance that expels.Found in the place where one dwells. I deliver refreshment.A most worthwhile investment. What am I?,what am i
wheelbarrow,"Two legs I have, and this will confound, only at rest do they touch the ground. What am I?",what am i
sloth,I am not very commonly found! Only in some rainforest! I have an odd number of toes! I'm very lazy and hang upside down! What am I?,what am i
glasses,"You Wear Me To See, You wear me To Read, If I'm Not There Will You Just Care?, I Bet You cant Even See Without Me                                                                                                                                                                                             What Am I?",what am i
guilt,The restraining hand It keeps us from going From doing horrible things Hard to live with What is it?,what is it
leaf,When I am alive I stay put where I am. It is only when I am dead that I move about here and there.  Who am I?,who am i
water,"Always in you, Sometimes on you;If I surround you, I can kill you.What am I?",what am i
lion,"On the sixth day, God made me. Adam then was ordered to name me. Then after quite some time, a very strong man.With God's help, tore me apart with his own hands. Then a most unfortunate young man of the dead king.Was put in a hole filled with some brothers and me. However, an angel of God came down into the hole, And then our mouths were shut, and we couldn't eat the poor soul. My next big moment was beside God's throne, Where I stand guard with six wings of my own. You'll most often see me in zoos and parks. Be careful though, 'cause I could tear you apart. What am I?",what am i
stoplight,"Three eye's have I, all in a row.   When red, all freeze.   What am I?",what am i
splinter,"You went into the forest and got me,you sat down to find me,you went home with me because you couldn't find me.What am I?",what am i
violin,"My voice is tender, my waist is slender and I'm often invited to play. Yet wherever I go I must take my bow or else I have nothing to say. What am I?",what am i
restroom,"Babys never use it, older poeple have to use it and some poeple can't use it.  What is it?",what is it
key,"I come in different shapes and sizes. Parts of me are curved, others are straight. You can put me anywhere you like, but to do my job I only have one right place.  What am I?",what am i
mind,I am everything to somone but nothing to everyone else. What am I?,what am i
riddle,WHEN YOU KMOW WHAT I AM I AM SOMETHING BUT WHEN YOU DON'T KNOW WHAT I AM THEN I AM NOTHING.  WHAT AM I?,what am i
bookkeeper,"If it's information you seek, come and see me. If it's pairs of letters you need, I have consecutively three. What am I?",what am i
camera,I have one eye. See near and far. I hold the moments you treasure and the things that make you weep. What am I?,what am i
wedding ring,I'm made for one but meant for two; I can be worn for many years but usually just a few; You won't ever need me unless you say you do.   What am I?,what am i
wood,"Walk all over me. Treat me like dirt. Because all in all those things will not hurt. Step on me, but be careful I may hurt you. But it's not something I mean to do. I only hurt you when I'm not taken care of, and then I may hurt the people you love. You see me every day and take me for granted. I come in all shapes and sizes and can even be painted. It's easy to get stains all over me. Some people actually like it once they see. I can be really heavy or light as a feather. And sometimes can't survive the harsh, wet weather. But most importantly of all I keep you safe and dry. As long as I am taken care of properly I won't die. I can live for a long time - outlive even you. Even after I'm dead that's one of the many things I can do. People use me when I'm alive and use me when I'm dead. And use me when they are alive and when they are dead too. I come in handy with all kinds of neat stuff. But you can burn me badly with one single puff. What Am I?",what am i
hourglass,"Two bodies have I,   though both joined in one.    The more still I stand,   the quicker I run.     What am I?",what am i
Stonehenge,"A circle of stones, never in rows. Stacked one on the other, mystery it sows. What is it?",what is it
crab,"Holding two swords and eight spears and dressed in a cow-leather tunic, I peek through a hole in the door. What am I?",what am i
Ping-pong balls.,"I am served at a table, In gatherings of two or four. Served small, white and round. You'll love some, And that's part of the fun.What am I?",what am i
victory,"I can have a lap, Sometimes I am at hand, For Bette, I am dark, And winged in ancient land. What am I?",what am i
hindsight,"I'm never there when you need me, For me you'll have to wait,  I'll provide a wealth of knowledge, But always just too late,  What am I?",what am i
suicide,A certain crime is punishable if attempted but not punishable if committed.  What is it?,what is it
scarecrow,I can be hairy and itchy all over. I hang on a stick. I can be the scariest thing you have ever seen. I stand in the middle of nowhere. What am I?,what am i
coin,I have a head a tail but never any legs what am I?,what am i
Love,"I hurt the most when lost, yet also when not had at all. I'm sometimes the hardest to express, but the easiest to ignore. I can be given to many, or just one. What am I?",what am i
Gravity,"The tallest trees fall, at my glorious call, some may resist, but only for so long. What am I?",what am i
shadow,"From the secret world he came, Upon this life to settle. A friend of every enemy, With him forever to stay. Dies when the sun sets, Alive when the cock awakes, Tall when the burning disk is beyond the hills, Short when he shares your lunch. Who is it?",who is it
choice,"What is it that given one, you'll have either two or none?",what is it
knowledge,"Some will use me, while others will not, some have remembered, while others have forgot. For profit or gain, I'm used expertly, I can't be picked off the ground or tossed into the sea. Only gained from patience and time, can you unravel my rhyme? What am I?",what am i
teapot,"""I start with ""T"", ends with ""T"", and within me is ""T"". What am I?""",what am i
caskit,"The person who made it never used it and the person who used it never saw it, what is it?",what is it
tablet,"People often look at me, especially kids.  Although I have harmful light, they still look at me until they are blind.  I was not used by kids when they are in school or when they do not get good results for their exams.  What am I?",what am i
pupil,"Different lights do make me strange, thus into different sizes, I will change. What am I?",what am i
Bananas,"A time when they are green, a time when they're brown, but both of these times, cause me to frown. But just in between, for a very short while, They're perfect and yellow and cause me to smile!What am I talking about here?",what am i
pride,"I can be swallowed, but i can also swallow you what am i ??",what am i
Shoes,What is it that is full all day and empty at night?,what is it
smile,"The more you crack it, the more people like you. What is it?",what is it
shadow,"I am born when the lihgt is born, I die when the light is dead, I am the opposite of light and brightness but I am still what they give birth to.  What am I?",what am i
mystery,"What is unknown and remains unsolved, The answer is there, but hidden all along, You can think and think, but it's like a puzzle, Atlantis is one - does it even exist? I seem like a giant shadow of mist, So answer me now, Do you dare to try? Tell me now, what am I?",what am i
butterfly,"Although my name suggests, I am not a dairy product.   I am always drunk but neither wine, beer or spirits have I drunk;  My life begins without wings, but later I turn to flight.   What am I?",what am i
computer mouse,i move up and down side to side i plug in to somthin what am i,what am i
diamond,"My name denotes wealth and beauty, glamorous am I. Desired by many, owned by some, I will certainly catch your eye. I come in many shapes and sizes, a bountiful selection. Bigger isn't always better in this particular collection. My value is judged by a single letter, rating me in four different ways. I am the bearer of good news on certain happy days. But if handled carelessly, I will leave a scar. And if you test me, you will see your reflection I can mar. What am I?",what am i
ruler,I am a kind who is good at measuring things.   What am I?,what am i
reflection,I can be found in water but never wet. What am I?,what am i
coin,"I am two-faced but bare only one, I have no legs but travel widely. Men spill much blood over me, kings leave there imprint on me. I have greatest power when given away, yet lust for me keeps me locked away.What am I?",what am i
watermelon,"Surrounded by green, surrounding white.Inside is red, holding many black babies.What is it?",what is it
chair,I HAVE FOUR LEGS BUT CANNOT RUN AND I HAVE TWO ARMS BUT I CANNOT GRAB.  WHAT AM I?,what am i
correctly,I am the word that is always spelled correctly by everyone what am i ??,what am i
subling,"I've got your back, but I can let you down.   I can tell te truth, but I can also lie.   I can be nice, but also mean.   I can make you laugh, but I can make you cry.   I can stay the same,but I can change.   What am I?",what am i
tailed white hen,i have a tail i live in a jungle i have white spots.  what am i?,what am i
beautiful butterfly,"A very pretty thing am I, fluttering in the pale-blue sky.    Delicate, fragile on the wing, indeed I am a pretty thing.    What am I?",what am i
scale,"bill has been married for ten years,and his wife says,""my anniversary present better be on the driveway tommarow, and it better go from 0-200 in 2 seconds. "" a small package shows up for her the next morning, what is it?",what is it
your breath,"Light as a feather,  Nothing in it,  Few can hold it,  For more than a minute.    What is it?",what is it
human race,"I am too big to comprehend.A certain thing that will never end.I never cease to make a sound.My total number cannot be found.I live on the earth, depend on the sun.I am a race that can never be won. What am I?",what am i
your word,"Even if you give this to someone else, you still get to keep it.    What is it?",what is it
airplane,"I have wings, so I can fly. I__ not a bird, but I soar high in the sky. What am I?",what am i
comb,"I have teeth, but I don__ eat. What am I?",what am i
windmill,i have four wings but cannot fly i never laugh and never cry you can spot me on the same place as before i'm alwas foud tailing away with a little soud what am i,what am i
tree,"I am mother and father, but never birth or nurse. I'm rarely still, but I never wander.What am I?",what am i
writeright,"I'm done with a hand, one at a time; A motion to make words, but not to make lines; I'm known as correct, and as a way, in a way; And even if you don't take me away, none of me would be left.  What am I?",what am i
skirt,"The smaller I am, the higher I am. The bigger I am, the lower I am. What am I?",what am i
cd,"I am round and shiny, I have two sides.   Sounds come out yet I have no mouth.   I need some help to let my sound come out.   I have a hole somewhere in me.   What am I?",what am i
purr,I am a sound made by felines when petted. What am I?,what am i
paint,"I am neither liquid, nor solid, or gas. I am used to create famous things, but I do not get any fame. If you merge solid and liquid you will find the other part of who I am. What am I?",what am i
magnet,"i come in many shapes and sized, many colors and i stick to many surfaces, but i am in fact not sticky at all.  What am i?",what am i
clock,"I have a face but no eyes, hands but no arms. What am I?",what am i
bicycle,This guy runs fast but cannot stand. People ride this horse that never eats grass. What is it?,what is it
bicycle,"I can carry you around; you can carry me as well; not a living thing, yet, I run faster than as you do but not without your help. I have as many legs and hands as every man has; round are my legs: one before and the other behind. The cycle is never out of my name. What am I?",what am i
moon,"I've existed for Trillions of years, but only been around for 30 days. What am I?",what am i
fire,I truly am cause for alarm. When you see me you can lose your house or your life. When you hear me you can also lose your job. What am I?,what am i
potato,I have eyes but im blind and I have skin but I no blood.  I was once alive but now I'm not.  What am I?,what am i
sword,"Remembered are the days when I was used, bloodied and beaten.  I was abused. Death surrounded me, and it mattered not, as no matter the pain I inflicted, I'd never rot. What am I?",what am i
swimming pool,"I am filled up, however never go down. Spend a day with me and you won't frown. Sometimes I'm cold, other times I am not so bad. When you jump out of me, you won't be glad! what am I?",what am i
arrow,"I have many feathers to help me fly. I have a body and head, but I'm not alive. It is your strength which determines how far I go. You can hold me in your hand, but I'm never thrown. What am I?",what am i
daughter,I am a mother's child and a father's child but nobody's son.  What am I?,what am i
red herring,My first can be seen after lack of sun protection.My second you may find in the meat and fish section.My whole intends to lead you in the wrong direction. What am I?,what am i
eye,When getting someones attention. This is what you might try to catch. And if youre a pirate at sea. It might be covered by a patch. What am I?,what am i
wave,"One of whose personalities are dual.And without which, one would stumble like a fool. One drum produces and the other receives.I transport what's sent, and the brain then perceives. Boards cure boredom at a coastal location.Contingent upon my manifestation. A transient gesture when our paths diverge.Subsequently prompted when you reemerge. What am I?",what am i
water,"Three lives have I.    Gentle enough to soothe the skin,   Light enough to caress the sky,   Hard enough to crack rocks.   What am I?",what am i
log,"In your fire you hear me scream, creaking and whining, yet i am dead before you lay me in your hearth what am i ??",what am i
hairbrush,"I break knots in every strand, Helping those who have it at hand, Often found inside the spot, Where cleaning's done quite a lot. What am I?",what am i
Jack-in-the-Box.,"Play my music, if you dare. Turn my crank, although I'm square. Stand back, or get a scare, when you see my surprising glare.What am I?",what am i
Water.,"I am essential to life, yet I can take your breath away. I am both in you and around you. What am I?",what am i
tongue,"Often held but never touched, always wet but never rusts, often bites but seldom bit, to use me well you must have wit.     What am I?",what am i
leave,"What am i doing if i ""split""?",what am i
michael jackson,I have an amusement park in my back yard.   I wear white gloves.   I love children. . .  alot.   I am black with a white face.   Who am I?,who am i
shampoo,Not a comb or a brush but makes the hair feel plush. What is it?,what is it
nose,What is it that smells most in a perfume shop?,what is it
hope,"Absence of me is like absence of life. I come from desire and your wishes and strife. I'm a vision of a time when good will prevail. I'll help you where courage might falter or fail. I am your dream, anticipation, ambition, I have set many an optimist on a mission. I am frequently there for all those in need. Without me your life would seem quite bleak indeed. What am I?",what am i
skeleton,"Feared and representing death, Yet without me you cannot live. Life surrounds me from the start, Yet I remain long after life does depart. What am I?",what am i
sleep,"""If I say I'm going to ""hit the sack"", what am I going to do?""",what am i
tide,"Sometimes I'm high and sometimes low,and I creep between your toes.My orders come from the sky,I make men fall and rise.What am I?",what am i
fly,"You may envy me, When you want to snoop. But the waiter gets hostility, If you find me in your soup. What am I?",what am i
wedding ring,"I am something, I am endless as chain.  Once you have me you are bound for life but young girls want me.  What am I?",what am i
gun,"I DOES NOT HAVE FEVER, BUT I STILL EAT GOLLI, I WHEN GO AHEAD, ALL PEOPLE DANCES WHO AM I?",who am i
sunflower,I am black of eye and bright of hair. I fast in to the ground and follow my lord as he races around the world. What am I?,what am i
odometer,"Travel a mile and I will change, travel a million and I will end as I started. What am I?",what am i
lobster,I go into the water black and come out red.  What am I?,what am i
birthday,"Sometimes I am loved, Usually by the young. Other times I am dreaded, Mostly by the old ones. I am hard to remember, Also hard to forget. And yet if you do, You'll make someone upset. I occur every day Everyone has to face me. Even if you don't want it To happen; embrace me. What am I?",what am i
kung fu,"My first is in Kendo, but not in Olympics. My second is in hurdles and hunting. My third is in bowman and bowling. My fourth is in cycling and golf. My fifth is in flying, but not in swimming. My sixth is in running, but not in dancing. My whole is a sport. What am I?",what am i
music,"Found at weddings and funerals.and other important rites, I can be learned as a child, I am older than monks and medieval knights. I can make you rich as royalty, I can make you poor as dirt, but one thing is certain, I have more power than words to ease your hurts. I always have five lines and four spaces, But I could have more than that--.Now it's time for you to guess my name, Put on your thinking hat!  What am I?",what am i
skeleton,"i have legs, and i have arms. i have a back,too. i am not alive. what am i?",what am i
dragon,"I am rather large and usually majestic. I am every hue of the rainbow I can eat you, I may heat you, You only wish you could see me. What am I?",what am i
blood bank,Deposit red liquid in me.  What am I?,what am i
tentacles,I can make an octopus laugh. What am I?,what am i
file,"in me there is a place 4 everything, and everything is in its place                           WHAT AM I????",what am i
flashlight,I am at your hand when it is dark and hidden away in the light. What am I?,what am i
word pig,My first is twice in apple but not once in tart.  My second is in liver but not in heart.  My third is in giant and also in ghost.  Whole I'm best when I am roast.  What am I?,what am i
pupil,I am in your eye. I am a school child. I am a word of five. What am I?,what am i
seed,"First I am one, then I seem none, in death I birth new life. What__ raised exceeds me, for on bent knee, I add to a world that__ rife. What am I?",what am i
hay,"You can tumble in it, Roll in it, Burn it, Animals eat it, Used to cover floors, Still used beyond stall doors.  Freshens whatever it is placed on, Absorbs whatever is poured into it.  What is it?",what is it
tombstone,"Marking mortal privation, when firmly in place. An enduring summation, inscribed in my face.What am I?",what am i
radio,I pick up things you can neither see nor hear. I send out things you can hear but cannot see. What am I?,what am i
Valentine,"Roses are red, Violets are blue; And I'm forever saying: I love you. What am I?",what am i
Knowledge.,"Many underestimate my importance, yet without me this world couldn't possibly survive. I come naturally for some, but others both try and struggle to obtain me. I can change your future for the better, but that doesn't mean it will be easier. What am I?",what am i
television,"I am black as night but can be filled with light. Through me things can be seen, although it is a screen. What am I?",what am i
road,I am longer than trees I am longer than earth . but lower than grass What am I?,what am i
secret,If you want me you'll have to share me but if you share me I will be gone. What am I?,what am i
bat,I am an object which is used in baseball. During the day I can't be seen at all. What am I?,what am i
soda pop,"Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes.What am I?",what am i
tv,"you choose when i make a sound, how i make a sound and how loud it will be.  i move but i dont what am i",what am i
violin,"My voice is tender, my waist is slender and I'm often invited to play.  Yet wherever I go I must take my bow or else I have nothing to say.  What am I?",what am i
teaser,I sometimes sound like.Hey diddle diddle the cat and the fiddle.But I'm not a nursery rhyme. And  if you're here reading a lot .You'll see me all of the time. What am I ?,what am i
priest,I have married many women but has never been married. What am I?,what am i
shadow,"When I walk, it walks. When I run, it runs. When I scream it does nothing. I may wear coloured clothes, But its colour doesn't change.  What is it?",what is it
candle,All my life I eat but when I drink I die what am I?,what am i
steps,"The more of these you take, the more appear behind you.  What am I?",what am i
cat,"I am one with eight to spare, lest I lose my one.I'm not a number.What am I?",what am i
table,"Four legs I do have, yet I never walk. I work not, yet I have food. All the food I get, none do I eat but you do. I cannot read yet many times I'm found with books. I am only but a carpenter's work. What am I?",what am i
silence.,You can't see me. You can't touch me. You can't hear me. You can't taste me. You can use me or create me. You can find me. I can be interrupted easily. Some enjoy me and othes fear me. What am I?,what am i
blow dryer,I am currently drying  Though I've never been wet  I keep on sighing   But keep still drying yet  If I get wet a terrible site   Being so close to whats wet  do understand why I feel a threat?   What am I?,what am i
live,"Spelled forwards I'm what you do everyday, spelled backwards I'm something you hate.   What am I?",what am i
spider,"I move without wings, between silken strings, I leave as you find, my substance behind.What am I?",what am i
fondue,"I was very popular at one time in my life, but I guess I was just a fad.  But, you can still find me melting away at your taste buds.  The pyramids on the boxes are a big clue.  By looking into the hot flame, my kettle is very hot with liquid glue.  What am I?",what am i
coconut,"A little pool with two layers of wall around it. One white and soft and the other dark and hard, amidst a light brown grassy lawn with an outline of a green grass. What am I?",what am i
write,"I'm done with a hand, one at a time; A motion to make words, but not to make lines; I'm known as correct, and as a way, in a way; And even if you don't take me away, none of me would be left. What am I?",what am i
globe,"Every nation do I know, But so rarely do I go.Anywhere, Sometimes people.Come and stare, Touch me here, And poke me there, Spin me round, Then leave me alone .When what they sought, They have found. What am I?",what am i
asteroids,"Large as a mountain, small as a pea,   Endlessly swimming in a waterless sea.    What am I?",what am i
lasso,I'm made of rope.Farms and rodeos I'm used on.I capture things.And I'm the Phantom of the Opera's favorite weapon. What Am I?,what am i
egg,"After I am made, You break me and re-make me. What am I?",what am i
your breath,"What is disgusting, but not seen, Deadly, makes your face green, is shoved up in your face, let's you know when you need space, is terrible to smell, really makes you want to yell.  what am i?",what am i
Your picture!,"I look like you, but I am not you. You can blow me up or find me in a wallet. Share me or frame me, both are nice. What am I?",what am i
liar,"I have:2 heads,20 feet,52 arms,2 hands,and one mouth,what am I?",what am i
wind,I am bigger than elephant but lighter than a feather. What am I?,what am i
circle,Found in pizza but also the sky. You'll know I'm around when I'm close by. What am I?,what am i
wood,I'm used for hitting dimples farther than iron. Get tactile with me if it's luck you rely on. What am I?,what am i
Ohio,As a state in America. I am round on both sides and high in the middle. What am I?,what am i
fear,"I watch you sleep, I haunt you by day. You stare at me and saw nothing, but darkness. What am I?",what am i
conveyor belt,"I travel the same path day after day, a never ending loop that is to say. I have many uses, many indeed, for each I may travel a different speed. I am commonly associated with an assembly line, a transporter which can stand alone or be part of many in a vine. I can move an object from point A to point B, not a person is needed, leave it all to me. I am furthermore found in many a store, a helping hand to do a chore. Now please tell me, if you will, what am I, which hardly stands still?",what am i
antarctica,"Although much water you see, by definition, ""desert"" fits me. In the winter I double in size, but staying away is a word for the wise. I am very windy, that is a clue, What am I? Good luck to you.",what am i
pencil,"I come from a mine and get surrounded by wood.   Everyone uses me, what am I?",what am i
vampire,"My teeth are sharp, I'm ready to feed, I come out at night, To fulfill my need, There are movies about me, I can be seen on T.V., I can hunt by myself, And my prey almost always flees. What am I?",what am i
Titanic,"Over 1,000 people went down on me. I wasnt a maiden for long. Something really big and hard ripped me open. What am I?",what am i
headache,"Not imagined, but a product of your brain.I'm an uninvited guest who brings you pain. Shelf-stored intervention may well defeat me.Though I'll leave on my own eventually. I may cause your performance to diminish.My start is identical to my finish. What am I?",what am i
robin,"Many lose wealth at the sound of my name, and my coat is the color of fire and flame.   I am crime, I fight crime, by wing I take flight, but I fly by day, and my partner by night.   Who am I?",who am i
wing,"Alone, I lack balance, but in a pair, I take off. At work, I have rhythm, and at rest, I lay on the side. What am I?",what am i
match,"I have a head, but do not think, I contain a metal, but it's not zinc, It is wood, that I mostly am, I will be handy, when on a camp, You may find me, in people's homes, As a house, or as a boat, I'll be in a bottle, or a box, For on my own I'll be lost. What am I?",what am i
evergreen,"In the forest, this blends in just right, but every december it is covered with lights what is it?",what is it
kitchen strainer.,"Big as a biscuit, deep as a cup, even a river can't fill it up. What is it?",what is it
clock,"This thing runs but cannot walk, sometimes sings but never talks. Lacks arms, has hands; lacks a head but has a face. What is it?",what is it
hour-glass,"My first is a part of the day,My last a conductor of light,My whole to take measure of time,Is useful by day and by night.What am I?",what am i
god,if you think you got it answer this  i an the and and thee i am ever thing    what am i?,what am i
umbrella,"Carry me with you and I will keep your hair dry. I can be long or short, opened or closed. I won__ be a problem unless you use me in the house. What am I?",what am i
cd,"i come in square package,but i'am round. i contain lots of information for your computer. handle me carefully. what am i?",what am i
black hole,"I am, where nothing now is. Not even light can show you my hunger. What am I?",what am i
musical note,"I am flat, I am sharp; but I cannot hurt you.  What am I?",what am i
curiosity imagination,"I lead the way into the unknown, and bring strength where there is fear.  I am the creator of invention, and the maker of all adventure.  What am I?",what am i
matchstick,"Tear off one and scratch its head, what was red is now black instead. What is It?",what is it
dark,"I can't be seen, found, heard or smelled.  I lie behind stars and under hills, I fill empty holes, come first and follow after.  What am I?",what am i
bee,I can spell                   yet i have no mouth                  i can speak to animals                  but cant speak to humans                   i am feirce but small       What am I ?,what am i
chocolate,"Sometimes I am light, sometimes I am dark.   Most people like me.   What am I?",what am i
ginger,"I am native to India and China. I have been important in Chinese medicine for many centuries, and I'm mentioned in the writings of Confucius. I am also named in the Qur'an, the sacred book of the Muslims, indicating I was known in Arab countries as far back as 650 A.D. I became so popular in Europe that I was included in every table setting. I was used against the plague. In English pubs and taverns in the nineteenth century, barkeepers put me out for people to have with their beer.  Also, I can get a lazy horse moving. What am I?",what am i
Frankenstein,I'm about 8 feet tall. And have bolts in my neck. I have powerful rage. Better keep me in check. Who am I?,who am i
paper,i have 4 ends but no beging  what am i?,what am i
blackboard,"I am white when I am dirty, and black when I am clean.  What am I?",what am i
Smoke.,"I have no feet, no hands, no wings, but I climb to the sky. What am I?",what am i
im curtains,"I block out the sunlight,I'm quite long and wide and I also get pushed and pulled nearly everyday. What am I?",what am i
giraffe,"Above the kingdom I reign, Spotted, speckled, with a mane, I travel in packs, And if you’re lucky, you’d ride me. What am I?",what am i
answer is nothing,"The rich can't have it, the poor do have it, and if you eat it for a while, you die. . . What am I thinking of?",what am i
heartbeats,"The more of me you have, the longer your life.The more of me you have, the less you have left.What am I?",what am i
shadow,"Each morning I appear to lie at your feet, all day I will follow no matter how fast you run, yet I nearly perish In the midday sun. What am I?",what am i
hello,I am a common greeting said by many. If you take my last letter away I become a place. If you replace my first letter with another letter I become a verb. What am I?,what am i
heart,I am very strong and tough but can be broken in some ways. What am I?,what am i
belt,"I've many holes but I will never leak.Not comfortable? Just give me a tweak. Though often together most of the day.Come bedtime we'll go our separate ways. Life without me might be kind of a drag.'Cause when I'm not around things tend to sag. Doing my job, your reliable mate.This is a ""hold-up"" you'll appreciate. What am I?",what am i
future,I'm always in front of you but you can never see me. What am I?,what am i
corn,I'm yellow but I'm not the sun. I grow in a field but I'm not a sunflower. I'm found on an ear but I'm not a piece of jewelry. I go well with butter but I'm not a slice of toast. I'm associated with cob but I'm not a web. What am I?,what am i
color,"I can be light or dark, spelled in Canada and USA differently, and can be hard or liquid like what am I?",what am i
skunk,I'm usually out of sight.Unless you see me at night. From my markings one can tell.I've the power to repel. Your lawn I may traumatize.To get to my grubby prize. What am I?,what am i
thunder,"I'm fatherless and motherless and born without sin. Roaring when entering the world, I never speak again. What am I?",what am i
lungs,I transfer oxygen from the atmosphere to your blood. What am I?,what am i
wet,"I HEAR drip drop drip drop(rain) all the time , what am I?",what am i
giraffe,I have a long sticky tongue and four legs. What am I?,what am i
postage stamp,"I wear the face of a leader of men. My financial worth is small and my .appearance not impressive, yet my presence is a passport to any country.and society. I have the entree alike to the boudoir and the armed; I .penetrate to royal palaces and to the far corners of the earth. In my .youth I am bright and fresh looking; later, my face is marred and .disfigured and I am cast aside as nothing; but when I am very old I am eagerly sought, and a safe refuge is provided for me, where I am exhibited to admiring visitors. What am I?",what am i
photograph,"One simple click, one simple flash. Preserving a memory, for years I will last. What am I?",what am i
tombstone,"Marking mortal privation, when firmly in place. An enduring summation, inscribed in my face. What am I?",what am i
box,"I open and latch shut, light and dark, creepy and calm, fierce frightening and warmth, enclosures inside of me.  Alive or not I store all things and often my mother is a fat lady like a store and I help you move, what am I?",what am i
books,"I can be old or new, big or small, thick or thin. I contain information about all that is present in the entire world. I contain links to countless minds, worlds, adventures, universes, mysteries, and even mystical things. I am a place where things are out of the world and where imaginations are realities. People fill me with their thoughts, opinions, and life stories. Most children tend to think I'm boring, but there are only a few truly talented, out of this world, beautiful-minds who wait for me enthusiastically and when done with me, waits for my descendants. What am I?",what am i
triangle,"I am sometimes right, but never wrong. I am sometimes an instrument much smaller than a gong. Bermuda and love are both parts of me. So of course I'm a _______, can't you see? Who am I?",who am i
bicycle,"If you are a velophile, what is it that you love?",what is it
reflection,"You saw me where I could not be. Yet, often you see me. What am I?",what am i
black hole,"I had a bright start, but I couldn't take the pressure. I consume everything, yet I don't eat anything. What am I?",what am i
heart,"Break me but I'll continue to work, touch me and maybe I'll stay with you forever. What am I?",what am i
salt,"I can burn your mouth and sting your eye, but I am consumed everyday. What am I?",what am i
telephone booth,My first is a man-made voice conveyor.My second was a president slayer.My whole is supplied by a communications purveyor. What am I?,what am i
Your breath.,"I fly in the air, But I am not always there. I cannot be touched, But I can be felt or held. Think very hard, But if you live near the equator, You may have a tough time seeing me. What am I?",what am i
echo,"You heard me before, and then again afterward i die, until you call me again what am i?",what am i
gravity,"I can pull the heaviest thing down, but I can't lift a single feather. What am I?",what am i
shaddow,"I'm as small as an ant, as big as a whale.  I'll approach like a breeze, but can come like a gale.  By some I get hit, but all have shown fear.  I'll dance to the music, though I can't hear.  Of names I have many, of names I have one.  I'm as slow as a snail, but from me you can't run.    What am I?",what am i
steel chain,"I'm not really more than holes tied to more holes; I'm strong as good steel, though not as stiff as a pole. What am I?",what am i
rat,"About the size of a squash, He robs the whole village. What is it?",what is it
fear,I am something all men have but all men deny. Man created me but no man can hold me. What am i?,what am i
weapon,"My first is in wield, sever bones and marrow. My second is in blade, forged in cold steel. My third is in arbalest, and also in arrows. My fourth is in power, plunged through a shield. My fifth is in honour, and also in vows My last will put an end to it all.What am I?",what am i
envelope,"I start with the letter e, I end with the letter e. I contain only one letter, Yet I am not the letter e!What am I?",what am i
The castle's shadow.,"I am large as a castle, yet lighter than air. 100 men and their horses cannot move me. What am I?",what am i
Glass.,"I can be all colours of the rainbow, Or have no colour at all. Sometimes I'm empty, Sometimes I'm full. What am I?",what am i
moon,"It's been around for millions of years, but is never more than a month old. What is it?",what is it
temperature,What is it that goes up and goes down but does not move?,what is it
bat,"When I am metal or wood, I bring you home. When I am flesh and blood, in the darkness I roam. What am I?",what am i
funny,"""If you say something is a ""riot"", what is it?""",what is it
piano,I have lots of hammers inside. But there's no nails for them to hit. To use them you press down on keys. They play notes while on a stool you sit. What am I?,what am i
idea,"You buy me, but I don't have a price. What am I?",what am i
watermelon,I start at rd and end at green?  What am i,what am i
grandfather clock,I'm an old relative who's hand's can't hold anything and eyes can't see anything. What am I?,what am i
eye,"I am a window, I am a lamp, I am clouded, I am shining, and I am colored; set in white, I fill with water and overflow. I say much, but I have no words. What am I?",what am i
A mask.,"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed. What am I?",what am i
