Word,PQConcepts,GoldRiddle,mFLAG,GenRiddle
nails,"['a cabinet', 'a container', 'a jar', 'a store', 'be placed in a solid object', 'best hit with a hammer', 'bought at a hardware store', 'build a doghouse', 'driven into wood', 'nail']","I can hold things together, And you have 20 of me, or so I hope. What am I?"," holds things tight and makes a sound, often found on fingers and toes all around?","What holds things tight and makes a sound, often found on fingers and toes all around?"
space,['area'],"I am black as night,  But filled with light.   I can be seen,  Even through a screen.   I hold many secrets,  Waiting for them to be discovered.   What am I?"," am neither here nor there, I am vast and empty, beyond compare. I hold the stars, the planets, and more, What am I? I am something you cannot ignore.","I am neither here nor there,
I am vast and empty, beyond compare.
I hold the stars, the planets, and more,
What am I? I am something you cannot ignore."
satisfaction,"['gratification', 'emotional state']","All have tried to catch me, none have kept me! What am I?"," bring contentment and fulfillment to your soul, When you achieve me, you feel like a whole. What am I? I am the feeling of pure _________.","I bring contentment and fulfillment to your soul,
When you achieve me, you feel whole.
What am I? I am the feeling of pure _________."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']",Its sometimes sharp. And good at being lead. Using this will help. Things to be read. What is it?," am used for writing and drawing, but I am not a pen. I am made of wood and graphite, What am I?","I am used for writing and drawing,
But I am not a pen.
I am made of wood and graphite,
What am I?"
sand,"['a sandbox', 'beach', 'beaches', 'covered in sand']","I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?"," am often found near the shore, When you step on me, you'll want to explore. I stick between your toes, like a sandpaper.","I am often found near the shore,
When you step on me, you'll want to explore.
I stick between your toes, soft and grainy,
What am I? I'm a beach's ____."
spider,"['a web', 'arachnid']",With no hammer or any kind of tool I build my house so quickly. What am I?," am creepy and crawly, with eight legs so long In my web I'll catch you, and sing a spooky song I can spin a thread, and make it strong and wide What am I, lurking in the dark, where I like to hide?","I am creepy and crawly, with eight legs so long
In my web I'll catch you, and sing a spooky song
I can spin a thread, and make it strong and wide
What am I, lurking in the dark, where I like to hide?"
Shoes,[],I run through the field all day with my tounge hanging out.  At night I sleep not alone.  What am I?," has a sole but no soul, It comes in pairs but never walks alone, It covers your feet and keeps them warm, but it's not a sock, it's something more, What am I?","What has a sole but no soul,
It comes in pairs but never walks alone,
It covers your feet and keeps them warm,
But it's not a sock, it's something more,
What am I?"
Pencil lead,[],"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody. What am I?",", here's a riddle for the word ""Pencil lead"":  I am black and slender, but not made of metal Used to draw and write, I'm essential I leave my mark, but can be erased What am I?","Sure, here's a riddle for the word ""Pencil lead"":

I am black and slender, but not made of metal
Used to draw and write, I'm essential
I leave my mark, but can be erased
What am I? The answer's not hard to chase."
peanut,"['child', 'edible nut', 'insignificant', 'inappreciable', '302172728-s', 'appreciable']",I'm a seed that's underground.    Many like to spread me around.    But my family it's said is quite insane.    And if you've a low I. Q.  you've this kind of brain.    Eat me raw and I'll make you sick.    Eat too much and your tongue will stick.     What am I?," I am small and insignificant, yet loved by every child; An edible nut, but not admirable, my value often goes unappreciated.  What am I?","

I am small and insignificant,
Yet loved by every child;
An edible nut, but not admirable,
My value often goes unappreciated. 
What am I?"
blood,"['a hospital', 'arteries', 'artery', 'necessary for blood to flow']","I am the water of life, but seeing too much of me is never good. I am what binds families together, but I can be defied. What am I?"," I am vital in a hospital's care I travel through arteries with a flair Spreading life with every beat Without me, blood would not complete Necessary for it to flow without me, life would slow","

I am vital in a hospital's care
I travel through arteries with a flair
Spreading life with every beat
Without me, blood would not complete
Necessary for it to flow
Without me, life would slow"
memory,"['brain', 'a brain', 'a human body', 'a person', 'a skull', 'biological organ', 'neurons', 'a nucleus that contains genes', 'neuron']","I can bring tears to your eyes; resurrect the dead, make you smile, and reverse time.   I form in an instant but I last a lifetime.  What am I?"," I am the keeper of secrets, stored within a brain Without me, recollections fade, in a person they remain I am elusive, yet powerful, within a human's command What am I, but a treasured memory, held within one's land?","

I am the keeper of secrets, stored within a brain
Without me, recollections fade, in a person they remain
I am elusive, yet powerful, within a human's command
What am I, but a treasured memory, held within one's land?"
Water,[],"Three lives have I. Gentle enough to soothe the skin, Light enough to caress the sky, Hard enough to crack rocks. What am I?"," I am essential for life, yet I have no taste I come in different forms, but always have the same fate I can quench your thirst, but also take lives away I am clear and pure, but can turn like a river.","

I am essential for life, yet I have no taste
I come in different forms, but always have the same fate
I can quench your thirst, but also take lives away
I am clear and pure, but can turn dirty and gray
Without me, plants would wither, and animals would die
I am the source of energy, that makes the rivers run high
What am I, so vital and true?
A simple four-letter word, yet abundant, through and through."
sword,"['a sheath', 'killing', 'sharp', 'steel']","A dragon's tooth in a mortals hand,   I kill, I mame, I seperate the land.    What am I?"," am a weapon feared by many, With a sheath that keeps me safe and steady, In the hands of a warrior I am deadly, My blade, sharp and strong, pure steel and heavy.  What am I, this weapon so revered, A sheathed sword, my name given.","
I am a weapon feared by many,
With a sheath that keeps me safe and steady,
In the hands of a warrior I am deadly,
My blade, sharp and strong, pure steel and heavy.

My purpose is simple, yet grim,
For killing is what I do within a whim,
But when not in use, I am peaceful and still,
Until I am drawn to fulfill my thrill.

What am I, this weapon so revered,
A sheathed sword, my name revered."
teabag,"['bag', 'bolsita de té', 'paper', 'player', 'pouque à thée', 'slang', 'tea', 'teebeutel', 'tepose', 'testicle', 'ティーバッグ', '袋泡茶', '袋茶']","What goes in dry and comes out wet.  The longer it's in, the better it gets.  When it comes out, it's sagging wet.  What is it?"," ""I am a small pouch, holding treasures inside, Some say I'm a bag, but others I am denied. Made of paper, thin and light, But don't underestimate my might. What am I, so simple yet complex? A teabag, ready to surprise and amuse.","

""I am a small pouch, holding treasures inside,
Some say I'm a bag, but others I am denied.
Filled with leaves of tea, from a land far away,
I'm a bolsita de té, to sweeten up your day.
Made of paper, thin and light,
But don't underestimate my might.
In a game, I may be used,
By a player, I'm often accused.
What am I, so simple yet complex?
A teabag, ready to delight and perplex."""
jet stream,[],Always traveling round the pole.I give a push but never pull.Never touching earth or ground.Never counting times around. What am I?," I am a natural phenomenon, a force to be reckoned with I travel with haste, a swift and powerful myth My path is long, and ever-changing but my effects are wide, and always-reaching  My journey begins in the upper atmosphere And takes me on a path that is quite clear I bring warm air from the equator to the pole And cold air from a equatorial roll  Like a mighty river in the sky, I flow but unlike water, I never slow My speed is immense, my power untamed but to track me is not an easy game  I","

I am a natural phenomenon, a force to be reckoned with
I travel with haste, a swift and powerful myth
My path is long, and ever-changing
But my effects are wide, and ever-reaching

My journey begins in the upper atmosphere
And takes me on a path that is quite clear
I bring warm air from the equator to the pole
And cold air from the pole to the equatorial roll

Like a mighty river in the sky, I flow
But unlike water, I never slow
My speed is immense, my power untamed
But to track me is not an easy game

I"
reed,['gramineous plant'],"I am the thing that makes oboes, clarinets, and Saxaphones play  What am I?"," I am tall and thin, yet not a tree, My roots in soil, my head above thee. My leaves are narrow, my stem hollowed, A simple plant, yet treasured and hallowed.  What am I?  A reed, with elegance and poise, Nature's treasure, a humble choice.","

I am tall and thin, yet not a tree,
My roots in soil, my head above thee.
My leaves are narrow, my stem hollowed,
A simple plant, yet treasured and hallowed.
From marshes to meadows, I thrive with ease,
My family is vast, among the reeds.
My name is simple, yet full of grace,
For I am a gramineous plant with a slender face. 
What am I? 
A reed, with elegance and poise,
Nature's treasure, a humble choice."
elevator,"['a building', 'a hotel', 'at hotel', 'building', 'cargo', 'a ship']",I have buttons but I'm not a shirt. I have doors but I'm not a house. I go up and down but I'm not an umbrella. I need at least two stories but I'm not a book of fairytales. I'm found in tall buildings but I'm not a penthouse. What am I?," am found in many places in a building,  But most commonly in a hotel setting.  In a lobby or a hallway, I'll be there,  Ready to lift you with utmost care.  I take you up and down with ease,  And save your feet from aching and aching!","
I am found in many places in a building, 
But most commonly in a hotel setting. 
I take you up and down with ease, 
And save your feet from aching and seize. 

You press my buttons, I work with grace, 
I transport you to any hotel space. 
In a lobby or a hallway, I'll be there, 
Ready to lift you with utmost care. 

What am I, found at a hotel and a building too? 
I'll give you a hint, I elevate you!"
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","If I turn my head, you may go where you want, but if I turn again, you could stay and rot. What am I?"," am something small and metal, used to unlock and to fasten. I sit in a pocket or on a chain, with me, doors and secrets are gained. ́","
I am something small and metal,
Used to unlock and to fasten.
I sit in a pocket or on a chain,
With me, doors and secrets are gained.
You may call me a brelok or a key,
Without me, you'd struggle, you see. "
ocean,"['a body of water', 'an ocean', 'any ocean', 'sailing', 'a sport', 'an expensive hobby', 'fun', 'glide', 'fly']","I come across as flat, But theirs more to me than my surface; You climb my moutains from top to bottom, And fall from bottom to top. What am I?"," I am a vast expanse, a body of water so grand Sailing across my surface, powered by wind's demand I am known by many names, an ocean, they say But whether I am Atlantic, Pacific, or any ocean, I stay Majestic and mighty, my waves never cease Yet I hold endless mysteries, beneath my depths grow.","

I am a vast expanse, a body of water so grand
Sailing across my surface, powered by wind's demand
I am known by many names, an ocean, they say
But whether I am Atlantic, Pacific, or any ocean, I stay
Majestic and mighty, my waves never cease
Yet I hold endless mysteries, beneath my depths increase"
tomato,"['paradajz', 'red', 'solanaceous vegetable', 'the refrigerator']","I was a stage critic in the days of old. Some thought I was poisonous, others knew better. I'm often thought to be something I'm not, and I'm usually round and never bitter. What am I?"," I am red and round, often mistaken for a fruit In the solanaceous family, I have roots A staple in salads, sandwiches, and sauce My name in Serbian is paradajz, can you guess what I am without a pause?  I'm kept in the refrigerator, alongside other produce To keep me fresh, so I don't lose My tangy and juicy, yet slightly sweet taste You can't resist me, no matter your haste What am I? A tomato! A veggie with the ultimate appeal From gardens to grocery stores, I'm a solanitive steal.","

I am red and round, often mistaken for a fruit
In the solanaceous family, I have roots
A staple in salads, sandwiches, and sauce
My name in Serbian is paradajz, can you guess what I am without a pause?

I'm kept in the refrigerator, alongside other produce
To keep me fresh, so I don't lose
My tangy and juicy, yet slightly sweet taste
You can't resist me, no matter your haste
What am I? A tomato! A veggie with the ultimate appeal
From gardens to grocery stores, I'm a solanaceous steal."
fork,"['a plate', 'a table', 'branch', 'drawer', 'eat food', 'eating food', 'eating utensil', 'the kitchen']","Three or four, I can stab through or rule the seas. You know my cousins. What am I?"," I sit on a plate, but don't hold any food I rest on a table, but not have any legs to stand I come from a branch, but no't have leaves or bark I may be found in a drawer, but like a pair of socks.","

I sit on a plate, but don't hold any food
I rest on a table, but don't have any legs to stand
I come from a branch, but don't have leaves or bark
I may be found in a drawer, but don't belong with socks or underwear
What am I?"
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","The fuel for life, Important parts of the day, Even if it is a long time away. Long lasting use, Long lasting fuse, Until my explosive death day. What am I?"," am a celestial body, bright and fair, My warmth and light, so precious and rare.  I am at your service, from dawn 'til dusk, My job is to shine, never to rust. But beware, too much of my embrace, can turn your skin, a familiar shade of race.","
I am a celestial body, bright and fair,
My warmth and light, so precious and rare.
My rays kiss your skin, to make it golden,
They also dry your laundry, a task unspoken.

My brilliant aura, so powerful and bright,
I heat the earth, with all my might.
But beware, too much of my embrace,
Can turn your skin, a familiar shade of race.

I am at your service, from dawn 'til dusk,
My job is to shine, never to rust.
So tell me, dear friend, what can I be?
A dazzling ball of fire, known as the _______, can you"
compass,['a backpack'],I have a magnet but I dont stick to metal. I have a needle but I cant sew. I sometimes have scales but I cant weigh anything. I help you find your way but I'm not a map. I have N E W S on me but I'm not a TVWhat am I?," I am small yet mighty, a constant guide for the lost   With needle and dial, I help you at any cost   Placed in a backpack, always ready for the adventure   I'll point you in the right direction, with unyielding composure.","

I am small yet mighty, a constant guide for the lost  
With needle and dial, I help you at any cost  
Placed in a backpack, always ready for the adventure  
I'll point you in the right direction, with unyielding composure"
Eve,[],"I am the only woman.of that there is no fear, who can claim to have been the most beautiful when I was alive, from the beginning of time until this year.  Who am I?"," I am the mother of all, yet I'm without a friend With a curious mind, I tasted the fruit And forever change, it took root Some see me as a sinner, others as a queen But no matter what, I am made of purest_","

I am the beginning, yet I am the end
I am the mother of all, yet I'm without a friend
With a curious mind, I tasted the fruit
And forever change, it took root
Some see me as a sinner, others as a queen
But no matter what, I am made of purest __
What word am I, can you perceive?
I am the first woman, I am __."
photo frame,[],"I have lot of memories, but I own nothing. What am I?"," I am a frame, but I hold no painting or art, Instead, I capture a moment from the start. With a simple click, I freeze time in a flash, creating a memory that will forever live.","

I am a frame, but I hold no painting or art,
Instead, I capture a moment from the start.
With a simple click, I freeze time in a flash,
Creating a memory that will forever last.
My borders may be wooden, plastic, or metal,
But my purpose is the same, no matter the material.
What am I, that captures every smile and pose?
Hint: I'm found near ribbons, flowers, and bows. "
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","No matter how hard you try, I can open what you can't. If it wasn't for me, on your front porch you would stand. What am I?"," I am found in a pocket, always on the go. Attached to a keychain, swinging to and fro. Known as ""brelok"" or a chain of keys, Without me, opening doors would be quite a squeeze.  What am I?","

I am found in a pocket, always on the go.
Attached to a keychain, swinging to and fro.
Known as ""brelok"" or a chain of keys,
Without me, opening doors would be quite a squeeze. 
What am I?"
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']",I am said to be strong and unbreakable yet gental and kind. I may be suppressed but not ignored. I can be lost but may be found. I can die yet still live on. What am I?,"  In many shades of brown I'm found, Like burned marks on your porch.  I may be just one star in space, but I have a big role to play. My rays nourish both land and sea, yet my touch can also make you flee.","
I am the one that shines so bright,
A fiery orb in the sky's height.
My rays nourish both land and sea,
Yet my touch can also make you flee.

With my warmth I dry your clothes,
Making them smell fresh like a rose.
But be careful, my heat can scorch,
Leaving burned marks on your porch.

In many shades of brown I'm found,
On faces, arms, and all around.
Some say I give a lovely glow,
Others wish to be less sun-kissed, though.

I may be just one star in space,
But I have a big role to embrace.
For"
gun,"['a gun', 'barrel', 'a barrel']","Once you are in my sight, you are gone in a flash, and people tend to use me for cash. I am often used as a dire assist, and people often believe that I cause harm, when I am but its catalyst. What am I?","  I have a long, iron nose   That shoots out death with a *bang*   With a handle for a spine   I am both feared and desired   What am I?"," 

I have a long, iron nose  
That shoots out death with a *bang*  
With a handle for a spine  
I am both feared and desired  
What am I?"
thought,['some thought'],"Whoever makes me can hear me, but nobody else can.What am I?"," I'm hidden in your mind, A concept hard to find, Some consider me profound, Others dismiss me with a sound.  I am a seed that's sown, in some thought, I am grown, but without attention paid, I may quickly fade.  Without me, ideas die, but with too much, you may lie, I is a powerful force, that can be like a curse.","

I'm hidden in your mind,
A concept hard to find,
Some consider me profound,
Others dismiss me with a sound.

I am a seed that's sown,
In some thought, I am grown,
But without attention paid,
I may quickly fade.

Some use me to plan,
Others just let me stand,
Some thought leads to action,
Others just satisfaction.

Without me, ideas die,
But with too much, you may lie,
I am a powerful force,
That can be both a gift and a curse.

What am I?"
coals,"['coal', 'make some trains go', 'black', 'carbon']","I am black when you buy me, I am red when you use me, then am grey when you through me away What am I?"," I am dark and full of carbon, Ignited, I can make some trains go, but left alone, I'm nothing but small, What am I, this valuable coal?","

I am dark and full of carbon,
Ignited, I can make some trains go,
But left alone, I'm nothing but small,
What am I, this valuable coal?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","When it rains, I never get any wetter.  What am I?"," I am clear and pure, yet still make a splash, In a still lake, or a pool with a flash. Falling from the sky, I form a cascade, but in a glass to quench your thirst, I am made.","

I am clear and pure, yet still make a splash,
In a still lake, or a pool with a flash.
Falling from the sky, I form a cascade,
But in a glass to quench your thirst, I am made."
house,"['a house', 'building', 'a building']",My body is usually made of brick or wood and I come with a lot of windows and doors. Keep me nice and clean for visitors and I will keep you warm and cozy. You can sell me when your family grows. What am I?," I am a structure, tall and grand, A place for people to make their stand. Made of bricks and wood and stone, A shelter for many, a place to call home. What am I, you may espouse?","

I am a structure, tall and grand,
A place for people to make their stand.
Made of bricks and wood and stone,
A shelter for many, a place to call home.
What am I, you may espouse?
I am a ___, a ___ and a ___ all in one."
tree,"['a forest', 'a tree', 'branches', 'branch']","My veins extend beneath the earth, My hands raised toward the sky, I can seem to live forever, Though many times I die.  I cry when I am wounded, Sweet tears that help me heal, I mourn and take off all my clothes, When bitterness I feel.  What am I?"," I stand tall in a forest green, With branches reaching out to be seen, My trunk strong and my leaves so free, I am a mighty symbol of nature, can you see me?","

I stand tall in a forest green,
With branches reaching out to be seen,
My trunk strong and my leaves so free,
I am a mighty symbol of nature, can you see me?"
past,"['before', 'after']","Half-way up the hill, I see thee at last. Lying beneath me with thy sounds and sights - A city in the twilight, dim and vast, With smoking roofs, soft bells, and gleaming lights. What is it?", I come before the present But after the future What am I? A like a memory.,"

I come before the present
But after the future
What am I?
A memory of the past."
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","Before a certain time, Students are always looking at me. After a certain time, They run away from my dwelling. What am I?"," I am found on a desk or a wall, In a house, I stand tall. With hands that move and numbers that stick, I continue to tick, tick, like a clock.","

I am found on a desk or a wall,
In a house, I stand tall.
With hands that move and numbers that stick,
I continue to tick, tick, tick.
What am I?"
China,[],I'm smaller than your table and you but your kitchen is too small to compare to me. What am I?," I am a vast land of ancient mystery, With thousands of years of rich history.  My pandas are cute and rare, Visitors come from everywhere. With bamboo as their daily treat, They bring joy to all they meet.  ","

I am a vast land of ancient mystery,
With thousands of years of rich history.
My Great Wall spans far and wide,
Protecting my people from outside.

I am known for my delicious cuisine,
With chopsticks as my dining routine.
From spicy Sichuan to Cantonese delight,
My dishes are truly a glorious sight.

In the land where the dragon roams,
I am home to many ancient tombs.
My dynasties rise and fall,
But my beauty remains standing tall.

My pandas are cute and rare,
Visitors come from everywhere.
With bamboo as their daily treat,
They bring joy to all they meet.

"
see-saw,[],"What goes up, but at the same time goes down, up to the sky and down to the ground, my present tense and my past tense too, lets go for a ride just me and you...what am I?"," I am a playground favorite, up and down I go Balancing two ends, a teeter-totter show Without me, you'd stay still, unable to sway but with a partner, we can play all day  Children love me, parents push with ease I'm a simple structure, with a rhythmic breeze Some would call me a lever, others a balance beam but one thing is clear, I make a great team  With just two of us, the fun begins to soar but add more weight, and the ride won't be so smooth anymore Though we may seem simple, we","

I am a playground favorite, up and down I go
Balancing two ends, a teeter-totter show
Without me, you'd stay still, unable to sway
But with a partner, we can play all day

Children love me, parents push with ease
I'm a simple structure, with a rhythmic breeze
Some would call me a lever, others a balance beam
But one thing is clear, I make a great team

With just two of us, the fun begins to soar
But add more weight, and the ride won't be so smooth anymore
Though we may seem simple, we"
plate,"['bowl', 'cricket']","It is always bought when you're hungry, but it doesn't get eaten. What am I?"," I'm round and flat, like a bowl without a lip.  On the field of play, my presence is hip.  In cricket, my placement is key,  Hitting the ball just right, oh so easy.  What am I? A plate, can't you see!  Between dinner and sports, I'm quite the busy bee.","

I'm round and flat, like a bowl without a lip. 
On the field of play, my presence is hip. 
In cricket, my placement is key, 
Hitting the ball just right, oh so easy. 
What am I? A plate, can't you see! 
Between dinner and sports, I'm quite the busy bee."
atlas,"['Atlas', 'a atlas', 'an atlas', 'cervical vertebra']",Many people own a copy of me. Without me the world would fall. What am I?,"I am like a book of maps, or a cervical vertebra tall. I am a titan, yet I am not strong like a titan.","

I am found in textbooks, yet I cannot read.
I am a titan, yet I am not strong indeed.
I am a map-holder, yet I do not travel.
I am the first, yet I am not unraveled.

What am I that can refer to all?
A book of maps, or a cervical vertebra tall.
I am named after a Greek god, can you see?
I am Atlas, mysterious and full of curiosity."
cheat,['deceive'],"If something is ""chintzy"", what is it?"," am a sly and cunning feat, that often brings victory sweet. But beware, I may just deceive, and leave you feeling quite aggrieved. For though my tactics may seem neat, I am nothing but a dirty cheat.","
I am a sly and cunning feat,
That often brings victory sweet.
But beware, I may just deceive,
And leave you feeling quite aggrieved.
For though my tactics may seem neat,
I am nothing but a dirty cheat."
bow,[],"I can be found on a present, the front of a boat, or after the rain. What am I?","  With careful aim, you can hit the mark, and bend me to your will with grace. But if you pull too hard, I'll leave a mark, so be gentle with your embrace.  Sometimes I'm wrapped in cheerful hues, to celebrate and bring delight.","

I am an instrument both mighty and small,
Used to send your message far and wide.
With strings unseen, I can sing and call,
But only when you hold me just right.

Sometimes I'm wrapped in cheerful hues,
To celebrate and bring delight.
But on a solemn day, I'm draped in blues,
And give respect to those who've lost the fight.

With careful aim, you can hit the mark,
And bend me to your will with grace.
But if you pull too hard, I'll leave a mark,
So be gentle with your embrace.

What am I, that brings joy and sorrow,
But always finds a"
Current,[],"My first is a creature whose breeding is unclear. My second, a price you must pay. My whole can be found in the river of Time and refers to events of today. What am I?"," I am a flow of electricity, A measure of energy's velocity, With poles of positive and negative, I am what you call like a wave.  I am used to power devices, but can also cause crises.","

I am a flow of electricity,
A measure of energy's velocity,
With poles of positive and negative,
I am what you call attractive.

In lakes and oceans, I am seen,
Causing waves, fierce and keen.
From source to destination,
I am in constant motion.

I am used to power devices,
But can also cause crises.
With a name that means ""now"",
What am I? Do you know?"
breath,"['air', 'bodily process']",You can hold it without using your hands or your arms. What is it?," I am invisible, yet so vital to life, without my presence, we'd endure much strife. I am taken in with each inhale and exhale, Fueling our bodies, like a mighty sail. But don't be fooled by my gentle flow, For I can also deliver a deadly blow.","

I am invisible, yet so vital to life,
Without my presence, we'd endure much strife.
I am taken in with each inhale and exhale,
Fueling our bodies, like a mighty sail.
But don't be fooled by my gentle flow,
For I can also cause a deadly blow.
What am I, this necessary breath,
A blend of air and bodily process?"
black hole,[],"I am dark, nobody can see me, I'm very far, nothing can escape me. What am I?"," I am a void, yet I hold so much weight Infinite darkness, I attract your fate My strength is immense, I swallow up light but if you get too close, you'll feel my might I'm a mystery, my secrets untold An enigma of space, a black hole to behold What am I, this cosmic abyss A puzzle of nature, a phenomenon that persists?","

I am a void, yet I hold so much weight
Infinite darkness, I attract your fate
My strength is immense, I swallow up light
But if you get too close, you'll feel my might
I'm a mystery, my secrets untold
An enigma of space, a black hole to behold
What am I, this cosmic abyss
A puzzle of nature, a phenomenon that persists?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']","I'm made of eight letters, But hold a ninth inside; Pay a very small fee, And send me for a ride. What am I?"," I am a drawer, but not the kind for clothes I'm used to hold something that always goes From sender to receiver, without a sound I'm the vessel for words that need to be found Some might call me by a foreign name but for mail, I am one and the same ","

I am a drawer, but not the kind for clothes
I'm used to hold something that always goes
From sender to receiver, without a sound
I'm the vessel for words that need to be found
Some might call me by a foreign name
But for mail, I am one and the same "
onion,[],I can be white brown or purple and I make people cry and I only Yates sweet when cooked  What am I?," You can dice me up or slice me thin, In stews and soups, I'll make you grin. But beware of my layers, they'll make me cry, though I'm loved by many, I can still make some like a sigh.","

You can dice me up or slice me thin,
In stews and soups, I'll make you grin.
But beware of my layers, they'll make you cry,
Though I'm loved by many, I can still make some sigh."
glass,"['a glass', 'break easily', 'broken']","Though liquid in nature, don't push me too far, for then I will break, and the damage may scar. What am I?"," I am often seen in bars, filled up with liquid clear, but handle me with care, for I can easily shatter and disappear, At times, you may find me fallen and smashed, but don't worry, for me can always be replenished and patched, What am I? Perhaps you can guess, I am a object of fragility, like a crystal.","

I am often seen in bars, filled up with liquid clear,
But handle me with care, for I can easily shatter and disappear,
At times, you may find me fallen and smashed,
But don't worry, for I can always be replenished and patched,
What am I? Perhaps you can guess,
I am a object of fragility, known as glass."
coin,"['a bank', 'a coin', 'a purse', 'change', 'currency', 'dime', 'cents', 'cent']","For me, much blood has been shed. I have two faces but only bear one head. What am I?"," am round and shiny, yet often quite small, A bank may hold me, but not use me at all. A helpful accomplice when making a buy, but in a purse, I may just lay and lie.","
I am round and shiny, yet often quite small,
A bank may hold me, but not use me at all.
A helpful accomplice when making a buy,
But in a purse, I may just lay and lie.
My value may vary, but always in range,
For I am simply known as a piece of change."
Mercury,[],"Versatile am I, with a 3 fold name.One is quicker than e-mail. One can tell you when you're feverish, with a talent for floating steel. And sometimes you can see the other one up above. Who am I?"," I am the first of my kind, but also the smallest you'll find. I'm covered in craters and scars, but my surface is smooth like a planet.  I have a planet named after me, and I'm the closest to the sun, you see.","

I am the first of my kind,
But also the smallest you'll find.
I'm covered in craters and scars,
But my surface is smooth like Mars.

My name comes from Roman mythology,
Associated with speed and agility.
I'm known to be hot and cold,
And my appearance can never be controlled.

Some say I'm the messenger of the gods,
Although I have no wings or bods.
But beware, for I can be quite toxic,
And my effects can be quite chaotic.

I have a planet named after me,
And I'm the closest to the sun, you see.
What am I, this elusive entity"
voice,"['Singing', 'Talking', 'a radio', 'communicate', 'human', 'loud', 'harsh-voiced']","Wind and cord combine, buzzing in the box. In all this we find, though to some the use is lost. What am I?","  It can carry the strains of a beautiful song, Or carry the weight of words not meant to belong, No matter the form, its message is spoken.  Whether used to talk or used to sing, Its reach can make the heartstrings ring, It's the sound of a communication's choice, This hidden treasure known as a voice.","

What is heard but cannot be seen,
It can be sweet, or full of chagrin,
On the airwaves or in person it's known,
Through its power, connections are sewn.

It can carry the strains of a beautiful song,
Or carry the weight of words not meant to belong,
It flows through a microphone or on the wind,
No matter the form, its message is penned.

Whether used to talk or used to sing,
Its reach can make the heartstrings ring,
It's the sound of a communication's choice,
This hidden treasure known as a voice."
door,"['a building', 'a door', 'entrance', 'entering']",When you open me I make a sound. When you close me i make a thud. What am I?," am found in a building, but I am not a wall I am always the entrance, but it is not a hall I am what you open and close I am where you enter, but me am not the floor What am I, with handles and hinges, in this riddle encore? ????","
I am found in a building, but I am not a wall
I am always the entrance, but I am not a hall
I am what you open, but I am not a drawer
I am where you enter, but I am not the floor
What am I, with handles and hinges, in this riddle encore? "
snail,"['gather', 'puž', 'shell']","I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?"," I move slow and steady, causing no strife My trail is a shiny, silver stripe but hidden within my humble trail, Is something that could make you wail  For deep in my coil, unseen and frail Lies a home, a shield, or a veil Some say I gather my house as I crawl Others call me ""puž"", giving me a drawl  But despite my burdens that I haul I am adored, loved by all and though I may seem slow and frail I'll always have my precious shell.","

I move slow and steady, causing no strife
My trail is a shiny, silver stripe
But hidden within my humble trail,
Is something that could make you wail

For deep in my coil, unseen and frail
Lies a home, a shield, or a veil
Some say I gather my house as I crawl
Others call me ""puž"", giving me a drawl

But despite my burdens that I haul
I am adored, loved by all
And though I may seem slow and frail
I'll always have my precious shell."
mistake,"['a mistake', 'accident', 'anger a person', 'error']","Better catch me if you can.Before your paper changes hands. At the time one makes me, I make sense.But at some point afterwards, one repents. Perhaps unnoticed unless you zoom in.Without me you would not be human. What am I?"," I am often made in haste An unfortunate thing to take place I can anger a person, that's no lie For I am a mistake, like a mistake.","

I am often made in haste
An unfortunate thing to take place
I can anger a person, that's no lie
For I am a mistake, made by the human eye"
rubber ducky,[],I bring excitement to bathtime .each day and night. My voice is like no other .which causes much delight. The color of my skin is yellow. I am quite a lovely fellow. As the young one laughs and plays.My rubber body floats in the waves.  What am I?," I am a bath time friend, Yellow and round until the end. I squeak and float with such delight, but beware, I could cause a fright.  I may seem innocent, but don't be fooled, my counterpart is often drooled.","

I am a bath time friend,
Yellow and round until the end.
I squeak and float with such delight,
But beware, I could cause a fright.

Inquisitive children love to play,
Squishing and squeezing me all day.
But do not let me get too close,
Or I'll leave a slippery trace on your clothes.

I come in many shapes and sizes,
But my purpose always maximizes.
Water, soap, and some gentle scrubbing,
And all your worries I'll start rubbing.

I may seem innocent, but don't be fooled,
My counterpart is often drooled.
For I am a rubber d"
