,starter,riddle,class
3376,devil,I am the most evil person in the world.   I am impossible to see though many see me up above.   Light is one of my weakneses.   Who am I?,who am i
1274,Mt. Rushmore,"A rock group with four members, Each of whom are dead; But people still come to see us, Though an album was never released. What am I?",what am i
1957,zoo,"I only use two letters of the alphabet. I can be vast or fairly small. Many call me home, While others only come to visit.  What am I?",what am i
3234,see saw,When I go up I am the present  When I go down I am the past   What am I,what am i
4400,I am a cherry.,"A red cap on my head, A stone in my throat, you tell me the answer, I'll give you a Groat.What am I?",what am i
316,love,I can be sharp as a knife or kind as a mother and I am weirder than a freak show. I can make you hostile as a killer or happy as a clam.  What am I?,what am i
4514,A car.,"It has five wheels, though often think four, You cannot use it without that one more, You can put things in it, you can strap things on top, You can't find it in the market, but you can still go shop. What is it?",what is it
1507,baking soda,"I'm powerful enough to clean most anything, Yet gentle enough to eat. I'm used to make an explosion of sorts, Yet can be found at millions of stores worldwide. I can kill grass, And even tenderize your meat. I can clean up even the smelliest stench, and soften your fabrics. What am I?",what am i
1390,eyelids,"I am quite small in size and yet can cover the Earth, I go mainly unnoticed yet I still have much worth. No matter how hard you search you'll never see all of me, I have a nearby cousin but he's much more lazy. There is a way to see me, it's like closing a door, but when you see me, it's all me, and you'll see nothing more. I share a trait with a Baseball but only the one, I can also contain the force of a gun. What am I?",what am i
923,aging,"You can't live without doing this, and we all do it at the same time. Yet many wish it wasn't happening. What is it?",what is it
3631,coin,I have a head and a tail but no body.  I can move all over.  I jingle and I jangle.  I am not a snake.  What am I?,what am i
3427,icicles,Glittering points that downward thrust sparkling spears that never rust what am i ??,what am i
3030,light       he is dark,"I am thought to be everywhere, and I only have one rival.  He hides within himself, and stays wherever I cannot reach.     Who am I?    and    Who is my rival??",who am i
128,candle,"I am neither young nor old, although fire runs through my soul. Wind and water is my foe, my body is as white as snow.  What am I?",what am i
389,library,"My uses are changing, but I still remain the same. My interior is quiet, and stories are my game. What am I?",what am i
4118,"I must be a mirror, of course.",I am the only thing that always tells the truth. I show off everything that I see. I come in all shapes and sizes. So tell me what I must be! What am I?,what am i
4625,DAVID (Roman numerals).,"Five hundred begins it, five hundred ends it, five in the middle is seen; first of all figures, the first of all letters, take up their stations between. Join all together, and then you will bring before you the name of an eminent king. Who is it?",who is it
826,appearance,I'm pleasing to the eye A tool for many absent of mind A tapestry of fickle lies Blind to even the most pensive spies I'm often the breeder of fervent lust But I am by far one you shouldn't trust. What am I?,what am i
2521,Halloween,"I give people a huge fright, but at the end I'm sweet. I normally celebrate at night, when there's less heat.What am I?",what am i
3889,power,"Some use it as a weapon,  Others as a shield,  Without it you would most likely die,  With it you are weak,  It is man-made and can be dangerous  What am I?",what am i
2620,tea,"First I am dried, then I am wet; The longer I swim, the more taste you get. What am I?",what am i
1008,waterfall,"I can jump from the highest to the lowest place, But the bottom is what I chase. Do not fear me, for what I am is yours to take, Just don't jump with me, for your sake. What am I?",what am i
1419,Arlington National Cemetery,"I've swallowed the dead,Of a torn lands end.And I hold the remains,Of an unknown friend. A mansion once stood,Where I now lay,We honor all those. Who fought battles and wars. And gave us today.What am I?",what am i
3584,heart,"You can touch me, You can break me, You should win me if you want to be mine.  What am I?",what am i
2853,puzzle piece,"I fit in with other people, but I can not talk.  I create pictures, but I can not see.  What am I?",what am i
612,flea,"Old as the dinosaurs am I. A vampire by nature, Killing thousands during my time. I have no wings, But can jump very high. Tell me oh tell me, What am I?",what am i
1427,hearth,"Fire is often maintained above me, and if you remove my first letter, you will find the home shared by everyone you have ever known. What am I?",what am i
2979,crayons,"I make the leaves green, I make the dirt brown, I make the blue birds blue, I make all of your childhood dreams come true.    What am I?",what am i
2919,tombstone,"Marking mortal privation, when firmly in place.   An enduring summation, inscribed in my face.   What am I?",what am i
3431,bakingsoda,I am the kind of soda you must not drink what am i ??,what am i
1224,brain,"I will always be occupied.Until the day that you have died. After your eyelids have faltered.My functioning will be altered. The source of your joy and distress.Without me, you're emotionless. Were you born in the spring or fall? Without me, you could not recall. I am not fully understood.Without me, you would be no good.  What am I?",what am i
4381,Haul / Hall,"I'm done to boats, to cargo, to loads;When indoors I'm, in a way, a narrow road.What am I?",what am i
293,pea,"I am a seed, three letters in the name, Take away two and I sound quite the same. What am I?",what am i
2284,rat,"I've always had a pet pirate, you see. One who will forever love me. Now if you just repronounced my pet, then you shall get I am TOTALLY not insane and made an AMAZING rhyme! What is it?",what is it
3574,glasses,"I can be clean,  But I can be dirty,  I can crack into peices,  I can steam up,  But I can always see you,  Your vision won't be able to see,  Or could just be dodgy,  Without me. .    What am I?",what am i
3407,coco cola,Half a circle full a circle half a cicle A half circle full a circle right angle what is it,what is it
467,Ginger ale,My first has a stronger flavor than you might think.My second can be had with a 'clink'.My whole is a carbonated drink. What am I?,what am i
3239,opposite,I am night   I am day  I am light   I am dark  I am white  I am black  What am I?,what am i
4559,A Golf Ball.,"This object can be driven, but has no wheels, and can also be sliced and remain whole.What is it?",what is it
2366,gag,"My purpose is to silence but I can also make you grin. I can try to make you laugh with a pie or banana skin. If I make you happy, I've done my job but here's the trick, You won't be able to tell me, doesn't that make you sick!  What am I?",what am i
847,piggy bank,"My first you find in a pen, but not in a park.My second often needs your signature or mark.My whole, a vessel into which disks drop in dark. What am I?",what am i
1918,liar,"I have 13 arms, 10 legs, 2 head, and smell like burnt denim.What am I?",what am i
4362,I Am Paper.,"I am the runner, The pencils the chaser. I eat up the lead, I choke on the eraser. When I am done, I become another one, To be used again. I am white And blank as well. I can be folded, Into a bell. My corners are cut perfectly, My lines are straight and blue. Me having black marks or not, Fully depends on you. What am I?",what am i
3,sand,When I go to the beach.I am found. When I go in the water I am smooth.What am I?,what am i
2031,south pole,"I am, where down is up. What am I?",what am i
2982,bubbles,I'm usually round  I'm as light as a feather  but thousands of men cannot carry me  What am i?,what am i
992,cloud,"I'm not a bird, but I can fly through the sky. I'm not a river, but I'm full of water. What am I?",what am i
2139,violin,"I have a scroll, but not the strongest man can open it. I have a bridge, but only strings cross it. I have pegs, but it doesn't have any use for hanging.  What am I?",what am i
1632,Earth,71% is water. And the rest of it is land. Some of that is made up of soil. And some of its made of sand. What is it?,what is it
2807,busboy,"Although it sounds like I work on a transportation device, I actually work in a restaurant.  What am I?",what am i
1557,equal,"Read my riddle, I pray. What God never sees, what the king seldom sees, and what we see every day. What is it?",what is it
3410,im the floor,"I get trodded on every single day,I'm all different types of materials and am the lowest object on earth. What am I?",what am i
1059,house,"Round, I am a swing. Open, I am inviting. Full, I am winning. Green, I am steaming. What am I?",what am i
4429,Colors.,I come in a cone but I am not food;I will be skewed if you screw with my hue;I come by the millions but you can probably only name a few.What am I?,what am i
756,butterfly,"I have 16 legs then, I sleep for about a fortnight and a merge with 6 legs. What am I?",what am i
1004,rose,"I am a true beauty. You long to hold me close to your cheek, Though you will be cut if you hasten. I stretch out under the sun where you love to see me, And you long to take me in for your wife. I'm desired as I am young and flawless, Though my history runs deep, But you can't have me unless you cut me.  What am I?",what am i
3698,fart,"you can hear me but you can never see me, what am i?",what am i
1026,butterfly,"My first is in beauty, but not teary. My second is in flutter, but not reflect. My third is in petal but not leaf. My fourth is in tulip, but not pail. My fifth is in elf, but not fairy. My sixth is in rose, but not lose. My seventh is in flower, but not tower. My eighth is in leaf but not fear. My ninth is in youth but not truth. What am I?",what am i
941,earth,"I am the third from a sparkle bright, I thrive throughout the day and night. Deep in the path of a cows white drink. I've had thousands of millions of years to think. But one of my creatures is killing me. And so the question I ask to thee, is who am I?",who am i
4460,An eye or an eyeball,The land was white the seed was black  It'll take a good scholar to riddle me that. What am I?,what am i
1587,ink,"I am in books, but not in papyrus; I am in dollar bills, but not in dimes; I am in octopuses, but not in fish; I am in ballpoint pens, but not in pencils. What am I?",what am i
3230,bonfire,"Loudly I flicker, with a crackle and pop.  Feed me now quicker, or I will just stop. What am I?",what am i
739,pencil sharpener,"I'm always hungry, I'll always eat; Turn to feed me, And see I keep my food pointy and neat. What am I?",what am i
4328,Darkness.,"My traces are everywhere, day or night. My enemies can drive me away, but they can't kill me,and sometimes, it makes me. I make some people feel fear, others feel serenity. I came when you closed your eyes, I can make you have eyes but not see, but you must not want to leave me forever. I can devour everything. What am I?",what am i
3448,excuseme,"If i say ""xme"" what am i telling you?",what am i
3946,A needle.,"A slender body, a tiny eye, no matter what happens, I never cry. What am I?",what am i
2178,cardinal,"I can be counted to, My name is mentioned at a professional sports game, I used to have a lot of power, And I can fly. What am I?",what am i
3258,manequin,"I have a head, eyes, a nose, a mouth, a neck, shoulders, arms, elbows, hands, fingers, a chest, a stomach, a waist, legs, knees, feet, and toes, and I get dressed every day, yet I cannot move unless someone moves me.   What am I?",what am i
591,finish line,I am the judge of both bitter defeat.And who may make claim to victory sweet. No matter what effort you may expend.Without me you will never reach the end. Defining a limit which yields results.Perhaps which a statistician consults. Without me you'd have no way of knowing.Whether to stop or to keep on going. What am I?,what am i
3520,aloha,Island hello what am i ??,what am i
1347,bridge,"I can be man made or natural. I help you get from here to there. I can save you from drowning or falling to your death. But you'd better be careful for I am sometimes weak, then you'll regret you ever stepped foot on me. What am I?",what am i
1218,stoplight,I have 3 eyes. When the red one opens everything freezes until another one opens again. What am I?,what am i
486,wedding ring,"My first, a gathering in which loved ones take part.My second beckons that a conversation start.My whole represents a devotion of the heart. What am I?",what am i
4108,A cave.,"On my own, I am darkness, a black abyss. But, Life brings me light with its gentle kiss. I am quiet and cold, but warmth I can hold. Alongside beauties and wonders, sights to be told. My surface may be bare, this I'm aware. But, beautiful secrets I am eager to share. My mouth so large, I swallow you whole. To be in my belly is your goal. What may lie within can drive men to sin. Greed and desire, gluttony's kin. For some, I am fear. For others, hope. My perception shaped from life's scope. From the earth I have come, and forever will stay, even if parts of me crumble away. What am I?",what am i
2909,colors,I come in a cone but I am not food;  I will be skewed if you screw with my hue;  I come by the millions but you can probably only name a few.   What am I?,what am i
3556,needle,I have an eye but can not see.  What am I?,what am i
195,space,"I am everywhere. Nothing can compare. Run and hide and I will still be there Because everything is mine to share. No need to seek me out, Though, you may just run out. What am I?",what am i
3558,tree,"life after death it repeats it's self, green to brown it is  neither men nor women.  what am I?",what am i
357,shadow,"I have no mind or a soul. I've been eternally attached since man's dawn. My kind disappear on and off, to everyone I accompany them to their death, and buried with them, then I hide away when the casket shuts. What am I?",what am i
1798,star,I'm burning there.I'm up so high.I'm burning bright.Up in the sky. What am I?,what am i
470,word,What is it that you must give before you can keep it.,what is it
1332,hand,"I can open and close. I can harm, or men wounds with tools. I was in the past. I am in the present. I will be in the future.  What am I?",what am i
292,lullaby,Sing me to a baby about to go to sleep. What am I?,what am i
4284,A daisy.,"My head bobs lazily in the sun. You think I'm cute, For my face is yellow, My hair is white, and my body is green. What am I?",what am i
2692,tooth,"I am immobile yet I move, I am individual, but I reside with with my own, I am either brought up organized or disheveled, My existence brings satisfaction, other times pain.  What am I?",what am i
1298,shadow,"""Good morning!"" - I appear again! Time for breakfast - I`m long as F*** Its dinner time - I`m crouching down Supper time approaches - I`m on my tippy toes ""Good night!"" - . gone again.  What am I?""",what am i
583,tennis ball,You serve me but never eat me?What am I?,what am i
3229,night,I may fall but may never break. . .  I cause little children to quake. . .  I am part of your week but not your day. .  What Am I???,what am i
641,ring,"I can signify joining, with some flowers. One of me is the One; all power. If you see one of me you shall die without choice. On me, sometimes, are things of great price, Or maybe I am just a band. I am usually found on one's hand. What am I?",what am i
113,last name,Arnold Schwarzenegger's is really long. Michael J. Fox's is short. Daffy Duck's isn't human. Madonna doesn't have one. What am I?,what am i
2383,rocket,"I go up, I go down. Towards The sky and The Ground. What Am I?",what am i
2973,temperature,What is it that goes up and goes down but does not move?,what is it
3135,human being,I have four legs in the morning  I have two legs in the mid-day  I have and three legs in the evening  What am I?,what am i
3244,chick hatching in egg,your in a house.  theres no windows and no doors.  to get out you have to smash through the walls.   what am i?,what am i
329,eye,"You may find fire within me.Though to water I've been compared. You may also find a twinkle.When through my pane you stare. When of wind I am the calm.The center holding still. When of you, a different part.My bottom lid, my sill. You may look into me.only to see through. You may indeed look out of me.Through my frame of varied hue. The riddle in three parts.as letters in my name. The riddle shows you who I am.But tell me just the same. Who am I?",who am i
2315,computer,"If you are reading this, you have seen one before, It allows you to check weather, news and much more, Some do their work on one, some play on one, It makes us want to rip our hair out sometimes, You can get many degrees in college studying one. What am I?",what am i
481,civil,"I am a nice word composed of five letters, but the Romans would call me a numbers.What am I?",what am i
1455,heart,"What is something you don't own but you can give it to anyone you meet? You only have one, but you can give it away as many times as you want without losing it. What is it?",what is it
156,wind,"I howl, yet I have no voice. Can't be seen but my presence is felt. What am I?",what am i
2709,rainbow,"Violet, indigo, blue and green, yellow, orange and red; these are the colors you have seen after the storm has fled. What am I?",what am i
1317,voice,"I'm part of an instrument but can't see. Can't touch but can hear. Every human has it, in church you can hear. What am I?",what am i
3978,Paper.,"You can drop me from the tallest building and I will be well, but if u drop me in water I die. What am I?",what am i
2783,thimble,"An open ended barrel, I am shaped like a hive.  I am filled with the flesh, and the flesh is alive! What am I?",what am i
3903,Fire.,"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",what am i
3506,bathroom,I am the place to turn when nature calls what am i?,what am i
2497,tree,"When it's warm it has something warming it, but when it's cold it's naked. What is it?",what is it
4569,There are actually 3 correct answers: Caress. Princess. Brass.,"Find an English word which is singular, add an ""s"" and it becomes plural, and add another ""s"" it becomes singular again. What is it?",what is it
1998,parking meter,"I live off of a busy street,if you want you can stay for an hour or two,but if you don't pay rent I'll tell on you.What am I?",what am i
266,lamp,"If you give it a tug, you can sit in the dark. Tug it again and a light will spark. What is it?",what is it
1728,Rio Grande,"A river that flows from Colorado to the Gulf.I have a Mexican name. At 1,800 miles long I am one of the principal rivers of North America.I am not the Mississippi.What am I?",what am i
2169,lawsuit,"You don't want this, but if you have it, you don't want to lose it. What is it?",what is it
3632,compass,"I only point in one direction, but I guide people around the world.  What am I?",what am i
1606,tongue,I'm a king that speaks for my country At birth I protected by no one As I grow my father gives me 2 soldiers to protect me As I get matured many more are given to me And at my full age my father gives me 32 white soldiers to guard me and protect me What am I?,what am i
1181,truth,I may be difficult to trace.But impossible to erase. Without me there's no light to shed.Unsolvable problems instead. I may be difficult to take.But I will never bend or break. The heart of every equation.I'm discovery's foundation. What am I?,what am i
3838,brake break,"You can use me to stop, You take me to smoke; Not only do I stop, But I am a stop, And the result of pool's first stroke.  What am I?",what am i
3393,riddlerhe sucks at doing riddles,"I suck at writing riddles.  Everyone hates my riddles.  No one get's my riddles, and I laugh at myself when I don't know what people are talking about, and they are laughing at me.  Who am I?",who am i
3205,news paper,"Im color red,white and black. What Am I?",what am i
3482,wind,"I fly forever, rest never what am i ??",what am i
3015,toedsloth,I live in the canopy.   I rarely touch the forest floor.    I hang upside down all day.   I move as slow as a tortoise.   My hair is brown and green.    I eat tree leaves.    Who am i?,who am i
4563,A Last Name.,The Pope has it but he does not use it. Your father has it but your mother uses it. Nuns do not need it. Your lady friend's husband has it and she uses it. What is it?,what is it
2987,urinal,"A noble device, cursed to accept disgraceful treatment.  It's absence can tell a man he doesn't belong.  What is it?",what is it
112,ice,"I am strong enough to smash ships, but I fear the Sun. What am I?",what am i
3062,they have many layers  onion,"If you take off my skin, I won´t cry but you will cry.  What am I ?",what am i
3125,word ton,"Foward I am heavy, but backward I am not.  What am I?",what am i
485,lawn mower,"Blade to blade, I always win, my foe laid low and even. Yard by yard, through thick and thin, I'm busiest in season. What am I?",what am i
4660,I'm your imagination.,"I soar without wings, I see without eyes. I've traveled the universe to and fro. I've conquered the world, yet I've never been anywhere but home.
Who am I?",who am i
1598,fork,"I have Three or Four Silver Heads, My tail is sort of long. What am I?",what am i
3885,his breath,"This is as light as a feather, yet not even Arnold the Governor of Cali-fornia can hold it for long.  What is it?",what is it
3770,glass,"I can be all colours of the rainbow, Or have no colour at all.  Sometimes I'm empty, Sometimes I'm full.  What am I?",what am i
3837,beetbeat,"I can come in a can, I can come as a punch, I can come as a win, You can eat me for lunch.  What am I?",what am i
1702,sun,"A golden treasure that never stays; The coin whose face gives wealth to all. Strands, nuggets, and dust of gold are all bought with its shining grace.  And all are more precious than any gleaming metal. What am I?",what am i
3697,fart,"When I am released to the wind, you look away and you pretend, but away your friends I will send.  What am I?",what am i
972,arrow,"I fly through the air yet lack wings, I have a head but no thoughts, past my cock and hens lies a narrow valley what am I?",what am i
146,hummingbird,"As small as your thumb, I am light in the air. You may hear me before you see me, but trust that I'm there. What am I?",what am i
840,aluminum,I am a shiny metal sheet that covers BBQ food. What am I?,what am i
3852,pair of gloves,"When I am filled I can point the way,  When I am empty Nothing moves me,  I have two skins  One without and one within.   What am I?",what am i
1694,heart,"It dances and skips,it's read in the eyes but it cheats with the hips,If it meets its match it's easily caught,but it's worth nothing if it is bought.What is it?",what is it
2707,compass,"Pointing North, South, East, and West it saves the lost and helps the rest. What is it?",what is it
1626,artist,I try to make what is already there. It is my way of grasping beauty. To try and imitate God's creation. Who am I?,who am i
2901,readreed,"I sound a color, But that's the old me; I grow near the water; I'm what your doing.  What am I?",what am i
12,hearse,"I am sometimes white but usually black. I take you there, but I never bring you back. What am I?",what am i
4410,I am a Piston.,"I have two rings. I move by request. If the mixture is not right, I just sit at rest.What am I?",what am i
3956,"Watermelon! You eat the red part, and you stop eating at the green part.",You go at red but stop at green. What am I?,what am i
2359,pains,"I am something many people don__ enjoy having as a friend, including you. But I am called upon anytime someone is injured. I have 5 letters and when my last letter is put before my first letter, I become a country. What am I?",what am i
1165,energy,"I can be converted from one form to another and transported from one place to another, yet you can not create or destroy me.  What am I?",what am i
2242,god,"I'm not dead i'm not alive, i'm not underground i'm high up in the sky, people speak of me but never saw me. Who am i?",who am i
1110,stage,"What has wings, but can not fly. Is enclosed, but can outside also lie. Can open itself up, Or close itself away. Is the place of kings and queens, And doggerel of every means. What is it upon which I stand? Which can lead us to different lands.",what is it
2166,volcano,These are objects which can erupt. Like Vesuvius that destroyed Pompeii. They pump out lava and magma. And spray ash and rock which land miles away. What is it?,what is it
1164,stock exchange,"My first, if it runs out, one may want to yell.My second happens when there is buy and sell.My whole, in the Big Apple, starts with a bell. What am I?",what am i
1301,baby,"I can be created by humans,But they cannot control me.I suck on wood, paper and flesh alike.I can be more of a hindrance than help at times.To my creators, I seem to be everywhere at once.What am I?",what am i
1563,crocodile,"Never trust this fellow’s grin. His teeth are sharp and course, his blood’s as cold as icicles, and he’ll show no remorse! What is it?",what is it
3259,we are yaks,Most of us do not have fixed homes since people hunt us. We rest in a fixed shelter only when we are to have babies. What am I?,what am i
1607,lampost,"A light aloft alone in shadow, I light the way for paths you follow. What am I?",what am i
1503,golf ball,"I am cute, little, white and have dimples all over, What am I?",what am i
159,letter,More rare today than long ago. There's a salutation from friends written below. What am I?,what am i
4478,A window.,"There is an ancient invention, still used in some parts of the world today, that allows people to see through walls. What is it?",what is it
71,roads,I run in and out of town all day and night but I never get tired.  What am I?,what am i
1955,owl,I sit in parliament. You'll only see me at night.  What am I?,what am i
1924,moon,"Sometimes I am black, some times I am white sometimes you can seen me at night. I have friends that are with me that are much smaller. Some of you have walked on me but not all. What am I?",what am i
3611,snake,animal doesnot have feet?what is it?,what is it
2989,kidney,"Within, I clean all that is bad and is old.    I make juice that's the color of gold.    Should i die, a filter machine would you need assembled   To replace me, and beans I resemble.     What am I?",what am i
1976,dreams,"They are scenes of madness, grief, gaiety, seeming purpose, confusion and queerness often appearing in the dark hours of night. They stretch through time, seeming only but a few moments, yet when reality is not as kind. When appearing they are logical, but when reminiscing they are strange and odd. What is it?",what is it
740,snowflake,"I fly when I am born, lie when I'm alive, and run when I am dead.  What am I?",what am i
253,promise,What is it that you ought to keep after you have given it to someone else?,what is it
1367,bush,"I am flora, not fauna, I am foliage, not trees, I am shrubbery, not grass, What am I?",what am i
914,mind,What is it that you have that no one else has?,what is it
2499,eraser,"When I'm young im white as salt And gets smaller, fault by fault.  What am i?",what am i
288,wedding ring,"I am something, I am endless as chain. Once you have me you are bound for life but young girls want me. What am I?",what am i
3455,props,It can be used onstage or to express admiration what is it?,what is it
75,Hawaii,"I have palms but not on hands, I offer foods from distant lands, When at my peak you'll see me smoke, I'm famous for my friendly folk, My flowers grow and yet they lay, There's fire where a man will play. What am I?",what am i
1993,coconut,"A container holding water but not a cup. If you want to find me, look up. What am I?",what am i
4086,A Balloon.,"You breathe out, I breathe in. You let go, I breathe out. What am I?",what am i
3160,garbage,"You don't want me, although I keep coming back.  You make me, but then get rid of me like that.   What am I?",what am i
3313,examination,"i am a nation , all lazy undergraduates hate me what am i?",what am i
626,lightning,I hit the tall miss the small. In a flash I am gone. What am I?,what am i
269,seal,"Implies approval like a big red check, When compromised, a sure sign to reject. No arms, no legs, but gets around, Pugilist at sea, on and off ground. What am I?",what am i
2294,effort,"If you have it you can have a happy life. It is invisible. It flows between people like an energy. You might call it a commodity. Without it, you quickly find enemies. It can't be bought. What is it?",what is it
4023,A bubble!,"I am hollow, I die if you touch me. What am I?",what am i
4628,lightning,"My tines be long, My tines be short, My tines end ere, My first report., What am I?",what am i
2372,lawsuit,"What is it that no man wants, but no man wants to lose?",what is it
3765,onion,"I come out of the earth, I am sold in the market.  He who buys me cuts my tail, takes off my suit of silk, and weeps beside me when I am dead.   What am I?",what am i
4046,Time.,"I cause death yet make your day. I am your friend, but your enemy. I am the beginning and end. What am I?",what am i
4510,A lock.,"It doesn't bark, it doesn't bite but it still won't let you in the house. What is it?",what is it
526,gold leaf,"My first, highly-sought, below the surface lurks.My second adorns natural, branched networks.My whole adheres to some literary works. What am I?",what am i
2059,beet,"I can come in a can, I can come as a punch, I can come as a win, You can eat me for lunch. What am I?",what am i
4095,Just a thought.,I am everything. I am nothing. I can make you tremble in fear or make your sadness disappear. I've been with you since you arrived and I will be with you at the moment you die. We've known each other for our entire lives. I know you but you create me. What am I?,what am i
4533,A bridge.,"I can carry, but I cannot walk. My beginning is also my end. I may break but I also may bend. What am I?",what am i
1221,cats eye,"I am covered with three layers, two of them can be very sensitive, my layers can cover me in a heart beat or a long time. What am I?",what am i
3271,es,"There are two of these in a secondes, 1 of these in a weak, and 1 in a year.  what is it?",what is it
4098,I'm a ruler.,"I'm long but short. I can brake but bend. I can be wood, tape, and almost anything if you get me just right. What am I?",what am i
4148,A Book.,I am the shell of something interesting. My front is very eye catching but my inside tells all. What am I ?,what am i
1057,Pac-Man,"I have been chased by four creatures for years, They never give up until I get a burst of energy, Even when I finally eat all of the dots, More just keep coming and coming. I am of basic shape, usually yellow and round, I need help moving around, There are many walls and intersections, It is hard for me to tell which way I should go. People guide me through these mazes, They all try to make me dodge these creatures, But many fail, there is just too much to go through, So tell me, who am I?",who am i
1833,New York Times,"My first is novel, shiny and bright.My second a warring rose of white.My third are a-changin', did Dylan write.My whole to press will expedite. What am I?",what am i
886,vertigo,"I am found atop the mountains, and alongside a crag. At the end of a winding staircase, and I will accompany the plague. Who am I?",who am i
3759,map,I have streets but no pavement.   I have cities but no buildings.   I have forests yet no trees.   I have rivers yet no water.   What am I?,what am i
3078,im an owl,"i am wise yet weird, i am heard but rarely seen.   whenyousee meyour amazed. what am i?",what am i
1348,Jigsaw,"I come to you shattered and broken; And though not a word will be spoken; I will reveal to you, a world all anew; If you've the patience to make me unbroken. What am I?",what am i
4577,Your heart.,"What is something you don't own but can give to anyone you meet? You only have one, but you can give it away as many times as you want without losing it. What is it?",what is it
4079,Choices.,"If you have three you have three, if you have two you have two and if you have one you have none. What am I?",what am i
338,oval,I am round. I have only one line. Circle is not my name indeed. What am I?,what am i
3663,cat,I can be nice when i want to.  And I can be mean when I want to.  My eyes are thin but sometimes wide.  What am I?,what am i
2840,mississippi,It has a miss in it  an is and you sip it what is it?,what is it
4272,A secret.,"I am hidden. I am always safe with you, but if you tell me, I am gone. What am I?",what am i
2628,silence,It is broken as soon as we pronounce its name. What is it?,what is it
474,brain,"No one can see me, hear me, feel me, or smell me. Yet, if you tell me.  I can do all those things and more. Every person, animal, amphibian (or more) needs me. Without me my wielder will die. I can only be touched when my bearer is dead, and I can only be used if my bearer lives. You can create me cooperatively, but cannot create me manually. What am I?",what am i
1569,blue,I am seen in the water and in the sky. I am in the rainbow and a jay’s feather. What am I?,what am i
1896,Fire hydrant,"I stand by the side of the street.Just standing filled from my head to my feet. My top might be yellow, white or red. My body the same some have said. But this is no game when sirens come calling, For my insides to your house they just might be hauling. What am I ?",what am i
2054,pumpkin,"You might pick up one of these. When you go out to a patch. Carve it, put in a candle. And then light it with a match. What is it?",what is it
1765,sunset,"My show is unique each time you see me, A colorful spectacle and it's free. Then it ends when I fall and never rise, A star on a stage as big as the skies. What am I?",what am i
3733,bat,I see without seeing   to me darkness is as bright as daylight.   What am I?,what am i
2740,silence,Say my name and I am no more.   What am I?,what am i
2474,H2O,"I may move through valleys, I may plunge off a cliff to the world below. Without energy, I'm cold, Which will make me slow until I can't go. The one thing I can't do is swim, If I'm caught in a current, I'll go with the flow. What am I?",what am i
3851,your reflection,"you see me everyday in your house, yet you can never shake my hand  What am I?",what am i
895,waterfall,"Bright as diamonds, Loud as thunder, Never still, A thing of wonder. What am I?",what am i
162,smoke,I can generate fear and some say I come out of your ears. I am as quiet as a mouse but not welcomed in the house. What am I?,what am i
3217,teapot get it one tea,"I start with t and end with t, however I only have one t.  What am I?",what am i
2617,calories,"Some people avoid me, some people count me, some people just consume me. What am I?",what am i
3884,cotton,"Im as soft as a babies bottom, And used in many different needs and niches, As puffy as the clouds, While giving you comfort.  What am I?",what am i
1853,syllables,"He has one and a person has two, a citizen has three and a human being has four, a personality has five and an inhabitant of earth has six. What am I?",what am i
373,boat,"My home is in the water. You can drive me if I don__ make you sick. Be gentle, don__ put a hole in me, and when you__e done, please tie me up. What am I?",what am i
3065,morning dew,"I welcome the day with a show of light,  I steathily came here in the night.   I bathe the earthy stuff at dawn,  But by the noon, alas! I'm gone.    What am I?",what am i
4372,An arrow,"I'm a killing machine used again and again;I bend a little, but way less than my friend;For many years I was number one,But I've been replaced by my modern son.What am I?",what am i
2757,corn,You throw away the outside then cook the inside  Then you eat the outside then throw away the inside               What am I?,what am i
996,song,"Out of a man's mouth it comes forth, lightening hearts and inspiring souls to be steadfast. Tales of old it tells, of warriors and kings, of castles and dungeons. It tells of sunshine and hills, flowers and grass. Of food and drink it encourages you to press on, of fantasies it gives you rest and delight. It carries on through ages and never an ending does it find. What is it?",what is it
1288,eggs,Birds lay these in the spring and it rhymes with legs. What is it?,what is it
2927,winter,"After you go through a fall I will take over.  All life will stall, or at least grow slower.  What am I?",what am i
2662,laugh,"Out of nowhere, I can erupt.A peaceful calm, I may disrupt. My trigger, one might not expect.Those around me, I may infect. The atmosphere, I may brighten.By stimuli, I delight in. From one to the next, I vary.My echoed sentiment merry. What am I?",what am i
2071,chair,"I have two arms and a back, Supported by four legs. But there is something I do lack, Actually, I have no eyes to see. I also cannot move around, Or at least, not on my own. Unfortunately I can make no sound, Except perhaps a squeak. If you chop off my head, You are left with a hair. If you chop off my tail, Only tea is left there. One more clue I will add, Is that you often use me. Yet you barely ever notice, In fact I'd much rather be a tree. What am I?",what am i
3346,i an a newspaper,"I am black, white, and red all over.  What am I?",what am i
1617,grumpy,"I don't like to wash my hands, or sing and dance.I play the organ in a very different way.I have to share a cottage with six other people.And I don't always have a very nice attitude. So you better stay out of my way!Who am I?",who am i
1069,cell phone,"You talk through me, but to someone else. I never forget without your permission. You can't live without me. What am I?",what am i
2790,rainbow,im blue not black im red not grey im yellow not brown im green not gold what am i?,what am i
3809,bubble,I am perfectly round but I am untouchable.  Wind can effect me.  What am I?,what am i
4647,An eye or an eyeball,The land was white the seed was black  It'll take a good scholar to riddle me that. What am I?,what am i
