Words,BFSConcepts,GoldRiddle,GenRiddle
cross,"['christian', 'Christian', 'a follower of Christ', 'believe in Jesus Christ', 'bring an offering', 'christlike', '300412430-s']",It can look like a TIt can look like an XThey can be found on chains. Hung around peoples necks. What is it?,"

What carries a symbol of religious might, 
Its shape resembling a man's final plight. 
To some it brings faith, to others, loss, 
Can you solve the riddle of this holy cross?"
thunder,['after'],I make noise yet you don't see me make it. I alarm for good yet sometimes for worse. I have a companion. What am I?,"

I am the angry roar of the sky,
Flashing and booming, I'm never shy.
My light is bright and my sound is strong,
Bringing a storm that can last all night long.
With bolts and crashes, I reign supreme,
In a battle with lightning, I'm part of the team.
Together we strike with a powerful force,
Causing chaos and fear, we run our course.
What am I, you may wonder and ponder?
I'm the son of rain, I am the mighty thunder."
reflection,"['image', 'mirror']",I have arms but cannot carry a thing. But wave at me and I wave back at you. What am I?,"

I am not a mirror, but I hold your image tight,
In a cozy bedroom, I am always in sight.
I am found on a surface, clear and bright,
What am I? A reflection is my name, what an insightful sight."
stamp,['postage stamp'],"I travel all over the world, but always stay in my corner. What am I?","

I am small and sticky, but hold great worth,
I travel the world and cross borders on earth.
I bear an image, a symbol, a sign,
A little square piece that represents a design.
I may be small, but I send big things,
I am essential for letters and messages to bring.
What am I? A postage stamp, of course!
Without me, your mail would surely be lost."
nightmares,"['nightmare', 'a nightmare', 'a scary dream']","I can't t hurt you, but I can leave you with scars. Nobody wants me, but everyone has me. But you are the only one who can see me. What am I?","

I am a figment of your mind,
In the darkness, I tend to find.
I feed on your fears and fright,
Every time you close your eyes at night.

Some say I am just a bad dream,
But to you, I am more extreme.
For I am the embodiment of terror,
A chilling force, your worst error.

A creature of the night, I roam,
Haunting your dreams, I call home.
You may try to escape my grasp,
But in your mind, I forever bask.

So beware of me, for I am real,
A nightmare, a demon you can't repeal.
I am"
burn,"['a burn', 'burn off', 'fire', 'heat', 'a form of energy', 'cold']","I'm what one does to their victim if they cheat.I result from something cooked you overheat.I'm in your legs when running hard down the street.Do me plus ""out"", your energy will deplete.Thanks to me, your digital copy's complete. What am I?","

I am the result of fire's heat,
But beware, touch me and you'll get a sting,
Some see me as an injury,
Others as a sign of victory,
When you accidentally let me return,
You'll see the object of your concern."
komodo dragon,[],"I live in a hot, dry, rock islands of Indonesia.  I eat carrion and live snakes, deer, goats and birds.  I am 3m long and weighs up to 136kg.  What am I?","

I am known as a fierce predator,
With scaly skin and a fierce demeanor.
Found on an island far away,
I am the largest lizard some might say.
My jaws are strong and my bite is tough,
Some call me a giant lizard, others call me tough.
What creature am I, can you guess?
A legendary reptile, the Komodo Dragon, nothing less."
elephant,"['Africa', 'a circus', 'a trunk', 'a zoo', 'elephante', 'pachyderm', 'pachiderma']",It is said I never forget. I am gray; I have a trunk. What am I?,"

In the circus ring, quite a sight to see
A gentle giant, so full of glee
Long, wrinkled trunk, used with finesse
A creature so grand, it's hard to confess
Native to Africa, where the sun shines bright
With tusks so strong, and ivory so white
A majestic mammal, a symbol of grace
What am I, in this circus place?"
dog,"['a bone', 'a canine', 'a kennel', 'a loyal friend', 'animal', 'a zoo', 'an animal']",People are scared of me but I am loved by some. I can be your best friend but could become your enemy in a blink of an eye. What am I?,"
I am furry and friendly, yet fierce in my bark
I'm by your side, guarding your house in the dark
Some consider me a pet, others an animal wild
But to my family, I'm always loyal and mild. 
What am I? 
"
shadow,"['presence', 'being']","As fast as an eagle, as slow as a slug. As tall as a tree, as small as a bug. Sometimes in front, sometimes behind. Never on top, and always aligned. What is it?","

I appear on the ground,
But I have no sound,
I follow you around,
But can never be found.

What am I?"
Nothing,[],"The rich people want me, the poor people have me, if you eat me you die. What am I?","

What is always there but never seen? 
It's something we all have, yet always mean. 
You cannot hold it, touch it, or grasp. 
But without it, our lives would never last. 
What am I, this elusive thing? 
A simple word, yet a powerful king."
stapler,"['a desk', 'a desk drawer', 'a desktop', 'a stapler', 'an office building', 'attaching papers', 'double as a paperweight', 'machine', 'a machine', 'create electricity', 'crush ice', 'dispense popcorn', 'exercise muscles', 'filter']","The things I bite, they don't bleed, I don't bite until you push me; I bring my victims together each time I bite, But they'll come undone if you pull it just right. What am I?","

""I sit on a desk, but I'm not a chair
I'm often overlooked, though I'm always there
I hold papers together, with a firm grip
But without me, they'll just slip
I may be small, but my work is grand
In a busy office, I'm always in demand
With a click and a clack, papers no longer scatter
Can you guess my name? I'm a handy stapler."""
road,"['a road', 'car', 'cars', 'a car show', 'a form of personal transportation', 'a freeway', 'automobiles']","This is an old Canadian riddle from 1300-1900 AD. What is it that which goes up the hill.And down the hill, And of all yet standeth still?","

I am a way for cars to go,
A street, a path, a route to know.
Without me, they'd have nowhere to go,
But with me, they can drive to and fro. 
I'm crucial to the rhythm of the city,
Without me, there'd be no hustle or pity.
But beware, for on my surface you must be bold,
As danger may lurk on me, the road."
death,"['Death', 'a war', 'bring sorrow', 'inevitable']","Some try to hide, and some try to cheat, but time will show, and we always will meet. Try as you might, to guess my name, I promise you'll know when you I do claim. Who am I?","

What is the end of life,
A battle we cannot ignore,
It brings sorrow and strife,
And is finite forevermore."
future,"['future-day', 'past']",I am always in front and never behind. What am I?,"

I am not a moment in the present, 
nor have I happened in the past,
My existence is always distant, 
like a shadow that cannot be cast.

I am shaped by history's hand,
and defined by the ticking clock,
But cannot be held in anyone's command,
as unpredictable as a hidden lock.

Some say I can change at will,
as though I were a fickle creature,
But the truth is, I am never still,
always evolving in every feature.

Though I may seem like a mystery,
the truth is simpler than it seems,
For I am simply the word that describes,
everything beyond this moment,"
hippo,"['Algeria', 'Hippo']",I have four legs.                                                   I live in Africa. I am big and grey. I live in the river.  What am I?,"

I am known as the ""river horse,""
A massive creature with a powerful force.
With a barrel-shaped body,
And teeth that are sharp and brawny.

I can be found in Africa's rivers and lakes,
A vegetarian diet is what I partake.
Some call me by another name,
Nilski konj, the Serbo-Croatian claim.

I may look slow and lazy,
But don't underestimate me, baby.
My speed can reach a surprising level,
When in water, I am quite a revel.

Guess my name, if you please,
I am a mammal that loves water with ease.
Without me"
dust,"['a closet', 'a desk', 'a library', 'a shelf', 'scatter']",People are hired to get rid of me.    I'm often hiding under your bed.    In time I'll always return you see.    Bite me and you're surely dead.    What am I?,"

I'm found in the space where you lay your head,
I'm often stirred up when you hop in bed.
I can hide in a closet, lurking in the dark,
Or collect in the corner, leaving my mark.

Some may think I'm just a nuisance,
But my presence can be quite insistent.
From your desk to your bed, I'll always be near,
But don't worry, I'll disappear with a single clear.

What am I? Just a little speck,
You'll find me in every nook and every deck.
I may be small, but don't underestimate my might,
I'm dust,"
palm tree,[],My first word has lines that intersect.My second has limbs that grow erect.My whole in cold spots you'd not expect. What am I?,"

I have a long trunk, but no branches to see
My leaves dance in the breeze, up high and free
In tropical places, I'm a common sight
But in colder climates, I would not survive the night
What am I? A tall and swaying friend
Whose name is the same as a dessert at the end."
lava,"['a volcano', 'hot']","The bottom heats, The top cools, And little blobs.Swim in my pools. I can be different colours, And be a source of light, A bedroom accessory, I light up the night!  What am I?","

I am the fiery beast that rumbles,
From beneath the Earth I grumble,
My molten core is always flowing,
Dangerous and fierce, always showing.

I am the source of scorching heat,
Pouring down like a fiery sheet,
My glowing rock is a sight to see,
But beware, you don't want to be me.

You may think you are hot and tough,
But compared to me, you're just a puff,
My temperature will make you cower,
I am the king of volcanic power.

What am I, you may ask,
A force to be reckoned with, that's my task"
dreams,"['dream', 'dremes', 'live in the dreamer', 'lucid']",I go through you fast but you see me slow.  What am I?,"

I can be both real and surreal,
I can make you laugh or feel,
Some say I am just your mind's schemes,
But I am much more than just mere dreams."
onion,[],"Some sad, some good, some bad, some great.   WHAT AM I??????????","

I am a bulb, a tasty treat
Grown underground in a single sheet
My layers are many, my taste is divine
But tears may fall when you chop me just fine
What am I, this staple in the kitchen?
A vegetable, with a distinct aroma and nutrition."
glasses,"['a cabinet', 'correct vision', 'correcting vision', 'enhance visual clarity', 'expand the range of vision', 'eyeglasses', 'eye']","Without a bridle, or a saddle, across a thing I ride astraddle. And those I ride, by help of me, though almost blind, are made to see. What am I?","

In the cupboard or in the cabinet, 
You'll find me, I'll help you see better 
Put me on to improve your eyesight, 
I'm more than just a pair of eyeglasses in sight. 
What am I?"
venom,"['animal toxin', 'malice']","I have no fangs, yet I constantly bite.   I have no scales, yet I slither through you.   What am I?","

I am a deadly substance that courses through the veins,
From creatures feared and revered in various domains.
My bite or sting can leave you in despair,
And make you cry for help from anyone who may care.
Though I come from animals, I am not their friend,
For with one drop of me, their foes I can send.
What am I, this lethal potion?
A toxin known as venom that inspires fear and caution."
paradox,['contradiction'],"I am and yet cannot. I am an Idea, yet can rot I am two but none. I am on land, but on sea. What am I?","

""I am a word that holds a secret,
In me lies a concept quite neat,
For I am both true and false,
A puzzle that will leave you engrossed.

In life's mysteries, I am found,
A paradox that will astound,
My meaning hidden in plain sight,
An enigma that keeps you in plight.

You see me in 'paradoks' spelled,
A play on words that'll make you twirl,
With logic I can't be defined,
A contradiction that's hard to confine.

What am I, this riddle perplexing?
A strange anomaly, oh so vexing,
A paradox"
love,"['a family', 'a feeling', 'emotion', 'Mind', 'an emotion']",I multiply and add when you divide me with others. What am I?,"
I am a feeling, so strong and true
A simple kiss can make me bloom 
When you hold her close and tight 
My presence shines oh, so bright 

Some may say I am blind 
But I am gentle and kind 
For I can make you forget 
All the times you may have regret 

You can propose to a woman with me as your guide 
For I am what makes the heart open wide 
A simple ""I love you"" is all it takes 
To seal the deal with no mistakes 

But I am also the power to forgive 
For without me, resentment would live 
A tender touch, a"
feather,"['a cap', 'a feather', 'animal material', 'bird', 'fledge', 'decorate']",I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt. My merest touch brings laughter. What am I?,"

What can make you giggle and squirm,
But also make a bird take flight?
Lighthearted and light as a breeze,
A tickle seems only right.

But found upon a bird's back,
Or atop a fancy cap,
It adds a touch of grace,
For beauty it's a map."
snail,"['gather', 'puž', 'shell']",I have a foot but no legs. What am I?,"

""I am a creature with a spiral home,
My movement is slow, I often roam.
I may not be quick, but I never fail,
I carry my house, I am a ____."" "
phone,"['a desk', 'an office', 'calling']","You answer me, although I never ask you questions. What am I?","

I sit upon your desk, 
But I am more than just a prop, 
With me, you can connect and reach, 
To someone who you want to stop, 
A conversation, a simple ring, 
I am your lifeline, your own throne, 
So pick me up and give a ring, 
For this device, you know, is a phone."
statue,"['a museum', 'a park', 'a three dimensional sculpture', 'art', 'church', 'figure', 'a figure']","They say the eyes are windows to your soul, But yet I had no soul, Through time to time I always stand tall, An immortal, Nothing could move me, If I could, I would run as fast as I could, Feeling the wind carry me beneath my feet, But alas, I can not, The Medusa's Curse What am I?","

I am a representation of a person in stone,
A symbol of liberty, a sight to behold,
An embodiment of art, a timeless creation,
Standing tall and proud, I am a statue in every nation."
egg,"['a egg', 'a grocery store', 'a nest', 'baby', 'a very young child', 'child', 'a school', 'anger his mother', 'become an adult']",Ice melts when heated up. But I solidify when I'm heated up. What am I?,"

I am laid by a chicken, 
My shape is so grand, 
Inside I hold a golden surprise, 
With a white blanket strand. 
What am I?"
Hurricane,[],I have an eye but cannot see.  I am stronger and faster then any man alive but have no limbs.   What am I?,"

I am a storm with a fierce name,
Destroying all in its wicked aim.
I swirl and spin with great might,
Leaving a path of chaos and fright.
What am I? "
human heart,[],"It is Cold and it is Hot,  It is White and it is Dark,  It is Stone and it is Wax,  Its true nature is Flesh,  And its color is Red.    What am I?","

I am strong yet tender, beating without rest,
A symbol of love that beats in your chest,
Emotion I carry, and life I sustain,
What am I? A mystery that will forever remain."
top,['acme'],I am present in a laptop. I am also a human's t-shirt. I have the highest mark in class. I am usually described as something above. What am I?,"

I may be above, but without a doubt,
I'm always thinking about the opposite route.
I go hand in hand with the lowest of lows,
Together we make quite the duo, you know.
Without me on top, it's just not complete,
So tell me, my friend, what word have I beat?"
nike,"['109590896-n', 'Greek mythology', 'Nike', 'Nike+', 'nica', 'Nica', 'nicaragua', 'nicaraguan', 'slang']","I am a tick, I am usually black or white, You will find me on many clothing, People think I am cool.What am I?","

I am a word that's read both ways,
A sports brand that's known for days.
In Greek myth, I'm a goddess heart,
Of victory and war, I'm the start.
With wings on my heels, I swiftly strike,
For strength and speed, I am alike.
What word am I, can you tell?
A mighty symbol, my name is Nike."
traffic light,[],"I stare at you, you stare at me. I have three eyes, yet can't see. Every time I blink, I give you commands. You do as you are told, with your feet and hands. What am I?","

I am a signal that doesn't speak,
But my colors guide and keep,
Red, yellow, and green,
Control the flow of the scene,
What am I, that you must obey,
When driving through a busy day?"
anchor,['hook'],I keep boats from moving through the water. What am I?,"

I am the end of a line, yet I hold strong.
A kotva by any other name, I am not wrong.
With a hook-like shape, I catch fish with ease.
But my true purpose is to keep a vessel at ease. 
What am I, you may ask? I am an anchor, I do declare.
Without me, a sailor's journey would be full of despair."
air,"['a gas', 'atmosphere', 'an atmosphere']","I'm in every room, yet outside. I move at different paces, but you never see me moving. Where ever I am its crowded, but when your there you don't see or feel anyone. If you try to hit me you always miss, yet you always feel me. You need me to live, but I cause disasters. What am I?","

I am a gas that is found in every place,
Without me, life would not be the same pace.
I'm vital for breathing, for all living things,
I'm present in the air, in full swing.

My chemical name is oxygen, they say,
But most know me as simply ""air"" every day.
I'm invisible and yet all around,
Invisible, yet my presence is found.

I'm made up of molecules, so light and small,
But can have a great force, when in a ball.
I can help you start a fire or fly a kite,
But too much of me, and I can"
phonebook,[],"A book once owned by the wealthy, now rare to find. Never for sale and often left behind. What am I?","

I hold numbers galore
But I'm not a calculator for sure
You'll find me on a shelf or nook
What am I? That's the phonebook."
christmas tree,[],"My born colors are mint and cherry, usually I am covered with bright orbs and lights off fireworks circling me, what am I?","

I stand tall but have no feet,
A star on top, what a treat,
My branches hold memories dear,
A symbol of the festive cheer.
What am I?"
age,"['birthday', 'birthdays', 'bake a cake']","Those who have it least don't know that they have it.  Those who have it most wish they had less of it, but not too little or none at all.  What is it?","

I am a number that can't be stopped
Increasing every year until I've reached the top
With each passing day, closer to my prime
A measure of time, a symbol of time

Some see me as a burden, a sign of decline
But to others I am wisdom, a conqueror of time
I am a reminder of how far you've come
A badge of honor, a life that's been won

Some dread my arrival, but I am also a gift
A precious commodity, a treasure to sift
I am the answer to the question of ""when?""
The inevitable truth, the number that"
lie,"['a lie', 'deception', 'deceive']","I'm sometimes white, and always wrong. I can break a heart and hurt the strong. I can build love and tear it down. I can make a smile, but more often bring a frown. What am I?","

I am a word that can cause strife,
But sometimes, protecting someone's life.
When you get caught, I am to blame,
And yet, for deception I am your game.
You utter me when you tell a story,
But keep in mind, it may lead to worry.
What word am I? It's no surprise,
For I am the little three-lettered lie."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","As a stone inside a tree, I'll help your words outlive thee. But if you push me as I stand, the more I move the less I am.What am I?","

I am used to write on paper,  
With lead and an eraser that's taper.  
I may be found in a drawer or a case,  
In a classroom, I'm always in place.  
What am I, you may ask?  
Well, just grab me when you need a quick task."
frog,['a pond'],I have a puppet thatrhymes with dog.It is a little green And sits on a log!What is it?,"

I am a slimy creature that hops with ease,
In the cool water of a pond, I am at peace.
My tongue is long and sticky,
Catching insects that are quick and tricky.
Hiding in the lily pads, I blend in like a log,
Can you guess what I am? I am a _____.

Frog, of course!"
myself,['i'],Not my sister nor my brother but still the child of my mother and father. Who am I?,"

I am a word that starts with ""I"",
A pronoun used for ""me"" is what you'll see,
With ""self"" at the end, I become complete,
A word for ""me"" that's hard to beat. 
What am I?"
pillow,"['a bedroom', 'cushion']","I get squished, smoothed out. In the morning I feel 3 pounds lighter, I get hot when being all smothered with filthy skin. Please take a shower before you use me. What am I?","

In a peaceful room where one rests their head,
A fluffy, soft object awaits their bed.
It's often used in slumber, to keep one's head still,
And silence the noise of a loud nightly thrill.
With eyes closed tight and breaths rhythmic and low,
It's the perfect companion for those who snore and doze.
What am I, used in a bedroom for sleeping and more,
A comforting companion when you close your eyes for sure?"
paper,"['book', 'burn', 'a burn', 'burn off', 'fire', 'heat']",I sometimes have paint put on me but I'm not a wall. I come from trees but I'm not a fruit. I get put in a printer but I'm not ink. What am I?,"

I am used for writing, but not for pens,
I am flat and thin, not like any lens.
I am made of wood, yet I am not a tree,
My color is white, but I can also hold glee.
What am I?"
roads,"['anchorage', 'Anchorage', 'area']",I run in and out of town all day and night but I never get tired.   What am I?,"

I am a path that branches off,
A means of travel, never lost.
I connect the streets and roads,
An anchor to guide your load.

Some may call me an anchorage,
Others see me as a mirage.
Even though I may seem far,
I'll always lead you to where you are.

I am not a singular street,
But a network that weaves complete.
So take a journey, follow my code,
And discover the beauty of roads."
heroine,"['hero', 'Hero']","My first two are male, and my first three female.My first four save them both, and my whole is a female of the same sort.What am I?","

I am a woman of strength and power,
Named after a drug so strong and sour.
But unlike the heroina, I am not a vice,
For I am a symbol of courage and sacrifice.
In the face of danger, I am no stranger,
I am a legend, a hero - I am a ___."
scarecrow,[],"Although raised to conquer it, I first have to embrace it, and now it is my weapon of harm. Who am I?","

I stand tall without a pulse
A field is where I make my residence
Though I have no heart or soul
I can still give a farmer a scare.
What am I? 
"
vacuum cleaner,[],I have a big mouth and I am also quite loud! I am NOT a gossip but I do get involved with everyone's dirty business. What am I?,"

I run around the house, making it clean,
Sucking up dirt, keeping it pristine.
What am I, with my hose and bag?
A household machine, the answer you'll snag."
mirror,"['a bedroom', 'a car', 'a surface', 'looking at yourself', 'ogledalo', 'see yourself']","I am square or rectangle, i see you in the bathroom, i see at school, i even see you at all the stores, when im dirty you clean me, when im broke you fix me, what am i?","

In a bedroom, you'll often find me,
A surface made of glass, you'll see,
I'll show you who you are, without refuting,
But beware, I may reveal that one thing you're hiding,
Whether you're checking your appearance for the day,
Or searching for your purse to pay,
I am the one who reflects with precision,
Can you solve this riddle without any revision?"
soda,"['a beverage', 'a can', 'a drink', 'a soda', 'carbonated', 'berkarbonat', 'brusende']",When it's gone bad and flat I hate it but when it's fresh and fizzy I love to taste it. What is it?,"

I am a fizzing delight,
A cold drink on a warm night,
In a can I do reside,
With bubbles I am always allied.
What am I?"
shadow,"['presence', 'being']","Its right behind you,And creeps on the ground,It follows you home,But does not make a sound.Careful when you turn around.What is it?","

A dark reflection,
On the earth below,
It follows your step,
Wherever you go.

In the sun it hides,
But the night it reigns,
A presence in darkness,
That never remains.

Hint: Wherever you stand,
It's always nearby,
This mysterious figure,
With each step you try."
parking lot,[],"A thousand wheels, but move i do not call me what i am, call me a lot what am i ??","

I am a designated space
Where your car finds a home
But if you stay too long
A ticket you'll be shown "
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']",I have 2 hands for only one use. I come In many different shapes. What am I?,"

I am the keeper of time on a desk,
My hands tick and tock with steady finesse,
A timepiece with numbers that never falter,
I'm a watch that never needs an alter. 

What am I?"
mountains,"['active volcanos', 'mountain', 'the mountains', 'the surface of the earth']","What has roots that nobody sees, and is taller than trees.  Up, up it goes, and yet it never grows.  What is it?","

I am a vast collection of rugged peaks,
Above the surface of the earth, I reach.
I may seem dormant, but don't be fooled,
For underneath, there's active volcanos, tooled.

I am grand, majestic, and unyielding,
A natural fortress, that can be quite thrilling.
From rocky slopes to icy peaks,
Nature's masterpiece, is what I seek.

Though it may seem I stand still in time,
I am constantly changing, a mountain in prime.
I am the guardian of the earth,
A symbol of strength, since ancient birth.

What am I?"
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']","There may be a houseful or a holeful,but you cannot catch a bowful.  what am i??","

I come from fire, yet I am not flame
I cling to a stick, and slowly I tame
With a flick of a lighter, I come to life
But don't get too close, or away I'll fly
I travel through air, leaving a trail
Some can resist, but others I prevail
I may make you cough, and sting your eyes
But some can't resist, and continue to rise
What am I?"
eye,"['a head', 'an eye', 'ball', 'a ball', 'a toy', 'a toybox', 'bounce']","A hole in a pole. Though I fill a hole in white, I'm used more by the day and less by the night. What am I?","

I am an organ that helps you see,
On your face, I'm a crucial part indeed.
Many colors and shapes, I come in variety,
Without me, the world would be a blurry city.
What am I? "
rubik's cube,[],"Red and orange, blue and green, touching brothers yellow and white.  The final solution is always in sight.  Yet only by minds sharp and keen.  What am I?","

I am a colorful twist of blocks,
A puzzle to solve, a test of luck.
My sides must match, to make me right,
But one wrong move, will cause a fight.
What am I?"
rubber ball,[],I get thrown in the air and will fall down: I get thrown down and I will rise in the air What am I?,"

I bounce high, I never fall,
I come in many shapes, big and small.
I'm used for games and tricks galore,
But beware, my bounce can be hardcore.
What am I? A rubber ball!"
phone,"['a desk', 'an office', 'calling']",I can distract you and I can hurt you.  You always check me out regularly.  What am I?,"

I sit on a desk, silent and still
But with a push of a button, I can thrill
Through wires and waves, I can reach
To someone far, I am a peach
In times of need, you can bring me close
For communication, I am the one you chose
Without a doubt, I am your own
For all you have to do is pick up the __________."
headache,"['a headache', 'ache']","""Name an English word of more than 2 letters that both begins and ends with the letters ""he"" in that order, there are two possible answers. What is it?""","

I can pound and throb, causing distress
A common symptom when you're under stress
It might make you close your eyes and wince
What am I? The result of a headache's offense."
piano,"['88 keys', 'a concert', 'a concert hall', 'an instrument of music', 'instrument', 'keys', 'music', 'percussion instrument', 'performing music']","I am played by ages young through old, Performed and practiced by many a few. Your focus and creativity tested ten fold, As it will take much time from you. My blacks and whites can not be told, But with your hands are pressed. This method of art can't be sold, By anyone who doesn't make it their best. I was first made many centuries ago, Intended for works of virtuosic motion. Then my style was changed after Antonio, To vary genres of drama and emotion. More can be told by my abilities known, As I range in pitches by plenty. I sound elegant with a crowd of tone, But am also sung with or alongside many. What am I?","

I am an instrument of music so grand
In a concert hall, you'll often see me stand
My keys are played with fingers light
A percussion instrument, I am, despite my sight"
mosquito,"['fly', 'insect', 'komarac']","I am an object, everywhere I go people clap for me. What am I?","

I am an insect, small and quick
I fly in the air, my wings a flick
I suck blood, a fact quite bold
But without me, the ecosystem would fold

Small but mighty, I cause quite a buzz
Some might call me a tiny menace
In Croatian, they call me ""komarac""
But to humans, I am simply a ________ (mosquito)"
heart,"['a human body', 'a muscle', 'a pump for blood', 'pumping blood']",What am i? I am with you.  I hold your love hate and fair likeness.  I beat to my own rythm at different times. What am I?,"

I am a muscle, but not one that flexes,
I keep the body alive, without any perplexes.
Pumping blood through the body, all day and night,
Without me, the body would lose its might. 
What am I, found in every human being? 
In the chest, I am always seen. 
I am vital and play a crucial part, 
Can you guess? Yes, I am the heart."
experience,['change'],You can get it from doing nothing and everything.  The wise and foolish both have it.  The more and less you have of it the better and worst you are in life.  Time is only boundary that keeps us from obtaining it.  Most take this value for granted.  There is NO device to measure it.  It governs all and can never be tamed.  You gain it by solving this riddle.  What is it???,"
I am something you gain,
From the past you can't refrain,
Memories I contain,
But I can't be explained. 
What am I?"
coffin,"['a box', 'a coffin', 'a funeral', 'casket', 'cemetery', 'grave']","The man who needs me doesn't want me.  the man who makes me dosen't need me, and the man who has me dosen't know he has me. what am i","
I am a vessel for the dead,
A resting place to lay a head,
A box with six sides to hold,
A body that is now cold.

Some say I am a casket,
Others know me as a coffin,
A symbol of a life that's passed,
A reminder that nothing lasts.

In a funeral procession,
I'm carried with great affection,
To a place where I'll remain,
Until the end of time's domain.

What am I, this box so deep?
A final slumber, a peaceful sleep.
A reminder of life's fleeting breath,
A coffin, holding one's death."
energy,"['electricity', 'dangerous', 'electric']","I come from the everyday food that you eat, I also come mostly from wheat. I start to go away when you start to walk or run, So don't go around having too much fun!  What am I?","

I am the driving force,
A spark that can be harnessed,
Infinite and boundless,
With me, anything can be accomplished.

With power I am synonymous,
Fueling life and machines,
I am the equalizer,
In an equal mass, I reign supreme.

From the sun's radiance,
To the plug in your wall,
I am present in all forms,
My versatility, beyond all.

I am the lifeblood of electricity,
The shining star of solar energy,
Without me, the world would be dull,
Can you guess, what word I might be?"
runny nose,[],"I can run constantly without ever getting tired.   When I run, I frustrate people and drive them crazy,  Yet I don't even have to move to irritate you.   What am I?","

I am a common ailment that often flows,
A nuisance to some, but to others I pose
A clue to a puzzle, a hint to a game,
Just try to solve me, I'm called by my name. What am I?"
contact lens,[],Tiny flower bowl.Filled with an iris.Gives the gift of sight. What am I?,"

I am small, yet I help you see,
No glasses needed, that's the key.
A covering for your eye,
Hint: wear me if you can't spy.
What am I?"
heart,"['a human body', 'a muscle', 'a pump for blood', 'pumping blood']","I can be lost, yet still without. I can be given, yet still kept. I can be broken, yet in one piece. I can be stolen, yet still in your grasp. What am I?","

I am a vital muscle in the body, 
A pump that never stops, 
I keep the blood flowing, 
Without me, everything would flop. 
I am found in a human body, 
But I'm not found in a shoe, 
With four chambers and arteries, 
Can you guess what I am? 
I am the heart, it's true."
stress,"['drink alcohol', 'have a nervous breakdown']",I come to you when life is full.People say that I am rather cruel.I leave you knotted and confused.and when I am gone you'll feel alive and enthused! What am I?,"

I can bring you to your knees,
Cause your mind to shout ""please!""
But I may have a common cure,
Just pour me in a glass for sure.
I cause chaos and distress,
But can be eased with alcohol success.
What am I?"
human brain,[],"I can't speak, as I have no mouth, but I named myself. What am I?","

I hold all your thoughts, secrets, and fears,
But you can't hold me, no matter how hard you peered.
I'm the center of your being, your control tower,
Can you guess the name of this incredible power? "
chimera,"['Chimaera', 'greek mythology', 'himera']","I'm formed of incongruous parts, and my first five letters identify a metal object that makes music.  What am I?","

I can fly with fiery breath,
Part dragon, goat, and lion's death,
Born of Greek myth and Himera's land,
My name, a combination grand.
What am I, of legend and fear?
A beast known as the Chimera, here."
microwave,['heat food'],"I could seem to mean small water. But in reality if you use it, something will be hot, while not using it, something will stay cold. What am I?","

I can warm up your dinner in a flash,
Heat up your leftovers, with a little dash,
But please don't put metal in me, it's true,
For quick and easy meals, trust me, I'm your ___________."
elevator,"['a building', 'a hotel', 'at hotel', 'building', 'cargo', 'a ship']","Question: I can't go left, I can't go right.  I am forever stuck in a building over three stories high.  What am I?","

I am a rising star in every building,
But in a hotel, I'm a must-have thing.
Push the buttons and I will take you higher,
But without me, you'll have to climb every spire.
What am I, in this massive structure?
The answer is easy, I'm an elevator."
swan,['a bird'],"My dress is tranquil when I tread the earth, or dwell at home, or drift on the water. Sometimes my wings and this wide sky lift me over the dwellings of men, and then strong clouds carry me over the people. My ornaments echo loudly and melodiously, Illustriously sing when I am not near the earth and stream, a sailing spirit. What am I?","

I am graceful in my glide,
With a long and slender neck by my side.
My feathers shimmer in the light,
A sight that brings much delight.
In lakes and ponds, I make my home,
But in winter, to warmer lands I roam.
Majestic and pure, I am truly grand,
My name is a palindrome, you must understand.
What am I, a regal creature from dawn,
I am the elegant and beautiful...? "
tree,"['a forest', 'a tree', 'branches', 'branch']","My rings are not worth much, but they do tell my age. What am I?","

I am a tall and sturdy plant
From a small seed, I begin to grow
My trunk is strong and my branches spread
In the sunshine, my leaves happily glow"
stars,"['be appearing at a show', 'far away', 'outer space', 'outerspace', 'seen during the night', 'space', 'the sky', 'the universe']","At night they come without being fetched, And by day they are lost without being stolen.  What is it?","

I'm scattered through the sky at night,
Twinkling and sparkling with delight.
In space I'm found, so far away,
But I'm always visible, night or day.
What am I, a celestial sight,
The distant dreamers' guiding light? "
hearse,[],"I'm sometimes white, Although sometimes I'm black. I take you there, But never bring you back. What am I?","

I am a motor vehicle built to carry,
But not people, something more dreary.
I have four wheels but no need for gas,
I'm the last ride for those who pass.
What am I? "
