starters,generated_riddles,reference_riddles
Fire,"I am a thing that can be seen, but I can't be heard. What am I?","I eat, I live. I breathe, I live. I drink, I die. What am I?""
"
goblins,"I am a solitary animal, I have no legs, but I can be seen. I'm able to see, yet I cannot see. What am I?","In caves of mold, in depths untold. We harvest a crop of silver and gold. Lacking in light, we seek to fight. We vanquish our foes, though terrible in might. What is it?""
"
pearl,"I am a pearl, but I'm not spelled. I can be twisted, or pierced, I have rounded edges, and I never touch the ground. What am I?","I live in water If you cut my head I'm at your door, If you cut my tail I'm fruit, If you cut both I'm with you What am I?""
"
Beet/Beat,"I am a food that is spelled out in tin. I can be sliced, fried, or tossed. What am I?","I can come in a can,I can come as a punch,I can come as a win,You can eat me for lunch.What am I?'
"
your birthday,I am a birthday present. I can be thrown or tossed. What am I?,"You get many of me, but never enough.    After the last one, your life soon will snuff.    You may have one of me but one day a year,   When the last one is gone, your life disappears.     What am I?'
"
diary,"I am a book that is spelled out in ten lines. I have countless pages, but I never have one. What am I?","Tell me your secrets, and they'll never be spoken. But leave my lock open, and they will be taken.  What am I?""
"
A bed.,"I am a bed that is made of wood, but I'm not rust. What am I?","You use it every day, you make it every day, you have to go to it every day. What am I?""
"
candle,"I am a type of candle, I can be used to make sand, and I have ten legs, but I cannot hold twigs. What am I?","I am young as I am taller and I am older as I get shorter  what am I ?'
"
beef,I am a meat that is sliced and steamed. I can be thrown away and eaten. What am I?,"I'm from the Old World, and my name from Latin; I can be cured, or served with au gratin. What am I?""
"
wine,I am a drink that is made of water. I can be made from ice. What am I?,"Many partners could be mine,  I'll not choose one to love,  A priest's embrace may raise me up,  He'll claim it was not me.   No gent are you, you'll surely ask,  My age before you flirt,  To kiss your lips would be divine,  Though soon, you'll knock me back.   Seducers use me all the time,  Their eyes upon another,  Some say they're gents, but post a roll,  In gutter, I am thrown.   Even with legs, I will not run,  I'll stand on one alone,  I may reveal the words of truth,  No secret will I say.   What am I?""
"
diary,"I am a book that is spelled out in ten lines. I have countless pages, but I never have one. What am I?","My author's uncertain yet my title's the same,  I contain random text yet order's my aim.   Read me one day and see my pages are totally bare.   Try again another day and the words will be there.   I'm not a book of magic although it may sound,  I can predict the future, and inside, your life can be found.   Move my eye, I become involved in lactic extraction.   But that's just a clue , a minor distraction.    What am I?""
"
shipwreck,I am a ship that is thrown in the sea. What am I?,"Through its wounds, water does run. It once held many but now has none. What is it?'
"
bullet,I am a weapon that can be used to kill people. What am I?,"I am a monster in a dark tunnel.  Pull me back and I will bite you.  What am I?'
"
appearance,I am a word that is used to describe sex. I can be viewed as if you are in fright. What am I?,"I'm pleasing to the eye   A tool for many absent of mind   A tapestry of fickle lies   Blind to even the most pensive spies   I'm often the breeder of fervent lust   But I am by far one you shouldn't trust.    What am I?""
"
cd player,"I play music, but I'm not a music player. What am I?","You switch on my button, I sing for you. You decide my volume, You decide my song. What am I?""
"
screw,I am a tool that can be used to cut wood. I can make sand or rust. What am I?,"I like to twirl my body but keep my head up high.  After I go in, everything becomes tight.  What am I?'
"
Stable.,"I am a thing that can be found in sand, but I can't be thrown. What am I?","As a whole, I am both safe and secure. Behead me, and I become a place of meeting. Behead me again, and I am the partner of ready. Restore me, and I become the domain of beasts.What am I?""
"
library,"I have a library, but I'm not able to find books. I can be found in symphony, and I am surrounded by books, though I don't have books to read. What am I?","I am a place you must be quiet in, Even though much information is shared within, I have everything you need in order to learn, But the people who run me are often stern. What am I?""
"
earth,"I am a planet, but I'm not able to live. I have no wings, yet I can fly. What am I?","I am bigger than Venus but smaller than Uranus.  I am a living rock.  What am I??""
"
fire,"I am a thing that can be blown, but I can't be touched. What am I?","When I Eat I am alive, But when I drink I die.  Who am I ??""
"
school,I am a place where people can go. I have many different types of people. What am I?,"There is a house. A person enters this house blind but exits it seeing. What is it?'
"
music,"I am a thing that can be heard, but I can't be seen. I have many forms, yet I'm not able to be understood. What am I?","At the sound of me, men may dream, Or stamp their feet. At the sound of me, women may laugh, Or sometimes weep. What am I?""
"
a mountain,"I am a mountain, I can be surrounded by mountains, but I'm not able to climb. What am I?","What has roots that nobody sees, and is taller than trees.   Up, up it goes, and yet it never grows.   What is it?""
"
A Mouse.,"I am a mouse, but I'm not able to see. What am I?","My tail is long, my coat is brown, I like the country, I like the town. I can live in a house or live in a shed, And I come out to play when you are in bed. What am I?""
"
A phone.,"I can be a phone, but I cannot be used. What am I?","You answer me, yet I never ask you a question. What am I?'
"
Mr.,"I am a man who is able to see and hear. I can be spelled out, but I cannot hear, and I have no eyes. What am I?","My name is two letters. You call many people by this name, but yet their first name is not this. What is it?'
"
spiral staircase,I am a staircase that is curved and twisted. I have ten legs and four legs. What am I?,"It turns into a different story. What is it?'
"
A Bell.,"I am a bird, I have ten legs, and I'm surrounded by sand. What am I?","It speaks with a hard tongue, it cannot breathe, for it has no lung. What is it?""
"
chocolate,I am a chocolate that is melted and frosted. What am I?,"Oh how you love me: to some I'm a must. But to get what you need, you grind me to dust. I am dark and bitter, and when I'm white I lack meat. In winter you drink me, and in spring I'm used in a feast. I am a tree of summer and in autumn I'm a gift on an eve, while all year round I'm quite the reprieve.   What am I?""
"
piano,"I have a head but no head, I can't hear, but I'm able to play. What am I?","I've got a lot of keys, eight and eighty to be exact. Yet there's not a keyhole in the world to fit them, and that's a fact. What am I?""
"
A Cigarette,I am a piece of paper. I can be made of wood or metal. What am I?,"I am slim and tall,  Many find me desirable and appealing.  They touch me and I give a false good feeling.  Once I shine in splendor,  But only once and then no more.  For many I am ""to die for"".  What am I?'
"
snowflake,I am a bird that is shaped like sand. I can be seen in tinny places. What am I?,"I fly when I am born, lie when I'm alive, and run when I am dead.  What am I?""
"
cross,I am a word that is used to describe sex. I can be referred to as'sea' or sa. What am I?,"It can look like a TIt can look like an XThey can be found on chains. Hung around peoples necks. What is it?""
"
thunder,"I am a roaring beast, I can be spelled out, and I'm pronounced out of sight. What am I?","I make noise yet you don't see me make it. I alarm for good yet sometimes for worse. I have a companion. What am I?""
"
reflection,I'm a word that can be used to describe sex. I can also be seen in tees. What am I?,"I have arms but cannot carry a thing. But wave at me and I wave back at you. What am I?""
"
stamp,I am a type of stamp. I can be used for stamps. What am I?,"I travel all over the world, but always stay in my corner. What am I?'
"
nightmares,"I am a nightmare, I can be scary, and I have no fear. What am I?","I can't t hurt you, but I can leave you with scars. Nobody wants me, but everyone has me. But you are the only one who can see me. What am I?""
"
A hot water bottle.,"I am hot and cold, I can be hot, but I'm not a drink. What am I?","I am filled with hotness. I don't mind how hot water is.What am I?""
"
burn,"I am a word that can be used to describe sex. I can cause fright, but I cannot be seen. What am I?","I\'m what one does to their victim if they cheat.I result from something cooked you overheat.I\'m in your legs when running hard down the street.Do me plus ""out"", your energy will deplete.Thanks to me, your digital copy\'s complete. What am I?'
"
komodo dragon,I am a creature that is spelled out in the middle of the sky. What am I?,"I live in a hot, dry, rock islands of Indonesia.  I eat carrion and live snakes, deer, goats and birds.  I am 3m long and weighs up to 136kg.  What am I?'
"
elephant,I am a bird that is surrounded by sand. I have ten legs but no legs. What am I?,"It is said I never forget. I am gray; I have a trunk. What am I?'
"
dog,I am a dog that is able to move. I can be spelled out as if it was thrown. What am I?,"People are scared of me but I am loved by some. I can be your best friend but could become your enemy in a blink of an eye. What am I?'
"
shadow,I am a word that is used to describe sex. I can be seen in many different ways. What am I?,"As fast as an eagle, as slow as a slug. As tall as a tree, as small as a bug. Sometimes in front, sometimes behind. Never on top, and always aligned. What is it?'
"
Nothing.,"I am nothing, but I'm not a thing. I can be anything, yet I cannot be found. What am I?","The rich people want me, the poor people have me, if you eat me you die. What am I?""
"
stapler,I am a tool that can be used to make sand. I can make holes in tins. What am I?,"The things I bite, they don't bleed, I don't bite until you push me; I bring my victims together each time I bite, But they'll come undone if you pull it just right. What am I?""
"
road,I am a road that is paved and surrounded by trees. What am I?,"This is an old Canadian riddle from 1300-1900 AD. What is it that which goes up the hill.And down the hill, And of all yet standeth still?'
"
Death.,"I am the only thing that can be done without me. I can cause death, but I cannot be seen. What am I?","Some try to hide, and some try to cheat, but time will show, and we always will meet. Try as you might, to guess my name, I promise you'll know when you I do claim. Who am I?""
"
future,"I am the future, but I'm not the present. I can be a new one, or if you're not, I will be the one you want to see. What am I?","I am always in front and never behind. What am I?""
"
hippo,"I am a bird that is able to fly. I can fly but cannot fly, I have no legs. What am I?","I have four legs.                                                   I live in Africa. I am big and grey. I live in the river.  What am I?'
"
dust,"I am a thing that can be found in sand, but I can't be thrown. What am I?","People are hired to get rid of me.    I'm often hiding under your bed.    In time I'll always return you see.    Bite me and you're surely dead.    What am I?""
"
palm tree,I am a tree that is surrounded by trees. I have ten legs but no arms. What am I?,"My first word has lines that intersect.My second has limbs that grow erect.My whole in cold spots you'd not expect. What am I?""
"
lava lamp,I am a lamp that is light and bright. I can be used to light lava. What am I?,"The bottom heats, The top cools, And little blobs.Swim in my pools. I can be different colours, And be a source of light, A bedroom accessory, I light up the night!  What am I?'
"
dreams,"I am a thing that you can see, but you cannot see me. I can be scary, yet you have no fear. What am I?","I go through you fast but you see me slow.  What am I?'
"
onion,I am a vegetable that is sliced and sown. I can be thrown away and eaten. What am I?,"Some sad, some good, some bad, some great.   WHAT AM I??????????'
"
glasses,"I can be a slender object, I have curved eyes, but I cannot see. What am I?","Without a bridle, or a saddle, across a thing I ride astraddle. And those I ride, by help of me, though almost blind, are made to see. What am I?'
"
venom,I am a word that is used to describe sex. I can be found in many places. What am I?,"I have no fangs, yet I constantly bite.   I have no scales, yet I slither through you.   What am I?'
"
paradox,I am a word that is used to describe sex. I can be referred to as'seen' or __. What am I?,"I am and yet cannot. I am an Idea, yet can rot I am two but none. I am on land, but on sea. What am I?""
"
love,I am a word that can be used to describe sex. I can also be referred to as fright. What am I?,"I multiply and add when you divide me with others. What am I?'
"
feather,I am a feather that is spelled out in flies. What am I?,"I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt. My merest touch brings laughter. What am I?'
"
snail,"I am a snail, I have no mouth, but I can be snared. What am I?","I have a foot but no legs. What am I?'
"
rodeo clown,"I am a clown, I have ten legs, and I'm snared in twigs. What am I?","I put myself in danger, And then I flee. All the while you laugh at me. If not for me, others may die, Yet when you see me, I often cry. I jump and run and roll and play, But keeping them safe just makes my day. What am I?""
"
phone,I can be a phone but I cannot be used. I have ten keys but you cannot use me. What am I?,"You answer me, although I never ask you questions. What am I?'
"
statue,I am a statue of king. I have ten legs and teeches. What am I?,"They say the eyes are windows to your soul, But yet I had no soul, Through time to time I always stand tall, An immortal, Nothing could move me, If I could, I would run as fast as I could, Feeling the wind carry me beneath my feet, But alas, I can not, The Medusa's Curse What am I?""
"
An egg.,"I am a sand, I'm shaped like twig, and I have ten legs. What am I?","Ice melts when heated up. But I solidify when I'm heated up. What am I?""
"
im a hurricane,"I am a creature that can be slender, but I can't be seen. What am I?","I have an eye but cannot see.  I am stronger and faster then any man alive but have no limbs.   What am I?""
"
human heart,"I am a thing that can be broken, but I can't be touched. What am I?","It is Cold and it is Hot,  It is White and it is Dark,  It is Stone and it is Wax,  Its true nature is Flesh,  And its color is Red.    What am I?""
"
top,I am the top of the rainbow. I can be tall or small. What am I?,"I am present in a laptop. I am also a human's t-shirt. I have the highest mark in class. I am usually described as something above. What am I?""
"
The Nike Symbol.,I am a symbol of the world. I can be engraved on teddy bears. What am I?,"I am a tick, I am usually black or white, You will find me on many clothing, People think I am cool.What am I?'
"
traffic light,I am a light that is not plugged in. I can be seen in crowded places. What am I?,"I stare at you, you stare at me. I have three eyes, yet can't see. Every time I blink, I give you commands. You do as you are told, with your feet and hands. What am I?""
"
anchor,I am a type of anchor. I can be used to anchor boats. What am I?,"I keep boats from moving through the water. What am I?'
"
air,"I am a substance that can be spelled, but I can't be used. What am I?","I'm in every room, yet outside. I move at different paces, but you never see me moving. Where ever I am its crowded, but when your there you don't see or feel anyone. If you try to hit me you always miss, yet you always feel me. You need me to live, but I cause disasters. What am I?""
"
phonebook,"I have a name, but I'm not able to speak. I can be used to call, and I am used by many people. What am I?","A book once owned by the wealthy, now rare to find. Never for sale and often left behind. What am I?""
"
christmas tree,I am a tree that is surrounded by trees. I have ten legs and teddy bears. What am I?,"My born colors are mint and cherry, usually I am covered with bright orbs and lights off fireworks circling me, what am I?'
"
age,I am a word that is used in the first letter of the alphabet. I can be used to describe ten or more years. What am I?,"Those who have it least don't know that they have it.  Those who have it most wish they had less of it, but not too little or none at all.  What is it?""
"
lie,I am a word that is used to describe sex. I can be used in retaliation. What am I?,"I'm sometimes white, and always wrong. I can break a heart and hurt the strong. I can build love and tear it down. I can make a smile, but more often bring a frown. What am I?""
"
pencil,I am a tool that can be used to make pens. I can make pencils. What am I?,"As a stone inside a tree, I'll help your words outlive thee. But if you push me as I stand, the more I move the less I am.What am I?""
"
frog,I am a bird that is flies. I have sex but I'm not teddy bear. What am I?,"I have a puppet thatrhymes with dog.It is a little green And sits on a log!What is it?""
"
myself,"I am a person who has no eyes, but I can see. I have no hands, yet I'm able to see, I cannot see and see; I may be spelled out, But I never speak. What am I?","Not my sister nor my brother but still the child of my mother and father. Who am I?""
"
pillow,I am a pillow that is made of wood. I can be used for sleeveless occasions. What am I?,"I get squished, smoothed out. In the morning I feel 3 pounds lighter, I get hot when being all smothered with filthy skin. Please take a shower before you use me. What am I?'
"
paper,"I am a type of paper that is used to make things. I can be used for many things, but I cannot be found in tin. What am I?","I sometimes have paint put on me but I'm not a wall. I come from trees but I'm not a fruit. I get put in a printer but I'm not ink. What am I?""
"
"A Stone from the popular Biblical story, David had five stones. He used one of the stones to kill Goliath.","I am a stone from the popular Biblical story, I have five stones. I used one of the stones to kill Goliath. What am I?","I'm one of five, I'm not alive. The one who sent me forth became king, The one who received me died.What am I?""
"
roads,"I am a place where people can see. I can be paved, or sanded. What am I?","I run in and out of town all day and night but I never get tired.   What am I?'
"
heroine,"I am a person who is able to kill people. I can be abused, or beaten. What am I?","My first two are male, and my first three female.My first four save them both, and my whole is a female of the same sort.What am I?'
"
scarecrow,"I am a solitary animal, I have ten legs, and I can be twirling. What am I?","Although raised to conquer it, I first have to embrace it, and now it is my weapon of harm. Who am I?'
"
vacuum cleaner,I am a type of cleaner. I can be used to clean your house. What am I?,"I have a big mouth and I am also quite loud! I am NOT a gossip but I do get involved with everyone's dirty business. What am I?""
"
mirror,I have a head but no eyes. I can be seen but cannot see. What am I?,"I am square or rectangle, i see you in the bathroom, i see at school, i even see you at all the stores, when im dirty you clean me, when im broke you fix me, what am i?'
"
Soda.,"I am a flower that is shaped like sand. I can be coloured like red, white, or black. What am I?","When it's gone bad and flat I hate it but when it's fresh and fizzy I love to taste it. What is it?""
"
shadow,I am a word that is used to describe sex. I can be seen in many different ways. What am I?,"Its right behind you,And creeps on the ground,It follows you home,But does not make a sound.Careful when you turn around.What is it?'
"
parkinglot,I am a place where people can park. I can be used for many reasons. What am I?,"A thousand wheels, but move i do not call me what i am, call me a lot what am i ??'
"
clock,I have a head but no eyes. I can be spelled but not tipped. What am I?,"I have 2 hands for only one use. I come In many different shapes. What am I?'
"
mountains,I am a mountain that is surrounded by mountains. I can be sand or snow. What am I?,"What has roots that nobody sees, and is taller than trees.  Up, up it goes, and yet it never grows.  What is it?'
"
smoke,"I am a thing that can be seen, but I can't be heard. What am I?","There may be a houseful or a holeful,but you cannot catch a bowful.  what am i??""
"
eye,I am a word that can be used to describe sex. I can also be referred to as feisty. What am I?,"A hole in a pole. Though I fill a hole in white, I'm used more by the day and less by the night. What am I?""
"
rubiks cube,I am a sandy skeleton. I have ribs and ham. What am I?,"Red and orange, blue and green, touching brothers yellow and white.  The final solution is always in sight.  Yet only by minds sharp and keen.  What am I?'
"
rubber ball,I am a ball that is shaped like sand. I can be used to make ice. What am I?,"I get thrown in the air and will fall down: I get thrown down and I will rise in the air What am I?'
"
phone,I can be a phone but I cannot be used. I have ten keys but you cannot use me. What am I?,"I can distract you and I can hurt you.  You always check me out regularly.  What am I?'
"
headache,I am a word that is used to describe screams. I can be pronounced as if you are noticing me. What am I?,"""Name an English word of more than 2 letters that both begins and ends with the letters ""he"" in that order, there are two possible answers. What is it?""'
"
piano,"I have a head but no head, I can't hear, but I'm able to play. What am I?","I am played by ages young through old, Performed and practiced by many a few. Your focus and creativity tested ten fold, As it will take much time from you. My blacks and whites can not be told, But with your hands are pressed. This method of art can't be sold, By anyone who doesn't make it their best. I was first made many centuries ago, Intended for works of virtuosic motion. Then my style was changed after Antonio, To vary genres of drama and emotion. More can be told by my abilities known, As I range in pitches by plenty. I sound elegant with a crowd of tone, But am also sung with or alongside many. What am I?""
"
mosquito,I am a bird that is solitary. I can be spotted by tyres. What am I?,"I am an object, everywhere I go people clap for me. What am I?'
"
heart,"I am a thing that can be broken, but I can't be touched. What am I?","What am i? I am with you.  I hold your love hate and fair likeness.  I beat to my own rythm at different times. What am I?""
"
experience,I am a thing that can be done without noticing. I can help you to feel better. What am I?,"You can get it from doing nothing and everything.  The wise and foolish both have it.  The more and less you have of it the better and worst you are in life.  Time is only boundary that keeps us from obtaining it.  Most take this value for granted.  There is NO device to measure it.  It governs all and can never be tamed.  You gain it by solving this riddle.  What is it???'
"
cofin,"I am a type of flies. I have sex, but I'm not tepid. What am I?","The man who needs me doesn't want me.  the man who makes me dosen't need me, and the man who has me dosen't know he has me. what am i""
"
energy,I am a thing that can be used to make ice. I can make you feel good. What am I?,"I come from the everyday food that you eat, I also come mostly from wheat. I start to go away when you start to walk or run, So don't go around having too much fun!  What am I?""
"
runny nose,"I am a slender, blond, and tame. I have ten legs, but I'm not able to walk. What am I?","I can run constantly without ever getting tired.   When I run, I frustrate people and drive them crazy,  Yet I don't even have to move to irritate you.   What am I?""
"
contact lens,"I can be a lens, but I cannot be seen. I have ten eyes, yet I am not able to see. What am I?","Tiny flower bowl.Filled with an iris.Gives the gift of sight. What am I?'
"
heart,"I am a thing that can be broken, but I can't be touched. What am I?","I can be lost, yet still without. I can be given, yet still kept. I can be broken, yet in one piece. I can be stolen, yet still in your grasp. What am I?""
"
stress,"I am a word that can be used to describe sex. I can cause tense feelings, but can also cause pain. What am I?","I come to you when life is full.People say that I am rather cruel.I leave you knotted and confused.and when I am gone you'll feel alive and enthused! What am I?""
"
human brain,"I am a human body, but I'm not able to see. I have no eyes, yet I can see, I cannot see and see; I live in solitary places, and I never see anyone. What am I?","I can't speak, as I have no mouth, but I named myself. What am I?""
"
chimera,"I am a creature that is surrounded by sand. I have horns and lungs, but I can't hear. What am I?","I'm formed of incongruous parts, and my first five letters identify a metal object that makes music.  What am I?""
"
microwave,I am a microwave that is used to make food. What am I?,"I could seem to mean small water. But in reality if you use it, something will be hot, while not using it, something will stay cold. What am I?'
"
elevator,I am a place where people can walk. I can be used for many reasons. What am I?,"Question: I can't go left, I can't go right.  I am forever stuck in a building over three stories high.  What am I?""
"
swan,I am a bird that is spelled out in the middle of the sky. What am I?,"My dress is tranquil when I tread the earth, or dwell at home, or drift on the water. Sometimes my wings and this wide sky lift me over the dwellings of men, and then strong clouds carry me over the people. My ornaments echo loudly and melodiously, Illustriously sing when I am not near the earth and stream, a sailing spirit. What am I?'
"
tree,I am a tree that is surrounded by trees. I can be sown or bare. What am I?,"My rings are not worth much, but they do tell my age. What am I?'
"
dreams and stars,"I am the only thing that can be seen, but I can't be heard. What am I?","At night they come without being fetched, And by day they are lost without being stolen.  What is it?""
"
I'm a Hearse.,"I am a bird, I can be found in the sea, and I have sex. What am I?","I'm sometimes white, Although sometimes I'm black. I take you there, But never bring you back. What am I?""
"
your breath,"I am a thing that you breathe, but you don't breathe. What am I?","It weighs next to nothing but no one can hold it for long.   What is it?""
"
Hyphen. The first two lines yield high-fen. A hyphen is used by a writer to tie (or cramp) two words together.,"I am a word that is pronounced in ten. I can be used to tie, or to tense. What am I?","My first is high, My second damp, My whole a tie, A writer's cramp. What am I?""
"
camera,"I can be seen but cannot see. I have no eyes but can see, I am not a person. What am I?","A device that nearly everyone has that can freeze anyone it sees what is it?'
"
boloon,I am a nut that is shaped like sand. I can be sliced or fried. What am I?,"what can you through it off a clif and it wont pop. when you use a forek it pops. what am i??????'
"
courage,I am a word that is used to describe courage. I can be used in many ways. What am I?,"I am born in fear, raised in truth,   and I come to my own in deed.    When comes a time that I'm called forth,   I come to serve the cause of need.   What am I?""
"
The alphabet.,"I am a word that is used in many different ways. I can be spelled in ten, or in four. What am I?","I have an eye but am blind, a sea, but no water; a bee, but no honey; Tea but no coffee; and a why, but no answer. What am I?'
"
sharpener,I am a tool that can sharpen ice. I can be used to sharp up sand. What am I?,"I eat as you turn me,  my blade cutting wood,   when I am full,  empty me you should.     What am I?'
"
bathroom tissue,I am a liquid that can be used to clean your house. What am I?,"Round and round, in circles I go.How it diminishes me so. For starters, I am looking great.But subject to the hand of fate. My purity has been defiled.Sent on a journey, wet and wild. Once I've been used up to the core.My twin starts the cycle once more. What am I?""
"
A Butterfly,I am a butterfly that is shaped like sand. I have wings but I can't fly. What am I?,"I have 16 legs then, I sleep for about a fortnight and a merge with 6 legs. What am I?""
"
chalk,"I am a color that is white, but I'm not coloured. What am I?","Used on a diamond and left on a board. It's great for a gymnast his grip to restore. What is it?""
"
tongue,I am a word that is used to describe sex. I can be used for many reasons. What am I?,"I am boneless, small, and weak, yet can crush and kill; the speed of what comes out of me outstrips the steed. My great storehouse is your heart. Keep me to keep your soul from troubles. What am I?'
"
finger,I am a finger that is used to hold things. I can be used for many reasons. What am I?,"I am tall sometimes im short, wide sometimes thin and i acompany three others.  what am I?'
"
pacman,"I am a man who is able to move around. I can be spelled out, but I cannot be seen. What am I?","I spend most of my day eating white.  When I am quick enough, I get rewarded with fruit and somethings blue.  In a dark room with blue walls, I run from the ghost that roam the halls.  What am I?'
"
menorah,"I am a king of men. I have ten legs, and I'm surrounded by sand. What am I?","I am a special candle holder for Hanukkah. I have eight candles and one special candle called a shamash that lights all the other candles. I represent the miracle of the oil lasting for 8 days. What am I?""
"
The elephants shadow.,I am a bird that is not flies. I have sex but cannot fly. What am I?,"What is bigger than a grey elephant yet weighs nothing.What is it?'
"
graveyard,"I am a place where people can live. I have ten walls, but I'm not surrounded by people. What am I?","In this place, people lie, people cry, and people ask why. In this place, people sleep, people weep, and people's solitude, they keep. What is it?""
"
basketball,I am a sport that is played by people who are not able to play. What am I?,"I am not wet, yet dribbling I can be. Pimples I have, yet happily people touch me, I do not have legs yet I still find a way to get up in the air, When I hear a buzz, I am ignored till I hear another.  What am I?'
"
Diamond.,"I am a diamond, but I'm not able to be spelled. What am I?","I may be hard, I may be rough,Bound in the round to claim a love.What am I?""
"
skin,I am a skin that is shaped like sand. I can be coloured like gold. What am I?,"When liquid splashes me, none seeps through. When I am moved alot, liquid I spew. When I am hit, color I change. And color, I come in quite a range. What I cover is very complex, and I am very easy to flex. What am I?'
"
coal,"I am a type of coal. I can be made of wood or coal, I have sand or tar. What am I?","Black as night I can be, Until my Mother sits on me; Then clear as ice I become.In the rough, thank you Mum. What am I?'
"
actor,I am a person who is portrayed by countless people. I have tens of thousands of years of age and have been referred to as 'the king'. What am I?,"I must cry even if I am happy, and be angry even if I am sad. People adore me, but don't always see who I really am. What am I?""
"
water bottle,"I am a liquid that can be used to drink. I can contain water, but I cannot be dipped. What am I?","My first can be seen extensively from outer space.My second may originate from an arid place.My whole is a good companion while running a race. What am I?'
"
An eye.,"I am a thing that can be seen, but I can't see. I have ten eyes, yet I'm not able to see, I cannot see without noticing. What am I?","Pronounced as one letter, And written with three, Two letters there are, And two only in me. I'm double, I'm single, I'm black, blue, and gray, I'm read from both ends, And the same either way. What am I?""
"
frog,I am a bird that is flies. I have sex but I'm not teddy bear. What am I?,"I have four legs and am covered withe spots but I also go in the water and can go back on land.  what am I?""
"
neddle,"I am a word that is used in syllables. I can be twisted, or thrown, but I'm not able to move. What am I?","I am the smallest eye,        what am I?""
"
piano key,I am a key that is used to play music. I can be used for many different purposes. What am I?,"I am a key but i open no door  I will never fit into any lock  I help to play music but only with others of my own kind  I can not do my job alone,    What am I?'
"
The moon.,"I am the moon, but I'm not a man. I can be seen in many places, and I have no eyes. What am I?","People have stepped on me, but not many. I never stay full for long. I have a dark side. What am I?""
"
Cornish Rex,I am a solitary creature that is surrounded by thorns. I have ten legs and eat nipples. What am I?,"I have curly hair I am a feline I am long I My eyes are shaped like a line.  What am I?'
"
bright,"I am bright, I can be bright. I have a bright side, but I cannot be seen. What am I?","I act like a lamp, but i have the sound of a bee. What am I?'
"
Minecraft Blocks.,I am a game that is based on sand. I have ten legs and tees. What am I?,"I exist, but have no material form. I am made of numbers, but appear square. I build upon other of my own, but do not topple down. I sit still and do nothing, but I'm still useful. What am I?""
"
your shoes,"I'm a thing that you wear everyday. I can be worn everyday, I have sex, but I don't have shoes. What am I?","I walk with you almost every day, yet you never notice me.  You step on me, but you never say sorry.  What am I?""
"
heart,"I am a thing that can be broken, but I can't be touched. What am I?","It can be said: To be gold is to be good; To be stone is to be nothing; To be glass is to be fragile; To be cold is to be cruel; Unmetaphored, what am I?""
"
acorn,"I am a flora, but I'm not spelled. I can be thrown, or tossed, and I have ten legs. What am I?","I am small and round lying on the cold, cold ground.  People come and step on me that's why I'm so cracked you see.  What am I?""
"
An Envelope.,I'm a letter that's spelled out in ten letters. I can be thrown in the middle of tense. What am I?,"I can deliver but cannot walk, I can say things but have no mouth, I am small but can contain big things. What am I?""
"
cherry,"I am a fruit that is ripe and sour. I can be sliced and cut, but I'm not rotten. What am I?","There is a little man Wearing a red coat Holding a stick With a stone in his throught  What is it?""
"
food pyrimid,I am a food that is thrown away. I can be used to make food. What am I?,"I am very colorful, triangular, but most people don't follow my rules.  What am I?""
"
belch,I am a frog that is spelled out in teddy bears. What am I?,"I am the reaction after enjoying soda. What am I?'
"
curtains,I am a curtain that is made of wood. I can be made from wood or metal. What am I?,"I'm the eyelid to your life and hide you when you're inside.You can draw me and you can pull me, but you must leave to see my good side.What am I?""
"
The King of Hearts in a deck of cards.,"I am the King of Hearts, I have no hands, but I can be a king. What am I?","I have a heart that never beats, I have a home but I never sleep. I can take a man's house and build another, And I love to play games with my many brothers. I am a king among fools. Who am I?""
"
snowflakes,"I am a sand castle, I have ten legs, and I'm surrounded by snow. What am I?","Ne'er the same, In multitude you see me. You love me, you hate me, What am I?""
"
tree,I am a tree that is surrounded by trees. I can be sown or bare. What am I?,"Note: The structure of this riddle is modeled after those written in old English, where alliteration takes center stage just as much as rhyme. I am a giant,                            an ancient king.With many a jewel        by my neck are hanging.Then a monster comes,           a heartless thief. The bite so bitter                      brings me grief. It takes my treasure,              my riches untold, My rubies, my emeralds,       my silver, my gold. What am I?'
"
Best friend,I am a friend of yours. I have ten legs and tense hands. What am I?,"I am the family you chose, with me by your side, you'll never lose! Who am I?""
"
pond,I am a place where water flows. I have ponds and rivers. What am I?,"Im a object that reflect of other object. I am coverd with many gallons of water/iam a coverd with with water. In the dark you would not see it.  when its light you will?what am i????????'
"
"The letter in question is the letter ""O"". It is zero. The man had nothing to write. The blind could read nothing. The person who was dumb could repeat nothing. The deaf man listened and heard nothing.","I am zero, but I can\'t read. I have no eyes, yet I\'m not a man. What am I?","A headless man had a letter to write; It was read by a man who had lost his sight. The dumb repeated it word for word, And deaf was he who listened and heard. What is it?'
"
grapes,I am a fruit that is ripe and I can be sour. What am I?,"Crushed beneath trampling feet, kept in darkness and cold. I am useless if I have suffered not; but having suffered, my temper is sweet and strong to all those who partake. What am I, at start?'
"
A tooth!,"I am a thing that can be spelled out, but I can't be seen. What am I?","I'm white, and used for cutting and grinding. When I'm damaged, humans usually remove me or fill me. For most animals I am a useful tool.What am I?""
"
