Words,DFSConcepts,GoldRiddle,GenRiddle
flower pot,[],Light me up for a sprinkle of gold. What Am I?,"

I may not be pretty but I hold beauty within,
Filled with soil and water, I'm a gardener's sin,
From tiny sprouts to blooming knot,
What am I? A simple flower pot."
temperature,[],We experience this every day and sometimes can cause many problems.  What is it?,"

I can be measured, hot or cold,
I rise and fall, or so I'm told,
Without me, life would be obscure,
Can you guess my name, I'm sure?"
poker hand,[],I need a level playing field and a full boat to sail above the rest.   If im flush against a strait hand I will barely excape the heat.   If im two-faced then most likely you will lose.   What am I?,"

I am five in number, yet I'm often called by one name. 
Some say I bring good luck, others play me for fame. 
With hearts, spades, clubs, or diamonds I can be seen. 
What am I, this combination of cards supreme?"
bridge,"['water', 'crossing', 'over']","{ I have a long tongue, and when I am needed they use me.  I am a protector for getting hurt.  who am I?","
I am a structure made of beams,
Over water, I gleam.
I am a path between two sides,
A crossing over, I provide.
What am I, this engineering bridge, 
A solution to the challenge of water and crossing over the ridge."
water,[],I'm often running yet I have no legs.  You need me but I don't need you.  What am I?,"

I am clear and cool, a necessity for life,
But put me on fire, and I'll cause great strife.
I can quench your thirst, or sweep you away,
Without me, no plants or animals could stay. 
What am I?"
banana,"['yellow', 'a banana']","A time when they're green, A time when they're brown, But both of these times.Cause me to frown. But just in between, For a very short while, They're absolutely yellow, And cause me to smile. What am I talking about here?","

I am yellow and curved,
But I'm not a road that's curved.
I am a fruit that's sweet and bright,
Peel me back to take a bite. 
What am I?"
liquorice,"['licorice', 'candy', 'sugar', 'sweet', 'white', 'sweetener', 'sweetening', 'the movies']","My first is a fluid, my second a solid, my whole a plant. What is it?","
A black and twisted treat,
That's sure to be a hit,
Pull and chew, it's quite unique,
But don't forget, it's made of...? 
(Sugar and sweet, it's liquorice, can't you see?)"
sugar,"['sweet', 'white', 'sweetener', 'sweetening']",A box of Diamonds that Most love to eat. What Am I ?,"

I am sweet and white, 
A sweetener in your cup so nice, 
I make things taste just right, 
What am I? Just take a guess, 
I'm added to tea and coffee, 
I'm the secret ingredient, can't you see? 
Without me, things would be less sweet, 
Now tell me, what is my name? Just take a seat."
Cheese.,[],"People often cut into me, and although I can be very sharp, I never cut them back. Most people like me, but even if you hate me, just saying my name will make you smile. What am I?","

I am made from milk, often in a block,
Spread me on crackers, or melt me on stock,
I come in many types, from cheddar to brie,
A staple in cooking, can you guess me?"
footsteps,[],"What is it the more you take, the more you leave behind?","

I go ahead, you follow behind
But you'll never catch up to my kind
I'm heard but never seen
With every step, I leave a mark so keen
What am I? 
Hint: I sound like a beat
But I'm made by your feet."
troublesome,[],Remove some and I will give you trouble. What am I?,"

I can make things difficult,
But I'm not intentionally harmful.
You know when I'm around,
Because I make every task seem like a mountain to climb. 
What am I?"
bear,"['animal', 'grizzly', 'polar']","Naked with fur, I catch shoal in mid flight, Blindingly quick with true awesome might, I charge with both power and juggernaut force, Faster than man, woman or horse. What am I?","

I am an animal who roams and roars,
Found in forests, mountains, and shores.
Some call me grizzly, some call me polar,
But I'm always fierce, never duller.
What am I called, can you guess?
In the wild, I'm simply the best.
I am the king, none can compare,
So tell me, what word fits my bear?"
volcano,"['a volcano', 'a crater', 'lava', 'hot']","My thunder rolls beneath me, my lightning flares above.  I dust the crust, and when I bust, all I touch will I shove.    What am I?","




I am a fiery mountain, known for my wrath,
A natural phenomenon, often feared in my path.
Within a crater, I spew with might,
My molten lava, glowing hot and bright.
What am I, that's both destructive and beautiful,
A force of nature, hailed as a powerful jewel?"
smoke,"['fire', 'burn things', 'cigarette', 'smoking', 'lung cancer', 'cancer', 'a disease', 'bad for your health', 'light the cigarette']","I have no feet, no hands, no wings, but I climb to the sky. What am I?","
I can warm you, or destroy your home,
I can relax you, or make you roam,
I can be a habit that's hard to shake,
But lying in nature, I'm easy to make.
What am I?"
sibling,[],"In my life I must bare, my bloodline I must share. What am I?","

I share your blood, but not your name,
We're family, but not the same.
Together we grow, side by side,
In each other's company, we confide.
What am I?"
recliner,[],"I'm big, I'm comfortable, but most of all I'm oh, so lazy.  I have two arms, but only one foot.  What am I?","

What has arms and legs but cannot walk? 
It's often found in the living room, ready for a cozy talk. 
Just lean back and relax, let your cares fade away. 
This comfortable piece of furniture, do you know what I say? 
The answer to my riddle, my dear is plain to see. 
It's the preferred seat of choice, the one and only _____!"
key,"['open a lock', 'open doors']",I turn around once. What is out will not get in. I turn around again. What is in will not get out. What am I?,"

I am the object you seek,
A simple thing, yet strong and sleek.
To open a lock or a door,
I am the one you must explore.
With teeth to turn and ridges straight,
I'll help you gain entrance, don't be late.
What am I, you must now guess?
A small but mighty key, I confess."
chocolate,"['food', 'candy', 'sugar', 'sweet', 'white', 'sweetener', 'sweetening', 'the movies', 'a box']","Sometimes I am light, sometimes I am dark. What am I?","

I am a treat that's hard to resist,
Made from sugar, sweet as a kiss.
In a bar or a cake, I'm always there,
A delicious delight, my name is... ___."
x-ray,[],You use me to see inside of someone. What am I?,"

I can see through matter, 
With my penetrating stare. 
I'll reveal your secrets, 
But I won't leave a glare. 
What am I?"
freedom,"['a belief', 'a universal right']","People who can't see me never aspire, and people who feel me don't want to lose. I fit for a person, but not for a group. I was born into one's consciousness, and I was repressed into rules and order. If a person wants to get me, he has to abandon the views of others and find his true self. I endure, I don't die forever, because there will always be person willing to follow my trail. What am I?","

Like a bird, I fly high,
A belief that will never die.
For every person, it's a dream,
A universal right, or so it seems."
island,"['a land mass', 'a body of land', 'land']","I am a certain type of land mass. My climate can be tropical, or ice cold. With water surrounding me. You might come to me for vacation. An examples Hawaii. What am I?","

I am a mysterious place,
A land mass surrounded by sea,
On me, you'll find palm trees and sand,
Do you know what place I could be?"
ping pong balls,[],"I am served at a table,  In gatherings of two or four Served small, white and round.   You'll love some,  And that's part of the fun.    What am I?","

I'm round and bouncy, you can hit me with a paddle,
But don't let me drop, or I'll be a hassle.
I come in a set, and you'll find me in halls,
What am I? A bunch of ping pong balls!"
hot air balloon,[],"I fly like a bird of many colors through the sky. i am made with both wood and fire but i do not burn up.You can see me clearly during the day, but i am nearly invisible at night. What am I?","

I fly high in the sky, but I have no wings to soar
I float along with the winds, never settling on the floor
In a basket you'll find me, with flames that make me swell
I'm a fun adventure, a ride you'll love to tell
What am I? A _________________"
chameleon,[],"Black and Blue. Red and Green. Yellow and Blue. Green and Grey. I am all colours. You can try to get close to me, but you can't escape my vision. If you get greedy, you will try to take your colours for yourself, but before you know it, I will be eating you for lunch. What am I?","
I change colors without paint,
A master of disguise, I ain't,
My body can twist and bend,
My chameleon ways, never end.
What am I?"
secret,['mysterious'],"If you have me you want to share me, if you share me you won't have me.  What am I?","

I am known as a mystery,
A hidden knowledge, so very key,
I am something kept secure,
But can sometimes cause a stir,
What am I, can you confess,
This enigma that's hard to suppress."
earlobe,[],"I can wear a ring, i help you hear, they arent really noticable, i can be big or small, i can come in weird shaped, i have a drum inside of me.  WHAT AM I?","

I am round and soft, located near your chin,
There to help you hear, with a wiggly grin.
What am I?"
mirror,"['a bedroom', 'see yourself']","I turn everything around, but i cannot move when you see me you see you! what am i?","

I am found in a bedroom,
Where you can see yourself with ease.
I reflect everything before me,
What am I? Take a guess!
"
pencil lead,[],"I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody.  What am I?","

I am black and slim, but not a snake
I leave a trail, but not of slime or rake
I create words, but not with a tongue
What am I, so simple yet so fun? "
mine,"['a weapon', 'coal', 'black', 'color', 'red', 'fuel', 'moj']","I am somewhere far below, where no light goes. Here, all a man can do is hack away until at last the shiny things reveal themselves. What am I?","

I am both a weapon and a treasure,
In the depths of the Earth, I measure.
My color is black, like the darkest of nights,
But without me, the world would lack its lights.
Used for both defense and to dig,
I am a symbol of power, strength and rig. 
What am I?"
Santa Claus,[],"I have been called many names, through the course of years. I may have been a real person, but I always bring lots of cheers. I am known all over the world, and I come on a winter's night, to spread joy and holiday spirit, and to set children's faces right. If you still don't know my name, just read on a little more, I live in a house on top of the world, and little children I adore. Who am I?","

I am jolly and round, 
Bringing gifts all around.
But once a year, I disappear,
Only to appear with a big white beard.
Who am I? "
helicopter,"['transport', 'move', 'action', 'motion', 'movement', 'moving']","Without feather or wing I fly, but you'll known what I am when I hover near by. What am I?","

I transport you high, 
With a swift and steady glide,
My blades move with grace,
Causing quite the commotion in any place.
What am I, generating such motion,
A flying machine known as the helicopter, in motion."
snowflake,"['the winter', 'pahuljica']","White bird, featherless, flyin' out o' paradise, flyin' over sea and land, dyin' in my hand. What is it?","

In the winter, a wonder you'll take
A delicate gift, the frosty flakes make
Falling gently, in a dance they spin
What is this icy jewel, also known as pahuljica within?"
winter,"['season', 'cold', 'light a fire']","After you go through a fall I will take over. All life will stall, or at least grow slower. What am I?","

I am a season, cold as can be,
But with a fire, I'm cozy, you'll see.
I come after fall, and before spring,
My name is also a word that can ring.
What am I?"
devil,[],"I cannot be mistaken for any other being that raises its young in a pouch. My spine-chilling screeches and black colour, mixed with my reputed bad-temper, can sound and look incredibly fierce. I am nocturnal and can weigh up to 26 pounds and live up to 8 years whilst standing at around 15 inches in height. I can hide and find shelter by day and also find food by night. When I eat, my powerful jaws and teeth devour my entire prey. When I'm stressed, I smell really bad, but when not under duress, my scent is quite ok. At present, I am being strickened by a facial tumour which is threatening my brothers and sisters to the point of complete extinction. What am I?","

I am the embodiment of sin,
My presence makes your heart give in,
I thrive on all things dark and vile,
In red and horns, I wear my style,
Some call me Lucifer, others Beelzebub,
But without me, some say, the world would rub,
What am I, this evil force,
That makes some tremble and others endorse?"
fog,['found in a valley'],"What goes up but floats? You can go through it, but cannot hear it? What is it?","

I am a blanket that covers the ground,
In a valley is where I'm most commonly found.
Though I may be dense and quite thick,
I can vanish with the sun's quick trick.
What am I? A mysterious and misty fog."
attention,[],If you got hurt you would like me. . .   If you some people think i'm to overated and dramitized. . . . .   and some people go to far. . . .                        What am I ??,"

I am needed but often ignored,
Sometimes demanded, yet quickly restored,
I am precious and hard to gain,
But once given, I'll always remain.
What am I?"
mouse,"['a hole in a wall', 'the garage', 'a laboratory']",Most people by now have me.Many people have paid much to get rid of me.And many of the same have paid to get me.I am constantly in your business and sometimes make things very easy.Other times I am a pest and ruin most things I touch. What am I?,"

I'm small and quiet, you see
Often found near a wall or in a tree
In a lab or the garage, I might be
But don't fall into my hole, just let me be"
wine,"['alcohol', 'cloud your judgement', 'Drinking', 'a beverage']","When young, I am sweet in the sun.   When middle-aged, I make you gay.   When old, I am valued more than ever.   What am I?","

I am a beloved beverage, often seen in a glass
But too much of me can lead to quite a class.
I'm made from fermented grapes, but don't be fooled
Indulge too much, and your judgement will be cooled. 
What am I?"
wheat,['a field'],"It is a 5 letter word if you take away first letter it is something you get from sun, if you remove second letter you will get something to eat, if you remove third letter you get a word you use in pointing at and if you remove the fourth letter you get something to drink. What is it?","

I am grown in a field, golden and tall
My seeds are milled to make flour for all
Bread, cake, and cookies, I'm used in every treat
Can you guess my name? I am called ____."
imagination,[],"With no wings, I fly.  With no eyes, I see.  With no arms, I climb.  More frightening than any beast, stronger than any foe.  I am cunning, ruthless, and tall; in the end, I rule all.     What am I?","

I am boundless without form,
Endlessly flowing, never torn.
Limited only by your mind,
What am I, one of a kind? "
dreams,[],"I come in darkness, but fill the mind with light.   I bring enlightenment to some, while gripping others in the hand of fear.   With me it can be a journey of inexplicable joy and sorrow.   What I will show you will often be unreachable.   Journey with me and what you see may haunt you.   Journey with me and you may never want to return home.   Journey with me and you will never know when it will end.   What am I?","

What comes at night, while you sleep
A world of wonder you can keep
Visions, thoughts, and wild schemes
Can you guess, it's all in your __________?"
ace,[],"Kings and queens may cling to power, and the jesters may have their call. I am the most common but I can rule them all. What am I?","
I am one of eleven, 
Yet can decide if you'll go to heaven. 
I'm the highest in a deck, 
But a 1 compared to a king's check.
What am I?"
snake,"['the Bible', 'a garden', 'a feild']","When I move, I tip the scales. I am the source of many tales. Around your foot, a sign of wealth. Around a stick, a sign of health. Around your chest, your final breath. On your neck, say hi to death. What am I?","

I slither in the garden, feared and reviled,
In a field of green, my presence is riled.
In the Bible, I brought about strife,
When I tempted Eve with the forbidden fruit of life.
What am I? A creature that hisses and shakes,
Known to many as the dangerous snake."
sheep,"['animal', 'wool', 'fabric']","Its fleece is warm and wooly white. And when you lie awake at night, count it and you'll fall asleep. What is it?","

I am an animal, but I don't roar
My wool is soft, and used for more
Clothing and blankets, so cozy to keep
Can you guess my name? I am a ___________."
bird,['animal'],"I grow in trees, eat living things but have no teeth and give birth to something that looks nothing like me. What am I?","
I fly high above the land,
Feathers soft and colors grand.
With a beak that's sharp and quick,
I can snatch up food in one slick flick.
What am I, this nimble one?
A creature of flight, I am a ___."
yawn,['you yawn'],"I herald the darkness which descends on all creatures; You will know my approach by moans and wracked features. I visit the hippo, hyena, and horse, But never go near snails and spiders, of course. I would circle the globe, leaping one to the other, Should all the world's people ever clasp hands together. What am I?","
Twice a day, you may do this, 
A simple sign of tiredness, it's true. 
But what am I, when you do it too? 
A stretch of the mouth, a quiet cue."
Fire,[],"I eat, I live. I breathe, I live. I drink, I die. What am I?","

I am a force that can both harm and heal,
I dance and flicker, with a blazing zeal.
I devour all, yet leave behind a glow,
I am a force of nature, do you know?
What am I?"
goblins,"['goblin', 'folklore']","In caves of mold, in depths untold. We harvest a crop of silver and gold. Lacking in light, we seek to fight. We vanquish our foes, though terrible in might. What is it?","

In folklore they're green and mean,
And often unseen,
They go by the name goblins,
Can you guess this riddle?"
pearl,['an oyster'],"I live in water If you cut my head I'm at your door, If you cut my tail I'm fruit, If you cut both I'm with you What am I?","

I am hidden deep inside,
An oyster's home where I reside.
A gem of ocean that's quite rare,
My lustrous beauty beyond compare.
What am I?"
birthday,"['celebration', 'cake', 'dessert', 'a dessert', 'food']","You get many of me, but never enough.    After the last one, your life soon will snuff.    You may have one of me but one day a year,   When the last one is gone, your life disappears.     What am I?","

I bring sweet joy, with candles aglow,
A day of celebration, this I know.
But before you cut into me, take heed,
For without my frosting, I'm but a seed. 
What am I on this special day? 
A dessert that brings smiles, hooray!"
diary,['a diary'],"Tell me your secrets, and they'll never be spoken. But leave my lock open, and they will be taken.  What am I?","

I hold your secrets, your dreams, and your fears,
With each turn of my page, memories appear.
From days filled with joy to ones that were scary,
I am your most trusted confidant, I am a ______."
bed,"['sleeping', 'closing your eyes', 'snoring', 'sleep', 'you dream', 'close your eyes', 'you wake up', 'furniture']","You use it every day, you make it every day, you have to go to it every day. What am I?","

What has four legs and can make you snore,
It's used for sleeping and so much more,
But only when you close your eyes,
Will it truly bring you to sleep's sweet surprise.
What am I?"
candle,['light a room'],I am young as I am taller and I am older as I get shorter  what am I ?,"

I am small and cylindrical,
With a wick that's flickering.
I can help light a room,
But beware of me burning.
What am I?"
beef,['a plate'],"I'm from the Old World, and my name from Latin; I can be cured, or served with au gratin. What am I?","

A hearty meal on a plate,
With every bite, your taste buds will sate.
It's a protein, a savory treat,
But don't let it sit, or it might just overheat. 
What am I? 
A slab of meat, commonly known as beef."
wine,"['alcohol', 'cloud your judgement', 'Drinking', 'a beverage']","Many partners could be mine,  I'll not choose one to love,  A priest's embrace may raise me up,  He'll claim it was not me.   No gent are you, you'll surely ask,  My age before you flirt,  To kiss your lips would be divine,  Though soon, you'll knock me back.   Seducers use me all the time,  Their eyes upon another,  Some say they're gents, but post a roll,  In gutter, I am thrown.   Even with legs, I will not run,  I'll stand on one alone,  I may reveal the words of truth,  No secret will I say.   What am I?","

With a sip, you'll feel so fine,
But too much of me can cloud your judgement divine.
I flow freely, a beloved beverage divine,
But remember, moderation is key with this alcohol of mine."
diary,['a diary'],"My author's uncertain yet my title's the same,  I contain random text yet order's my aim.   Read me one day and see my pages are totally bare.   Try again another day and the words will be there.   I'm not a book of magic although it may sound,  I can predict the future, and inside, your life can be found.   Move my eye, I become involved in lactic extraction.   But that's just a clue , a minor distraction.    What am I?","

What holds secrets within its pages,
And tracks the passing of time,
With words and thoughts kept hidden,
It's a personal glimpse into the mind."
shipwreck,['the bottom of the sea'],"Through its wounds, water does run. It once held many but now has none. What is it?","

A broken vessel at the ocean's floor
Lying still, it will be seen no more
A sorry fate, for this watery wreck
On the sea's bottom, it now does rest."
bullet,"['gun', 'a gun', 'kill someone', 'projectile', 'throwing', 'a projectile', 'ammunition']",I am a monster in a dark tunnel.  Pull me back and I will bite you.  What am I?,"

I am the swift messenger of death
Fired from a weapon with fiery breath
Used to shoot and kill, with accuracy true
Handle me with care, or tragedy will ensue"
appearance,[],I'm pleasing to the eye   A tool for many absent of mind   A tapestry of fickle lies   Blind to even the most pensive spies   I'm often the breeder of fervent lust   But I am by far one you shouldn't trust.    What am I?,"

I can change, yet I remain the same
Some may perceive me as fake or inane
Some say I'm all about first glance
But my depth lies within, do take a chance
What am I, a mere facade or a true inner tier?
Your perception may differ, for I am just an appearance, unclear."
cd player,[],"You switch on my button, I sing for you. You decide my volume, You decide my song. What am I?","

I spin and I shine,
But unlike a record, I won't whine.
Insert me in, and I'll play the tunes,
Just push a button and we'll be in sync soon.
What am I?"
screw,"['a simple machine', 'a motorcycle', 'an inclined plane']","I like to twirl my body but keep my head up high.  After I go in, everything becomes tight.  What am I?","

""I am a simple machine, used in motorcycles with might,
I help tighten and loosen, with a twist just right,
On an inclined plane, you might see me gleam,
Finding me on a wheel, is like solving a dream!"""
stable,[],"As a whole, I am both safe and secure. Behead me, and I become a place of meeting. Behead me again, and I am the partner of ready. Restore me, and I become the domain of beasts.What am I?","

I am made of wood,
But I don't walk or glide,
Horses live in me,
And I keep them beside."
library,"['a library.', 'the library']","I am a place you must be quiet in, Even though much information is shared within, I have everything you need in order to learn, But the people who run me are often stern. What am I?","

""I am a place of quiet and knowledge,
With rows of books and shelves to acknowledge.
Whether you're looking for a thrilling story,
Or facts to learn and explore, I have plenty.
In the community, I am a necessary fixture,
And can be found in every book lover's picture.
What am I? The answer's quite clear to see,
For I am both a library and the library!"" "
earth,"['planet', 'a planet', 'spherical']",I am bigger than Venus but smaller than Uranus.  I am a living rock.  What am I??,"

I am a planet, large and proud,  
My shape is round, with land and cloud.  
From space, I shine in shades of blue,  
What am I? Just think it through."
fire,['burn things'],"When I Eat I am alive, But when I drink I die.  Who am I ??","

I am hot but not the sun, and I can quickly make things undone. What am I?"
school,"['a school', 'the school']",There is a house. A person enters this house blind but exits it seeing. What is it?,"

I am a building where students reside,
Knowledge and learning is what I provide.
Some call me a home, others a tool,
But I am known to all as a _________."
music,[],"At the sound of me, men may dream, Or stamp their feet. At the sound of me, women may laugh, Or sometimes weep. What am I?","

I am a language that needs no words,
But through my sound, my message is heard.
I come in melodies, in rhythm and rhyme,
And with every beat, I make you shine.
What am I?
"
mountain,['hill'],"What has roots that nobody sees, and is taller than trees.   Up, up it goes, and yet it never grows.   What is it?","

I am tall and steep, a natural thrill
But compared to a peak, I'm just a small hill
My size may differ, but I still stand tall
A part of the landscape, I'll never fall
What am I? A _______"
mouse,"['a hole in a wall', 'the garage', 'a laboratory']","My tail is long, my coat is brown, I like the country, I like the town. I can live in a house or live in a shed, And I come out to play when you are in bed. What am I?","

I'm found in a hole, on a laboratory's shelf
Or lurking in the garage, beside the tools and oneself
I'm small but mighty, with a click and a scroll
What am I, this creature, they often call a mole?"
phone,['a desk'],"You answer me, yet I never ask you a question. What am I?","

""I sit on a desk, yet never rest
With numbers and buttons, I am blessed
I can connect you to those near or far
But without a cord, I seem bizarre
What am I, on this surface alone?
Hint: I am not just a ""cell"" - I am a phone."""
staircase,"['going upstairs', 'a building', 'a mansion']",It turns into a different story. What is it?,"

I am found in a building, high off the ground,
But climbing up me will make you feel bound.
In a mansion, you'll often see me there,
For I am a way to reach the upper layer."
bell,"['ringing', 'betrothal', 'church']","It speaks with a hard tongue, it cannot breathe, for it has no lung. What is it?","

In the tower tall, I chime and sing
Joining two hearts, a symbol of love's true ring
In the holy house, I fill the air
A sign of devotion, for those who share. 
What am I?"
chocolate,"['food', 'candy', 'sugar', 'sweet', 'white', 'sweetener', 'sweetening', 'the movies', 'a box']","Oh how you love me: to some I'm a must. But to get what you need, you grind me to dust. I am dark and bitter, and when I'm white I lack meat. In winter you drink me, and in spring I'm used in a feast. I am a tree of summer and in autumn I'm a gift on an eve, while all year round I'm quite the reprieve.   What am I?","

I am a food that is loved by many
A sweet treat that's oh so tasty
I'm made of sugar, but not quite
And in the candy shop, I'm quite a sight"
piano,"['an instrument of music', 'performing music', 'percussion instrument']","I've got a lot of keys, eight and eighty to be exact. Yet there's not a keyhole in the world to fit them, and that's a fact. What am I?","

I can play sweet melodies,
But I don't use strings,
I have black and white keys,
And make beautiful things.

What am I?
An instrument of music,
For performing with grace,
A percussion instrument,
That adds rhythm to any space."
cigarette,"['smoking', 'lung cancer', 'cancer', 'a disease', 'bad for your health']","I am slim and tall,  Many find me desirable and appealing.  They touch me and I give a false good feeling.  Once I shine in splendor,  But only once and then no more.  For many I am ""to die for"".  What am I?","

I am small but powerful, a habit for some,
But beware, I may cause damage to your lung.
Indulge in me too much and you'll surely rack,
A deadly disease that's named after a Zodiac."
snowflake,"['the winter', 'pahuljica']","I fly when I am born, lie when I'm alive, and run when I am dead.  What am I?","

I may be cold, but I am unique,
Falling from the sky, each one a mystique.
In the winter, I am quite the sight,
A symbol of beauty, shining so bright.
In Serbian, I am known as ""pahuljica"",
A delicate creation, unlike any replica."
cross,"['symbol', 'a symbol', 'jesus', 'a Jew', 'religious']",It can look like a TIt can look like an XThey can be found on chains. Hung around peoples necks. What is it?,"

I am a symbol of faith,
One that brings love and grace,
Marked on the skin or worn on a chain,
I represent Jesus, the Jew's gain. 
What am I?"
thunder,"['lightning', 'an electrical discharge', 'electricity', 'noise', 'storm', 'a storm']",I make noise yet you don't see me make it. I alarm for good yet sometimes for worse. I have a companion. What am I?,"


I am the crackling companion of lightning,
An electrical discharge that leaves all brightening,
With the power of electricity, I'll make you wonder,
But beware, my presence also comes with a loud noise asunder.
What am I? 
"
reflection,"['mirror', 'a bedroom', 'see yourself', 'image']",I have arms but cannot carry a thing. But wave at me and I wave back at you. What am I?,"

I sit on the wall, inside a cozy room,
Allowing you to see yourself in a great zoom.
I'm not a window, but I show a true projection,
Without me, you'd miss another opportunity for inspection. 
What am I?"
stamp,[],"I travel all over the world, but always stay in my corner. What am I?","

I'm not a letter, but I have a date,
Without me, your mail will have to wait.
You can find me on paper, but I'm no scribble,
I can travel the world, without ever having to wiggle.
What am I?"
nightmares,"['nightmare', 'a nightmare', 'a scary dream']","I can't t hurt you, but I can leave you with scars. Nobody wants me, but everyone has me. But you are the only one who can see me. What am I?","

I come in the night, haunting your sleep
My presence can make you weep
Some say I'm just a scary dream
But to some, I'm more extreme"
burn,"['fire', 'burn things']","I'm what one does to their victim if they cheat.I result from something cooked you overheat.I'm in your legs when running hard down the street.Do me plus ""out"", your energy will deplete.Thanks to me, your digital copy's complete. What am I?","

I am bright and hot, yet I do not shine,
I consume all in my path, but I am not divine.
With my touch, things turn to ash,
I am fire's partner, in every flash.
What am I, who causes each thing to twist and turn?
I am the element that can make anything burn."
komodo dragon,[],"I live in a hot, dry, rock islands of Indonesia.  I eat carrion and live snakes, deer, goats and birds.  I am 3m long and weighs up to 136kg.  What am I?","

I am fierce and strong, with scales all around
With venom and teeth, I dominate the ground
My name's a mix, of a place and an animal
In Indonesia I'm found, fierce and regal
What creature am I, with a mighty wag of my tail?
A hunter and predator, the answer is not frail."
elephant,"['a circus', 'a trunk']",It is said I never forget. I am gray; I have a trunk. What am I?,"

I am the king of the circus
With a long, strong trunk on display
Make way for me, or beware
For I am the mighty __________."
dog,"['bark', 'tree', 'guard your house', 'pet', 'be a pet']",People are scared of me but I am loved by some. I can be your best friend but could become your enemy in a blink of an eye. What am I?,"

""I have a bark that's loud and strong,
In trees, I love to sniff and throng.
I'll guard your house with all my might,
And as a pet, I'll bring you delight.
What am I, if not a loyal dog?"""
shadow,['the ground'],"As fast as an eagle, as slow as a slug. As tall as a tree, as small as a bug. Sometimes in front, sometimes behind. Never on top, and always aligned. What is it?","

I am always near but can never be seen,
On the ground, I am always keen,
Follow me and you'll see me flee,
For I am the elusive shadow, can you catch me?"
Nothing,[],"The rich people want me, the poor people have me, if you eat me you die. What am I?","

I have no weight or form,
But without me, life is the norm.
What am I?"
stapler,"['a desk', 'a stapler', 'a desktop']","The things I bite, they don't bleed, I don't bite until you push me; I bring my victims together each time I bite, But they'll come undone if you pull it just right. What am I?","

I sit on a desk, a reliable tool,
I'm used with papers, as a rule.
Small but mighty, I'm a desktop must,
A helpful companion, I'll never rust.
What am I? You'll find me the finer,
A tiny but mighty desktop stapler."
road,"['street', 'the street']","This is an old Canadian riddle from 1300-1900 AD. What is it that which goes up the hill.And down the hill, And of all yet standeth still?","

I am often found on the street,
And guide you towards your next meet,
Some may call me a path,
But without me, it'll be tough to do the math.
What am I?"
death,"['life', 'finite', 'mortal', 'a war']","Some try to hide, and some try to cheat, but time will show, and we always will meet. Try as you might, to guess my name, I promise you'll know when you I do claim. Who am I?","

I am the end of life, 
But it doesn't mean the end of strife. 
Though finite and final, 
In war, I am the rival. 
Mortal beings fear me, 
For I am the ultimate decree. 
What am I?"
future,['past'],I am always in front and never behind. What am I?,"

I'm always ahead of you,
But based on what has come through,
I may be different or the same,
Depending on this one little game.
What am I?"
hippo,['Hippo'],I have four legs.                                                   I live in Africa. I am big and grey. I live in the river.  What am I?,"

I am a large animal, with a round body and a wide mouth, 
I am not a horse, although I may sound like one in the South, 
My skin may seem gray and rough, but it actually can sweat, 
And when I'm in the water, I am quite a sight to be met.
Who am I?"
dust,"['your bed', 'a closet', 'the corner']",People are hired to get rid of me.    I'm often hiding under your bed.    In time I'll always return you see.    Bite me and you're surely dead.    What am I?,"

I settle down comfortably on your bed,
But stir me up, and I may cause some dread.
I can also be found in a closet,
And accumulate in the corner, I bet.
What am I? A nuisance, some may say,
But without me, your life would be quite gray."
palm tree,[],My first word has lines that intersect.My second has limbs that grow erect.My whole in cold spots you'd not expect. What am I?,"

I am tall and slender,
With branches that sway,
My leaves are like a fan,
To keep you cool all day. 
What am I? "
lava,"['a volcano', 'hot']","The bottom heats, The top cools, And little blobs.Swim in my pools. I can be different colours, And be a source of light, A bedroom accessory, I light up the night!  What am I?","

I am found in a volcano, 
And oh so hot, 
Fiery and molten, 
I am definitely not a dot. 
What am I?"
dreams,[],I go through you fast but you see me slow.  What am I?,"

I come at night, when you're asleep. I bring adventure, joy, and sometimes weep. What am I?"
onion,"['vegetable', 'a vegetable']","Some sad, some good, some bad, some great.   WHAT AM I??????????","

I am a vegetable that brings tears,
But cooking me can bring great cheers,
Layers upon layers, I may seem,
But with my sweet taste, I'll make you beam.
What am I?"
glasses,"['the cupboard', 'a cabinet', 'improve you eyesight']","Without a bridle, or a saddle, across a thing I ride astraddle. And those I ride, by help of me, though almost blind, are made to see. What am I?","
I can be found in the cupboard, or hidden in a cabinet. 
But don't overlook me, for I can improve your eyesight, that's a fact it. 
What am I?"
venom,[],"I have no fangs, yet I constantly bite.   I have no scales, yet I slither through you.   What am I?","

I am often feared, yet I do no harm
My bite may be deadly, but I have charm
I flow through snakes and spiders alike
One drop of me and your fate I'll strike.
What am I?"
paradox,[],"I am and yet cannot. I am an Idea, yet can rot I am two but none. I am on land, but on sea. What am I?","

I am a statement that cannot be true,
But if you try to prove me false, you'll still pursue.
What am I?"
love,"['kiss someone', 'propose to a woman', 'a feeling']",I multiply and add when you divide me with others. What am I?,"

What can make you blush,
When you kiss someone with a rush,
It's a feeling so pure,
And makes you feel so sure,
One might seal it with a glove,
When they propose to a woman they love."
