Word,PQConcepts,GenRiddle,mFlag,GoldRiddle
guillotine,[],"

I am a tool of death, sharp and swift,
My name derived from a Frenchman's gift,
With a single chop, I'll end your life,
But to some, I bring an end to strife.

My blade falls fast, a final blow,
Yet some believe I bring justice to show.
A symbol of revolution and power,
But to others, a gruesome hour.

With a heavy weight and a rope so fine,
My executioner's job is not benign.
My victims scream, as their heads fall,
Yet to some, my purpose they applaud.

Some call me cruel, call me mean,
But without me, a","With a heavy weight and a rope so fine,My executioner's job is not benign.My victims scream, as their heads fall,Yet to some, my purpose they applaud.",Hickory-Dickory-Dock!   The mouse ran up the clock.    The clock struck one   and down did come.    Hickory-Dickory-Dock!    What am I?
A window.,[],"

It gives light but has no sunshine,
It's clear yet holds a view divine,
A frame for the world but no door,
A gateway to outside and more,
What am I, this pane with a view?
A portal for dreams to come true. "," gives light but has no sunshine,It's clear yet holds a view divine,A frame for the world but no door,A gateway to outside and more,What am I, this pane with a view?","Almost everyone sees me without noticing me, For what is beyond is what he or she seeks. What am I?"
sliver,"['divide', 'splinter']","

I am a fraction of a whole,
Divided and separated, I stroll,
A mere sliver of what used to be,
A small splinter, yet still visually appealing to see."," am a piece of a whole,Divided and separated, I stroll,A mere sliver of what used to be,A small splinter, yet still visually appealing to see.",Your go into the forest and get me you sit down to find me and our leave because you cant find me.  What am I?
sponge,"['erase', 'delete']","

My touch is gentle, my impact small
But I can make marks disappear, one and all
Though I may seem soft and round
I have the power to erase, with a simple sound
What am I, that can wipe a slate clean
And leave no trace of what has been?"," touch is gentle, my impact smallBut I can make marks disappear, one and allThough I may seem soft and roundI have the power to erase, with a flick of a pen?",I am full of holes but I can still hold water. What am I?
mailbox,"['a container for letters', 'a post office', 'an apartment complex', 'get your mail', 'post box', 'receiving letters', 'receiving mail', 'send letters', 'sending packages']","


""I am found in front of your door,
a container for letters galore.
A post office in miniature,
where messages come and depart for sure.

Sometimes I stand alone,
just like an apartment complex known.
But don't be shy, come and get your mail,
I'll make sure it's safe and won't fail.""","I am found in front of your door,a container for letters galore.A post office in miniature,where messages come and go for sure.","They fill me up and you empty me, almost everyday; if you raise my arm, I work the opposite way. What am I?"
anchor,['hook'],"

I am heavy and strong with a pointy hook,
But without me, your ship may go for a look.
I hold steady, keeping you in place,
Without me, the ocean would be your endless chase.
What am I, with a grip that's primed to lock?
I am the steadfast and unyielding anchor, a sailor's rock. ","I am the steadfast and unyielding anchor, a sailor's anchor. am heavy and strong with a pointy hook,But without me, your ship may go for a look. ",You throw me out when you use me and take me in when you are done what am i?
tree,"['a forest', 'a tree', 'branches', 'branch']","

I am tall and strong, in a forest I belong,
My trunk stands proud, my branches spread out,
Many others like me, in this greenery you see,
I am a symbol of life, a tree I might be."," am tall and strong, in a forest I belong,My trunk stands proud, my branches spread out,Many others like me, in this greenery you see,I am a living organism, a tree I might be.","My rings tell such a story.Of years past with gracious glory.Where I live is where I stay.From that spot I cannot stray.From my home man taketh me.So they can erect another home, you see.Many others bore into my sides.These things that crawl and things that glide.I weep with beauty or stand with grace.Every year I shed myself to nourish my place. What am I?"
moon,"['Moon', 'a sphere', 'earth', 'orbit around the earth', 'satellite', 'orbit']","

I am a heavenly body, bright and white, 
A sphere that orbits nearby every night. 
Though I seem to shine on my own, 
My real light is just a reflection shown. 
I have a strong pull on the earth's sea, 
And impact the tides, can you guess me?"," am a heavenly body, bright and white, A sphere that circles nearby every night. I have a strong pull on the earth's sea, And impact the tides, can you guess me?","im white im round, but im not always around,  im light, im dark, sometimes im both,  everybody wants to walk on me,but only few happy feet ever have    What am i?"
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","

""I am what you do before you fall asleep,
A world of fantasy for you to keep,
In your mind, I can make anything seem,
A place where you can endlessly dream.""","I am what you do before you fall asleep,A world of fantasy for you to keep,in your mind, I can make anything seem,like a dream come true.","I'll amuse you for an entire evening, But you won't remember me. What am I?"
onion,[],"

I am a root, but not underground
My layers are stacked and can be found
I make you tear and add flavor too
But when cut, I reveal my rings of blue"," am a root, but not undergroundMy layers are stacked and can be foundI make you tear and add flavor tooBut when cut, I drop my rings of blue","Those who prepare me can lift me, grip me, and chop off my head, bite my bare body, and tear me apart. I won't bite a person unless that person bites me; although there are many people who bite me. What am I?"
vending machine,[],"
I am a machine that stands tall and bright
Stocked with goodies from left to right
My buttons, they shine with numbers and letters
Press them right to get what you're after

Students flock to me on breaks and lunches
Craving snacks, they know I won't make them pay in bunches
Insert your coins, hear the clink and the whirr
Out comes your treat, in a quick blur

But watch out, for not all is what it seems
If you're not careful, I'll take all your means
So choose wisely, my dear little friend
Or your budget might reach"," am a machine that stands tall and brightStocked with goodies from left to rightMy buttons, they shine with numbers and lettersPress them right to get what you're afterStudents flock to me on breaks and lunchesCraving snacks, they know I won't make them pay in bunches","You walked one day down the street.   You found something that was worth something.   You made sure you didn't lose it.   It has color , size and shape.    Everyone of them is different.   You enjoy it a lot.   You like it and you count it over and over. What am I ?"
blade of grass,[],"

I am small and delicate, yet strong and enduring
A green carpet spread across the ground, so alluring
My neighbors are many, but I stand tall and proud
When the wind blows, I dance and sway, never bowed

From the soil I emerge, searching for light
A symbol of hope, a sign of new life in sight
Though my existence may seem simple and plain
My purpose is vital, and without me, there'd be pain

Some may trample me, some may use me for play
But I fulfill my duty, regardless, every single day
I share my beauty, my grace,"," am small and delicate, yet strong and enduringA green carpet spread across the ground, so invitingMy neighbors are many, but I stand tall and proudWhen the wind blows, I dance and sway, never bowedFrom the soil I emerge, searching for lightA symbol of hope, a sign of new life in sightThough my existence may seem simple and plainMy purpose is vital, and without me, there'd be painSome may trample me, some may use me for playBut I fulfill my duty, regardless, every single dayI share my beauty, my grace,","The sharp slim blade, that cuts the wind.     What is it?"
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']","

I rest on a desk, in a house so grand,
With hands that move, but don't use my hand.
The seconds go by, as I continue to tick,
I keep track of time, through every trick."," rest on a desk, in a house so grand,With hands that move, but don't lift my hand.The seconds go by, as I continue to tick,I keep track of time, through every trick.","I always run but never walk, I sometimes sing but cannot talk, No head on which a hat to place, You always look me in the face.   What am I?"
baby,"['a very young child', 'child', 'a school', 'anger his mother', 'become an adult']","

I may be small, but I'm filled with wonder,
A treasure to hold, but fragile like thunder.
As time goes on, I'll grow in size,
But in your heart, I'll forever reside.

Some may call me a child, others a babe,
But no matter the name, my joy cannot be feigned.
Though I may be young, my potential is great,
Only the future can determine my fate.

In a school, I may learn and play,
But at home, I'm loved more every day.
My mother's love, unfailing and true,
Keeps me going, no matter what I may","Some may call me a child, others a babe, but no matter the name, only the future can decide my fate.In a school, I may learn and play, but at home, I'm loved more every day.As time goes on, I'll grow in size, but in your heart, I will always remain.","I can be created by humans,  but they cannot control me.   I suck on wood, paper and flesh alike.   I can be more of a hindrance than help.   To my creators, I seem to be everywhere at once.    What am I?"
colored pencils,[],"

I come in a pack, filled with many hues,
Some used for shading, others for brightening views.
I'm made of wood, with a point so thin,
But in my hands, magic can begin.

I'm handy for artists, young and old,
My colors can create stories untold.
I'm often used to bring drawings to life,
With me, you can make your imagination thrive.

I'm not a crayon, nor am I a pen,
But I'm loved by children and adults, now and then.
I'm versatile, with endless possibilities,
With me, you can draw your wildest fantasies.

I","I'm not a crayon, nor am I a pen, but I'm loved by children and adults, come what may, with me, you can draw your wildest fantasies.","i can be colorful, but im really skinny, some poeple use my daily, some people throw me away, what am i"
flower pot,[],"
What holds the soil and plants so dear,
Yet when the weather turns, it disappears,
Green and festive, yet grounded and still,
It's a vessel of growth, but can also refill."," holds the soil and plants so dear,Yet when the weather turns, it goes,Green and festive, yet grounded and still,It's a vessel of growth, but can also refill.",Light me up for a sprinkle of gold. What Am I?
temperature,"['somesthesia', 'interoception', '105661897-n', 'exteroception', 'sense', 'sensitivity', '105661693-n', 'body', 'environmental']","

I am a sensation that you can feel,
Through your body, I do appeal.
Interoception, called by some,
For I am more than just a number.

From within, or from outside,
I can be sensed, I cannot hide.
Touch, pain, and heat, I reveal,
Through exteroception, my appeal.

But not just a feeling, am I,
For somesthesia, I rely.
My fluctuations, can bring elation,
Or discomfort, through sensation.

Numbers mark my rise and fall,
But my effects, affect us all.
With 105661897-n as my measure,
I am temperature,","Touch, pain, and heat, I feel, through your body, I do appeal.But not just a feeling, am I,For somesthesia, I rely.Numbers mark my rise and fall, but my effects, affect us all.With 105661897-n as my measure,I am temperature,",We experience this every day and sometimes can cause many problems.  What is it?
poker hand,[],"

I am a hand made of cards, with different suits and numbers,
I'm played in casinos, and sometimes even slumbers.

Some say I'm lucky, others say I'm not,
But regardless of opinion, I'm still sought.

I am dealt at the table, by a dealer's hand,
And for some, I can be their greatest demand.

I come in all variations, from flush to straight,
And when you have me, it's usually cause for debate.

Some might fold, while others might raise,
But what I am exactly, could be hard to trace.

I am a game of strategy, a game","I am dealt at the table, by a dealer's hand,And for some, I can be their greatest demand. am a hand made of cards, with different suits and numbers,I'm played in casinos, and sometimes even slumbers.Some might fold, while others might raise, but what I am exactly, could be hard to find.",I need a level playing field and a full boat to sail above the rest.   If im flush against a strait hand I will barely excape the heat.   If im two-faced then most likely you will lose.   What am I?
bridge,"['a bridge', 'a river', 'cross a bay', 'cross a river', 'cross over a body of water', 'cross water', 'crossing']","
I am a structure that spans through space,
A link between two sides or another place.
I may rise high above a river's flow,
Or stretch far over a bay, don't you know?
My purpose is clear, to help you cross,
A bridge between two points, a path to saucy moss."," am a structure that bridges through space,A link between two sides or another place.I may rise high above a river's flow,Or stretch far over a bay, don't you know?My purpose is clear, to help you cross,A bridge between two points, a path to saucy moss.","{ I have a long tongue, and when I am needed they use me.  I am a protector for getting hurt.  who am I?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","

I am found in a lake and a pool,
But from a waterfall, I am a drool.
Refreshing and clear, I am desired by all,
Without me, life would surely fall.
What am I?"," am found in a lake and a pool, but from a waterfall, I am a spring.",I'm often running yet I have no legs.  You need me but I don't need you.  What am I?
banana,"['a banana', 'banane', 'edible fruit', 'herb', 'a herb']","

I am yellow and curved,
Some say I am a vegetable, but they're absurd.
I am an edible fruit, sweet and soft,
A delicacy that is never scoffed.
As a herb, I add flavor to meals,
Without me, they would lack appeal.
What am I? It's not hard to grasp,
Just peel away and take a bite, it's a _____.","What am I? It's not hard to grasp, just peel away and take a bite, it's a piece of cake.","A time when they're green, A time when they're brown, But both of these times.Cause me to frown. But just in between, For a very short while, They're absolutely yellow, And cause me to smile. What am I talking about here?"
liquorice,"['candy', 'crab’s eye', 'leguminous', 'legume', 'leguminosa', 'leguminosae']","
I am a candy, black and sweet,
But not a vegetable or a treat to eat.
Some say I resemble a crab's eye,
But I am actually a legume, just a little spry.
With a distinct flavor, some love me to bits,
But to others, I taste like old-timey tricks.
The ancient Greeks believed in my power,
To soothe sore throats, I can surely devour.
What am I, you may ask with a curious glance?
I am liquorice, a leguminous plant in disguise, ready to enhance. ","With a distinct flavor, some love me to bits, but to others, I can surely devour.What am I, you may ask with a curious glance?I am liquorice, a leguminous plant in disguise, ready to bite the dust.","My first is a fluid, my second a solid, my whole a plant. What is it?"
sugar,"['a carbohydrate', 'a sugar bowl', 'a sweet food', 'cane']","

I am a carbohydrate, hidden in a bowl,
A sweet food that can satisfy your soul.
I come from tall stalks, harvested with care,
In a sugar bowl, you'll often find me there. 
What am I, this treat so pure?
From cane to crystals, I am the cure. ","I come from tall stalks, harvested with care,In a sugar bowl, you'll often find me there. ",A box of Diamonds that Most love to eat. What Am I ?
Cheese.,[],"

I am milky white, yet sometimes yellow,
A favorite of mice, and those who are mellow.
I can be sharp, or smooth as can be,
In pizzas and burgers, you'll usually find me.
What am I, always pleasing to please?
I am often hidden but known as... Cheese!","I can be sharp, or smooth as can be,In pizzas and burgers, you'll usually find me.","People often cut into me, and although I can be very sharp, I never cut them back. Most people like me, but even if you hate me, just saying my name will make you smile. What am I?"
footsteps,"['footstep', 'footfall']","

With each step they make a sound,
A rhythm that's sure to astound,
They mark the path we tread,
And guide us on ahead.

But what is this word so neat,
That describes the sound of feet,
One by one they fall to the ground,
In a pattern oh so profound.

Search far and wide, you'll find,
A word that fits just right in line,
From heel to toe, they leave their mark,
And we know them as our guide, our lark.

So tell me now, what could it be,
This word that's full of mystery,
It starts with ""foot"" and ends","Search far and wide, you'll find,A word that fits just right in line,They mark the path we tread,And point us on ahead.So tell me now, what could it be,This word that's full of mystery,It starts with ""foot"" and ends","What is it the more you take, the more you leave behind?"
troublesome,[],"

I am often caused, by things that bother
A pesky problem, hard to father
Some may call me a challenge, true
But others see me as a troublesome ____"," am often caused, by things that botherA thorn in the eye, hard to fatherSome may call me a challenge, trueBut others see me as a troublesome ____",Remove some and I will give you trouble. What am I?
bear,"['a mammal', 'animal', 'big']","

I am a mammal, an animal you see
Big and furry as I can be
I roam the forest, fierce and wild
But sometimes I act just like a child"," am a mammal, an animal you seeBig and furry as I can beI roam the forest, fierce and wildBut sometimes I act just like a child.","Naked with fur, I catch shoal in mid flight, Blindingly quick with true awesome might, I charge with both power and juggernaut force, Faster than man, woman or horse. What am I?"
volcano,"['a crater', 'a volcano', 'lava', 'hot']","

I am a fiery mountain, hot and tall,
My deep crater is where I often fall,
My lava flows, a dangerous dance,
I am not something you can chance,
I am mighty and fierce, a force to behold,
In my red-hot heart, secrets are untold,
What am I, you may ask? I am no scam,
I am simply known as a fierce volcano, BAM! "," am a fiery mountain, hot and tall,My deep crater is where I often fall,My lava flows, a wild dance,I am not something you can chance,I is mighty and fierce, a force to behold,In my red-hot heart, secrets are untold,What am I, you may ask? I am no scam,","My thunder rolls beneath me, my lightning flares above.  I dust the crust, and when I bust, all I touch will I shove.    What am I?"
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']","

I am a presence that rises up high,
A gas that dances in the sky.
I'm all around, yet can't be seen,
But without me, life would be lean.
I fill the air and make it thick,
My impact on the atmosphere, quite slick.
What am I, an atmosphere delight,
I am the smoke, rising in plain sight.","What am I, an atmosphere delight,I am the smoke, burning in plain sight.I'm all around, yet can't be seen,But without me, life would be lean.","I have no feet, no hands, no wings, but I climb to the sky. What am I?"
sibling,[],"
""I am part of a family, but not quite alike,
Together we share a bond that is unbreakable alike,
We may squabble and fight, but ultimately we're a team,
For we are linked by blood, like a river and its gleam.
Who am I, a companion, a companion indeed?
I am a mirror image, for you are my sibling indeed.""","I am part of a family, but not quite alike,Together we share a bond that is unbreakable alike,We may squabble and fight, but ultimately we're a team,For we are linked by blood, like blood and water.","In my life I must bare, my bloodline I must share. What am I?"
recliner,"['RecliningChair', 'armchair', 'chair', 'fauteuil', '103330348-n', 'faldistory', 'faldan', 'faldestorium', 'faldistorium', 'faldstool', 'faldstuol', 'faltan']","

I am a type of chair, with a cushion for rest
My back goes back, for those who need to be blessed
I am not just an armchair, but a reclining throne
With a touch of a lever, I can make you feel at home
Some call me a fauteuil, others say reclining chair
But no matter the name, I am the comfiest and most rare 
What am I?"," am a type of chair, with a cushion for restMy back goes back, for those who need to be liftedI am not just an armchair, but a reclining throneWith a touch of a lever, I can make you feel at homeSome call me a fauteuil, others say reclining chairBut no matter the name, I am the comfiest and most comfortable I am.","I'm big, I'm comfortable, but most of all I'm oh, so lazy.  I have two arms, but only one foot.  What am I?"
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']","

I am small and often carried in a pocket,
But on a keychain, I'm a useful docket.
Some call me a ""brelok,"" others a chain,
Either way, I open locks with no strain."," am small and often carried in a pocket,But on a keychain, I'm a useful docket.Some call me a ""brelok,"" others a chain,",I turn around once. What is out will not get in. I turn around again. What is in will not get out. What am I?
chocolate,"['a box', 'brown', 'a color']","

I am a sweet delight that comes in a box,
My hue is brown, like a rich earthy rocks.
A treat for the senses, you can't resist,
A tasty creation, with a color you can't miss.
What am I?"," am a sweet delight that comes in a box,My hue is brown, like a rich earthy rocks.A treat for the senses, you can't resist,A tasty creation, with a bite to eat.","Sometimes I am light, sometimes I am dark. What am I?"
x-ray,[],"

I am a secret keeper, revealing what's beneath
Through layers of skin, I see with crystal teeth
My vision is sharp, yet I am completely weightless
My presence undetected, until I cause a diagnosis
In hospitals and labs, I am a trusted friend
But beware my power, for too much can bend
What am I, this mystical ray?
I'm the letter ""x"", found in ""science"" every day."," am a secret keeper, peering under layers of skin, I see with crystal teethMy vision is sharp, yet I am completely weightlessMy presence undetected, until I cause a diagnosisIn hospitals and labs, I am a trusted friendBut beware my power, for too much can bendWhat am I, this mystical ray?",You use me to see inside of someone. What am I?
freedom,"['a belief', 'a universal right', 'exemption']","

I am a cherished belief and universal right,
But some may argue, I'm just out of sight.
From chains and cages, I grant exemption,
But some still struggle with their own perception.
What am I?"," is a cherished belief and universal right, but some may argue, I'm just out of the picture.","People who can't see me never aspire, and people who feel me don't want to lose. I fit for a person, but not for a group. I was born into one's consciousness, and I was repressed into rules and order. If a person wants to get me, he has to abandon the views of others and find his true self. I endure, I don't die forever, because there will always be person willing to follow my trail. What am I?"
island,"['a body of land', 'a land mass', 'a piece of land', 'a small body of land', 'an island', 'land', 'ostrvo', 'surrounded by water']","

In the ocean, I stand tall,
A body of land, not very small.
Surrounded by water, on all sides,
I am home to animals, birds, and tides.

I am a land mass, so unique,
With sandy beaches, and hills that peak.
People come to visit, to relax and play,
But once you leave, you can't stay.

I may be just a piece of land,
But many adventures, I have planned.
From rainforests to volcanoes,
Exploring me, never gets old.

I am a small body of land,
But my beauty, will always stand.
I am","I may be just a piece of land,But many adventures, I have planned.From rainforests to volcanoes,I am home to animals, birds, and tides.I am a land mass, so unique,With sandy beaches, and hills that rise.","I am a certain type of land mass. My climate can be tropical, or ice cold. With water surrounding me. You might come to me for vacation. An examples Hawaii. What am I?"
ping pong balls,[],"

I am round and white, with no sharp edges in sight,
Bounce me around, and I'll give you a sound,
With a paddle in hand, you'll have a grand stand,
But take me outside, and I'll run and hide,
What am I, you may ask, well I'm quite small,
But stacked up in numbers, I can stand tall,
Children love to play, and pros aim to win,
With every fierce match, the competition within,
I may be simple, but I bring joy to all,
From backyards to arenas, I'll never fall,
What am I, you may wonder,"," am round and white, no sharp edges in sight,Bounce me around, and I'll give you a sound,With a paddle in hand, you'll have a grand stand,But take me out, and run for cover,What am I, you may wonder,","I am served at a table,  In gatherings of two or four Served small, white and round.   You'll love some,  And that's part of the fun.    What am I?"
hot air balloon,[],"

I am a vessel that can't stay on the ground,
Filled with warmth, floating without a sound.
My colorful appearance is full of cheer,
But without wind, I cannot steer.
High in the sky, I am a sight to behold,
But danger lurks the higher I am bold.
What am I, with my basket and flame,
Whose adventure ends when I land and tame?"," am a vessel that can't stay on the ground,Filled with warmth, flies without a sound.My colorful appearance is full of cheer, but without wind, I cannot steer.","I fly like a bird of many colors through the sky. i am made with both wood and fire but i do not burn up.You can see me clearly during the day, but i am nearly invisible at night. What am I?"
chameleon,[],"

I am a master of disguise, blending in with my surroundings,
My color and pattern constantly astounding.
With eyes that can move in different ways,
I see the world in an ever-changing phase.
Though some may think I'm sly and sneaky,
I'm just a creature that's quite unique-y.
What am I, with my ability to adapt?
A creature so fascinating, the chameleon to be exact.","What am I, with my ability to adapt, the chameleon to be exact. am a master of disguise, my color and pattern constantly shifting.","Black and Blue. Red and Green. Yellow and Blue. Green and Grey. I am all colours. You can try to get close to me, but you can't escape my vision. If you get greedy, you will try to take your colours for yourself, but before you know it, I will be eating you for lunch. What am I?"
secret,"['cloak-and-dagger', 'mysterious']","

I am a cloak-and-dagger surprise,
Mysterious and locked away in disguise,
Whispered in hushed tones, never to be heard,
For fear of revealing what I've been interred. 
What am I, that holds such power and might?
A true enigma, always kept out of sight.","A true enigma, always hidden. am a cloak-and-dagger surprise,Whispered in hushed tones, never to be heard,For fear of revealing what I've been interred.","If you have me you want to share me, if you share me you won't have me.  What am I?"
earlobe,"['auricle', 'lobe']","

I am a part of your ear, small and round,
Found on the side, above the ground.
I'm called a lobe, but I'm not a fruit,
Instead, I help you hear, and I'm quite astute.
Some call me an auricle, fancy and grand,
But really I'm just a humble earlobe, at your command. ","Some call me an auricle, fancy and grand,But really I'm just a humble earlobe, at your beck and call.","I can wear a ring, i help you hear, they arent really noticable, i can be big or small, i can come in weird shaped, i have a drum inside of me.  WHAT AM I?"
mirror,"['a bedroom', 'a car', 'a surface', 'looking at yourself', 'ogledalo', 'see yourself']","

I can show you what you look like,
But only if you stand just right.
I'm found in bedrooms, cars, and halls,
A surface for reflection calls.
You'll see yourself, clear as can be,
In this object that's known as me.
What am I?"," can show you what you look like,But only if you stand just right.","I turn everything around, but i cannot move when you see me you see you! what am i?"
pencil lead,[],"

I am small and mighty, yet easily breakable
With a powerful tool, I am reliable and capable
I am made of graphite, with a silver hue
But beware, for misuse I can lead to black and blue. 
What am I, that writes with precision? 
A perfect complement to your vision? 
A tiny tip, a graphite blade 
In the hands of an artist, I am made.
Boiled with wax, shaped into a point
I leave my mark, every single joint.
The key to a masterpiece, the foundation to heed
Without me, a pencil would just be lead.
What am I","Boiled with wax, cut into a pointI leave my mark, every single joint. the key to a masterpiece, the foundation to heedWithout me, a pencil would just be lead.","I am taken from a mine, and shut up in a wooden case, from which I am never released, and yet I am used by almost everybody.  What am I?"
mine,"['a mine', 'a weapon', 'coal', 'dig']","

I am both a source of wealth,
And a danger to your health.
I can be found deep underground,
But beware, for danger surrounds.
As a weapon, I am used with care,
For in the wrong hands, destruction I bear.
Black as coal, yet full of worth,
You'll never know when I'll unearth.
What am I, that you must carefully mine?
A valuable resource, or a weapon to shine.","Black as coal, yet full of worth,You'll never know when I'll come across. am both a source of wealth,And a danger to your health.","I am somewhere far below, where no light goes. Here, all a man can do is hack away until at last the shiny things reveal themselves. What am I?"
Santa Claus,[],"

I am a figure of joy, beloved by many,
In a red suit, with a white beard so hairy.
I travel the world, on a magical sleigh,
Bringing gifts to children on Christmas day.

My belly is round, like a bowl full of jelly,
And my cheeks are always rosy and cheery.
But even though I may seem full of glee,
My existence is often met with controversy.

Some say I don't exist, just a legend and tale,
But my spirit lives on, in hearts that prevail.
For I represent love, generosity and giving,
And the power of belief in a world that","I travel the world, on a magical sleigh,Bringing gifts to children on christmas day.My belly is full of jelly,And my cheeks are always rosy and cheery.But even though I may seem full of joy,My existence is often met with controversy.Some say I don't exist, just a myth, but my spirit lives on, in hearts that prevail.For I represent love, generosity and giving,And the power of belief in a world that","I have been called many names, through the course of years. I may have been a real person, but I always bring lots of cheers. I am known all over the world, and I come on a winter's night, to spread joy and holiday spirit, and to set children's faces right. If you still don't know my name, just read on a little more, I live in a house on top of the world, and little children I adore. Who am I?"
helicopter,"['fly', 'heavier-than-air craft']","
I soar through the sky,
A marvel of flight,
I am a vehicle,
That conquers great height.

I'm not a bird,
Or a plane that's fast,
But a heavier-than-air craft,
That can travel vast.

My blades whirl above,
As I gracefully glide,
I am known as a helicopter,
With my ability to fly."," soar through the sky,A marvel of flight,I am a vehicle,That reaches great height.I'm not a bird,Or a plane that's fast,But a heavier-than-air craft,That can travel vast.","Without feather or wing I fly, but you'll known what I am when I hover near by. What am I?"
snowflake,"['crystal', 'component']","

I am a sparkling crystal,
A one-of-a-kind spectacle,
In winter, I fall and stake,
I am known as a snowflake.

Each unique in their make,
Together, we form a magnificent landscape,
A glittering, elegant display,
A cold, yet enchanting bouquet.

But although I may seem fragile,
I am an essential component,
For creating winter's magical scene,
I am the snowflake, so serene.","But although I may seem fragile,I am the snowflake, so delicate.","White bird, featherless, flyin' out o' paradise, flyin' over sea and land, dyin' in my hand. What is it?"
winter,"['a season', 'cold', 'cold season', 'season', 'snow', 'the winter']","

I am a time of year,
When the air is crisp and clear,
My chill will make you shiver,
Some love me, others quiver.

I am a season of few leaves,
But plenty of white sleeves,
My name is what I will deliver,
For I am known as the _______."," am a time of year,When the air is crisp and clear,My chill will chill your bones,Some love me, others quiver.I am a season of few leaves,But plenty of white sleeves,My name is what I will deliver,For I am known as the _______.","After you go through a fall I will take over. All life will stall, or at least grow slower. What am I?"
devil,"['Prince of Darkness', 'cook']","

I am the Prince of Darkness, feared by many
But some seek me out for something tasty
With a white apron and a fiery flame
My skills in the kitchen will put you to shame
What am I? The devil in disguise
Master of cooking, hear my delicious cries."," am the Prince of Darkness, feared by manyBut some seek me out for something tastyWith a white apron and a fiery flameMy skills in the kitchen will put you to shameWhat am I? a black sheep.","I cannot be mistaken for any other being that raises its young in a pouch. My spine-chilling screeches and black colour, mixed with my reputed bad-temper, can sound and look incredibly fierce. I am nocturnal and can weigh up to 26 pounds and live up to 8 years whilst standing at around 15 inches in height. I can hide and find shelter by day and also find food by night. When I eat, my powerful jaws and teeth devour my entire prey. When I'm stressed, I smell really bad, but when not under duress, my scent is quite ok. At present, I am being strickened by a facial tumour which is threatening my brothers and sisters to the point of complete extinction. What am I?"
fog,"['daze', 'confusion']","

I hide the world in a hazy cloak,
Making thoughts and visions choke.
My presence brings a mental fog,
Leaving minds in a daze, like a long grog.
I am a source of utter confusion,
A word that starts with F and ends with N."," hide the world in a hazy cloak,Making thoughts and visions choke.","What goes up but floats? You can go through it, but cannot hear it? What is it?"
attention,"['pažnja', 'pozornost']","

What is a word that begins with ""A"" 
And signifies our focus, 
It's the key to comprehension 
And avoiding hocus pocus.

Some call it ""pažnja"" in Croatian 
Others know it as ""pozornost"", 
It's the foundation of understanding 
And keeping distractions lost."," is a word that begins with ""A"" and marks our focus, It's the key to comprehension And avoiding hocus pocus.",If you got hurt you would like me. . .   If you some people think i'm to overated and dramitized. . . . .   and some people go to far. . . .                        What am I ??
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']","

I am tiny and grey, found in a house
In Disneyland, Mickey's friend I'll douse
I may scurry through a cellar's dark halls
Or click away on a computer's calls
But in a corn field, you won't find me around
For there I'll surely never be found 
What am I? A mouse, clever and small
Invading all places, big or a small."," am tiny and grey, found in a houseIn Disneyland, mouse in the manger I'll douseI may scurry through a cellar's dark hallsOr click away on a computer's callsBut in a corn field, you won't find me aroundFor there I'll surely never be found What am I?",Most people by now have me.Many people have paid much to get rid of me.And many of the same have paid to get me.I am constantly in your business and sometimes make things very easy.Other times I am a pest and ruin most things I touch. What am I?
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']","

I am a drink that's often red,
Consumed at dinner or before bed.
I age gracefully, improving with time,
And though I contain alcohol, I'm still divine. 
What am I, this sweet and bitter potion?
A beverage loved by many, my name is motion."," is a drink that's often red,Consumed at dinner or before bed. What am I, this sweet and bitter potion?","When young, I am sweet in the sun.   When middle-aged, I make you gay.   When old, I am valued more than ever.   What am I?"
wheat,"['a field', 'a grain', 'make flour', 'pšenica']","
I am golden in the sun,
Growing tall in a field I run.
A staple grain used for bread,
I am what makes flour instead.
In Europe, I'm known as ""pšenica"",
Can you guess what I am? It's your next flicka."," am golden in the sun, standing tall in a field I run.A staple grain used for bread,I am what makes flour instead.","It is a 5 letter word if you take away first letter it is something you get from sun, if you remove second letter you will get something to eat, if you remove third letter you get a word you use in pointing at and if you remove the fourth letter you get something to drink. What is it?"
imagination,['representational process'],"

I am a power of creation,
A vessel for dreams and ideation.
But without the skill of represenation,
My magic would lack integration."," am a power of creation,A vessel for dreams and ideation.But without the skill of represenation,My magic would run dry.","With no wings, I fly.  With no eyes, I see.  With no arms, I climb.  More frightening than any beast, stronger than any foe.  I am cunning, ruthless, and tall; in the end, I rule all.     What am I?"
