starter,riddle,class
bothering,"""If I'm ""Hassling"" you what am I doing to you?""",what am i
voice,"I'm part of an instrument but can't see. Can't touch but can hear. Every human has it, in church you can hear. What am I?",what am i
bus,"I go very far, so there's no need to push.Bigger than a car, yet can hide in a bush.They say I go round and round, like a top.I move on the ground until I reach a stop.What am I?",what am i
book,"I'm not a pool, a tree, a slave, a website, or a shirt.What am I?",what am i
calendar,"No matter how little or how much you use me, you change me every month. What am I?",what am i
necklace,This is a piece of jewelry Most often worn by girls It's sometimes gold or silver And sometimes made of pearls What is it?,what is it
street,"From house to house he goes, A messenger small and slight. And whether it rains or snows, He sleeps outside at night.What am I?",what am i
pay phone,It used to be.   that in a time of need.for the minimal price.   of the dime you cede.I would stand ready.   with a book you read.to find a number.   which can be keyed.which connects you up.   with relative speed.to someone with whom.   you could beg or plead. And if you are lucky.   they may take heed.and from your troubles.   you will be freed. What am I?,what am i
internet,"You can find almost everything on me, I will take you to anywhere you want, and you search on me everyday. What am I?",what am i
ball,"I__ round and I go up and down. You can throw me, and you can catch me. Please be careful with me near the windows. What am I?",what am i
bullet,"I always listen to my Master, I never disobey. From my path I never stray to destroy what's in my way. What am I?",what am i
loneliness,"I can fill a room or just one heart. Others can have me, but I can't be shared. What am I?",what am i
paint,"I can be any color you can imagine. You see me in everyday life. I have been around for many, many years, Look around, you can probably see some of me right now. What am I?",what am i
heart,This is a shape and a symbol that we literally cannot live without. What is it?,what is it
Christian Bale,What is it called when Batman skips church?,what is it
paint,"I am neither liquid, nor solid, or gas. I am used to create famous things, but I do not get any fame. If you merge solid and liquid you will find the other part of who I am. What am I?",what am i
hand,"I can open and close. I can harm, or men wounds with tools. I was in the past. I am in the present. I will be in the future.  What am I?",what am i
reflection,"If you see me, I see you. If you move, then I'll move too. When you touch me, I touch you. I do everything you do except for one thing. No matter how hard I try, I can never speak. What am I?",what am i
Luigi,"I am green, I am famous. 2013 is my 20th anniversary. I travel through sewage with my only other relative. Who am I?",who am i
Teddy lupin,"Fear of what I would become haunted my blood. Both can be seen as a curse Though one is much much worse. It was the luck of the draw, you can say, That I came out this way. So, I guess, with my changing physique, I can be seen as quite unique. Who am I?",who am i
paparazzi,I make a living following the wealthy and beautiful. What am I?,what am i
cup,Fill me up with hot or cold. Put anything in me and I will make sure I__l hold. What am I?,what am i
eye,I am pronounced as a one letter alphabet. I am written with three letters. I am complete with just two letters. I am double. I am blue I am black I am brown I am gray I am yellow and I am green. I can read from both ends. I appear the same every way!  What am I?,what am i
triangle,"I am sometimes right, but never wrong. I am sometimes an instrument much smaller than a gong. Bermuda and love are both parts of me. So of course I'm a _______, can't you see? Who am I?",who am i
stapler,I have fangs and enjoy piercing holes with a single bite. What am I?,what am i
conveyor belt,"I travel the same path day after day, a never ending loop that is to say. I have many uses, many indeed, for each I may travel a different speed. I am commonly associated with an assembly line, a transporter which can stand alone or be part of many in a vine. I can move an object from point A to point B, not a person is needed, leave it all to me. I am furthermore found in many a store, a helping hand to do a chore. Now please tell me, if you will, what am I, which hardly stands still?",what am i
black hole,"I am dark, nobody can see me, I'm very far, nothing can escape me. What am I?",what am i
driveway,I am a place to stop .Yet my name says I'm a place to go. What am I?,what am i
heart,"I can be given and stolen, I'm heaviest when broken. What am I?",what am i
rubber ducky,I bring excitement to bathtime .each day and night. My voice is like no other .which causes much delight. The color of my skin is yellow. I am quite a lovely fellow. As the young one laughs and plays.My rubber body floats in the waves.  What am I?,what am i
Shakespeare,"My first is a very uncomfortable state, In cold weather it mostly abounds. My second's an instrument formed of hard steel, That will cause the stout foe to stagger and reel, And when used, is a symptom of hate. My whole is an author of greatest renown, Whose fame to the last day of time will go down. Who am I?",who am i
bridge,"I can be man made or natural. I help you get from here to there. I can save you from drowning or falling to your death. But you'd better be careful for I am sometimes weak, then you'll regret you ever stepped foot on me. What am I?",what am i
Jigsaw,"I come to you shattered and broken; And though not a word will be spoken; I will reveal to you, a world all anew; If you've the patience to make me unbroken. What am I?",what am i
blood,"When warm my house expands and when cold it contracts, I am vital to a certain type of pact.  What am I?",what am i
frost,"I drape the hills in white. I do not swallow, but I sure do bite. What am I?",what am i
keyboard,With many keys but cannot open a single lock. What is it?,what is it
tomorrow,"What is it that no man ever saw, which never was, but always will be?",what is it
stack,"This on this. That on that. Growing tall, But never fat. What am I?",what am i
bed,"I am a mountain at night, meadow at day. What am I?",what am i
heart,"Break me but I'll continue to work, touch me and maybe I'll stay with you forever. What am I?",what am i
curtain,"Many roles do I play, some are great, some okay. At times I conceal, that which ought not to be seen. But most times drown you, I may, to a blissful slumber on a blue day. Great skills I unveil, and entertain you with many a tale. I appear in many shapes, sizes or colours to the eye, Can you guess truly, what am I?",what am i
open house,"My first, a condition for business affairs.My second you may choose to leave to your heirs.My whole may have strangers going up your stairs. What am I?",what am i
asteroid,As large as a mountain.Or as small as a pea.Endlessly swimming in .A waterless sea. What am I?,what am i
skunk,I'm usually out of sight.Unless you see me at night. From my markings one can tell.I've the power to repel. Your lawn I may traumatize.To get to my grubby prize. What am I?,what am i
fortune cookie,"You can eat the outside of me.The inside you can not.Will you get rich, lose, or win something? Ask me!  What am I?",what am i
stairs,"I descend and ascend. If you go too fast, you can trip on me but if you go too slow, your destination seems like miles away. What am I?",what am i
shoes,"You step on me usually every day, Most girls have more than guys, You take them off when you plan to stay, They come in different colors to please the eye. What am I?",what am i
movie,"I am life, yet not real. When we first meet, things are dark. When we leave each other, you are in the light. I meet many people with and after you. What am I?",what am i
microwave,"I heat up almost everyday, But it's not that I am sick. I can burn occasionally, But to watch me is the trick. I can easily be substituted, By stove or oven or fire, But the time it'd take to do the job would.Most probably be much higher.  What am I?",what am i
hope,"Absence of me is like absence of life. I come from desire and your wishes and strife. I'm a vision of a time when good will prevail. I'll help you where courage might falter or fail. I am your dream, anticipation, ambition, I have set many an optimist on a mission. I am frequently there for all those in need. Without me your life would seem quite bleak indeed. What am I?",what am i
coincidence,"There is something blue flying through the air, something red is falling of the roof, and at the same moment the phone rings.  What is it?",what is it
bush,"I am flora, not fauna, I am foliage, not trees, I am shrubbery, not grass, What am I?",what am i
smoke,"I am the one thing that stays after fire , I am the one that choke liars   and yet the wind is my foe, in the morning I’ll be gone!  Who am I?",who am i
flea,"When I am caught, I am thrown away. When I scape, you itch all day. What am I?",what am i
shoe,I have a soul but I can not see or hear. What am I?,what am i
sunglasses,"I am a protector. I sit on a bridge. One person can see right through me, while others wonder what I hide.  What am I?",what am i
peter pan,I crushed on Wendy Darling. What am I?,what am i
Santa,I make a list and check it twice. I will give you coal if naughty and presents or candy if nice. Who am I?,who am i
bat,"I sleep by day and fly at night, but I have no feathers to aid my flight. What am I?",what am i
atlas,Many people own a copy of me. Without me the world would fall. What am I?,what am i
ace,"Royalty i can never be, Yet when war comes to me, Kings and queens submit their lives, All their subjects give their cries. From two to ten they all shall fall, Save the fool who kills us all. What am I?",what am i
honey,I'm a liquid but I'm not water. I'm sticky but I'm not glue. I'm sweet but I'm not melted chocolate. I'm found in a comb but I'm not hair. I'm created by an insect but I'm not a web. What am I?,what am i
soccer ball,"It is kicked many times but never cries, what is it?",what is it
wedding ring,I hold two people together but touch only one. What am I?,what am i
keyboard,"I can slash but I have no knife, I can dash but I have no legs, I can pound but I have no hammer, I can star but I have no stage. What am I?",what am i
paint,I am a kind of coat that can only be put on when wet. What am I?,what am i
bullet,"I have no wings but I fly, I have no teeth but I bite. What am I?",what am i
eyes,You can touch me but you probably wouldn't want to.  I can see you but you can't see me.  What am I?,what am i
match,"I have a head, but do not think, I contain a metal, but it's not zinc, It is wood, that I mostly am, I will be handy, when on a camp, You may find me, in people's homes, As a house, or as a boat, I'll be in a bottle, or a box, For on my own I'll be lost. What am I?",what am i
Atlas,"Some have flown over land and sea, To plot where things are to create me, Filled with squares either green or blue, If you need to know where to go, I'm true.Through me you can see every hill and fen, So tell me, what am I, then?",what am i
stop,"Mix me up, and I'm fit for delivery.Shuffle me, and we're found in a cookery.Jumble me, and we spin in a nursery.Scrambled, and I might be left on cutlery.I'm hard to do with faulty machinery. What am I?",what am i
shirt,"I have a neck and no head, two arms but no hands. I'm with you to school, I'm with you to work. What am I?",what am i
potato,I am round or oval? I can be light or dark. You can cut me in pieces. What am I?,what am i
bubble,Nothing on the outside Nothing on the inside Light as a feather Yet ten men cannot lift it. What is it?,what is it
eyelids,"I am quite small in size and yet can cover the Earth, I go mainly unnoticed yet I still have much worth. No matter how hard you search you'll never see all of me, I have a nearby cousin but he's much more lazy. There is a way to see me, it's like closing a door, but when you see me, it's all me, and you'll see nothing more. I share a trait with a Baseball but only the one, I can also contain the force of a gun. What am I?",what am i
coffin,The person who built it sold it. The person who bought it never used it. The person who used it never saw it. What is it?,what is it
crook,"I might be support for a reed in the wind, Or you can find me in the road, around the next bend. I'm also right at hand, opposite your elbow, you see, And a shepherd or bishop might carry me. So what am I?",what am i
cave,I give refuge to the blind and repeat everything they say.What am I?,what am i
triangle,I am a caribbean shape that makes ships disappear. What am I?,what am i
bricks,"Usually red in color, small in size.I am often seen by city eyes. I make up structures very tall.I could make up offices and a wall. I am usually made of clay.Laid in mortar pale and gray. What am I?",what am i
splinter,I went into the woods and got it. I sat down to seek it. I brought it home with me because I couldn't find it. What is it?,what is it
hole,"I am weightless, but you can see me. Put me in a bucket, and I'll make it lighter. What am I?",what am i
bee,"I am fast and little, and I can attack anything, I can fly to my home while I have a job, I live with my honey. What am I?",what am i
bum,"You sit on me but I'm not a chair, I'm soft but I'm not a pillow and I'm always there for you when you need me. What am I?",what am i
waterfall,"I run forever, With a roaring call. Yet I have no throat, Or any legs at all. Rock wears away, Whilst I grow. You try to race me, And receive a blow. What am I?",what am i
ruler,Only one foot tall but I govern you. What am I?,what am i
butterfly,"On the wing, the breeze seduced me. Newly born to take my flight. From the darkness I did rupture. From my prison, wrapped up tight. Come to rest on petals of brightness. All can see, my change is cast. I flutter by in paper lightness. And my species, they are vast. Darwin wrote of my pure beauty. I'm collected, caught in nets. Forever free to dance my duty. Never kept as pets. What am I?",what am i
tombstone,"Marking mortal privation, when firmly in place. An enduring summation, inscribed in my face. What am I?",what am i
tears,"I come through with strength, Some can hold me back, Some let it all out, I arrive for many reasons, for pain, for joy, for sadness, for madness.What am I?",what am i
flower petals,"I open in the morning and close at night, at love I help decide. He Loves Me.He Loves Me Not.He Loves Me.He Loves Me Not.He Loves Me. What am I?",what am i
candle,"My life is measured in hours. I serve by being devoured. Thin, I am quick; Fat, I am slow. Wind is my foe. What am I?",what am i
wind,"All about, but cannot be seen, Can be captured, cannot be held, No throat, but can be heard. What is it?",what is it
flag,"I have a single waving hand I'm present in places across the land On fairer days, I depart I shorten with a broken heart. What am I?",what am i
love,"I can be happy, sad or confusing. I can show or just be gone, but I'll come back not before long. What am I?",what am i
sun,The place you live on runs laps around me. I help make food when your people are hungry. I am something that you don't want to see directly. There's no way you can live without me. What am I?,what am i
salt,"Once I was as one with water, full of scaly fish; But, by a new decision, Fate has changed my nature. Having suffered fiery pangs, I now gleam white, like ashes or bright snow.  What am I?",what am i
soda pop,"Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes. What am I?",what am i
penguin,"Always well dressed, but I never fly. Black and white, sometimes in a tie. I swim and slide, and dance and glide, With one person by my side. What am I?",what am i
shadow,"Its right behind you,And creeps on the ground,It follows you home,But does not make a sound.Careful when you turn around.What is it?",what is it
onomatopoeia,"What am I?  My first is in sound, but not in thunder. My second is in noise, but not in poise. My third is in outrage, but not in grater. My fourth is in whimper, but not in whisper. My fifth is in squash, but not in squelches. My sixth is in mutter, but not in murmur. My seventh is in gosh, but not in gasp. My eighth is in yelp, but not in yell. My ninth is in hoarse, but not in harsh. My tenth is in eerie, but not in fairy. My eleventh is in bliss, but not in bless. My last is in splat, but not spilt.",what am i
anteater,"I am an animal named after the animal that I eat, what am I?",what am i
excellent,"""If something is ""XLNT"", what is it?""",what is it
food court,"My first may be fruit, pizza, or lentils.My second, consistently judgmental.My whole, a collection of mall rentals. What am I?",what am i
Arlington National Cemetery,"I've swallowed the dead,Of a torn lands end.And I hold the remains,Of an unknown friend. A mansion once stood,Where I now lay,We honor all those. Who fought battles and wars. And gave us today.What am I?",what am i
water,"I am gentle enough to soothe your skin, light enough to fly in the sky, strong enough to crack rocks. What am I?",what am i
vacuum,"I often make my home.Inside of a glass dome. In my domain a sound.Is never to be found. But through me I permit.Any light to transmit. In science articles.Virtual particles. Always annihilate.When ""pro-"" and ""anti-"" mate. What am I?",what am i
coin,"I have a tail, and I have a head, but I have no body. I am NOT a snake. What am I?",what am i
elevator,"Often going up before going down, A moving room am I, Frequently going down before going up, I can open my door in places on high. What am I?",what am i
beer,"Many love me whether I am blond, black or red.Make me wait too long and I may lose my head.Some say I am smooth or even cold.I can cause confusion, or so I am told. I can disappear like a crazy magic trick.No skips or jumps, just hops without a pogo stick.Which makes me more or less bitter.As I cause my share of road side litter. What am I?",what am i
T-rex,"I have four feet in total, two that I stand on and two that I don't . What am I?",what am i
television,AM SOMTHING IN ME U CAN SEE THE WHOLE WORLD  WHAT AM I??,what am i
hearth,"Fire is often maintained above me, and if you remove my first letter, you will find the home shared by everyone you have ever known. What am I?",what am i
fart,"Sometimes I am born in silence, Other times, no. I am unseen, But I make my presence known. In time, I fade without a trace. I harm no one, but I am unpopular with all. What am I?",what am i
skin,You wear me every day but you never put me on.I will change colors if you leave me out too long.What am I?,what am i
pregnant,I am the state when a person is holding a person inside. What am I?,what am i
nose,"I'm the first thing you see in the morning and the last thing you see at night, I'm always there but you choose to ignore me, cross your eyes and you will see me. What am I?",what am i
fruit,"I can reach up from the ground, or hang from a tree, I am the result of your labour, or your offspring I can be. What am I?",what am i
hurricane,I have an eye but cannot see. I’m faster than any man alive and have no limbs. What am I?,what am i
apple,I have skin but I'm not a person. I can be peeled but I'm not a potato. I'm a fruit but I'm not an orange. I grow on trees but I'm not a banana. I'm usually red or green but I'm not a grape. What am I?,what am i
hang glider,"My first completes a man formed by a word not spelled.My second's not still nor mechanically propelled.With my whole, a wondrous bird's-eye view is beheld. What am I?",what am i
love,"It caused the destruction of Troy, The worst of tragedies, And numerous maladies, Yet it is chased, desired and fought for. What is it?",what is it
wow,"I am a word of three letters. I am spelt the same backward and forward; turn me upside down, I will become your mother. What am I?",what am i
victory,"I can have a lap, Sometimes I am at hand, For Bette, I am dark, And winged in ancient land. What am I?",what am i
shoes,I start new then become old. Start clean but be one dirty. I usually start big then become little. What am I?,what am i
bat,"I see without seeing, to me, darkness is as clear as daylight. What am I?",what am i
tender,Some heads of state and figures regal.Would assure you that I am legal. Being my opposite it may take.To bring this attribute to your steak. Moments that might be described as me.Expressions of love shared quietly. As a mixologist I'll go far.So long as I am mixed with a bar. What am I?,what am i
termite,I destroy your home from inside out. What am I?,what am i
heart,"I am something everyone should have. I may be big, I may be small, I may be weak, I may be strong, I may even be broken. People can cause me misery, but can also cause me joy. If you take me out, I die. If you leave me in, I thrive. What am I?",what am i
egg,"In a marble hall as white as milk, Lined with skin as soft as silk, Within a fountain crystal clear, A golden orb does appear, There are no doors to this stronghold, Yet thieves break in and steal the gold.  What am I?",what am i
war,"In the beginning I bring worry, in the middle I bring sorrow, in the end I bring cheers, what am I?",what am i
pencil sharpener,"The more you work, the more I'll eat. You keep me full, I'll keep you neat. What am I?",what am i
toes,I am ten little beans your look at everyday. What am I?,what am i
fart,"When set loose I fly away, Never so cursed as when I go astray. What am I?",what am i
hands,"I get dirty, I get clean. I can be delicate, I can be rough. People often shake me or smack me against my own kind. What am I?",what am i
watermelon,Green on the outside but red and black inside. I am food but mostly liquid. What am I?,what am i
thimble,"An open-ended barrel, I am shaped like a hive. I am filled with the flesh, And the flesh is alive.  What am I?",what am i
dimensions,"A sphere has three, a circle has two, and a point has zero. What is it?",what is it
table,I have four legs yet I still can't walk. What am I?,what am i
name,"You can carry it everywhere you go, and it does not get heavy. What is it?",what is it
heart,"What is something you don't own but you can give it to anyone you meet? You only have one, but you can give it away as many times as you want without losing it. What is it?",what is it
coal,"Black I am and much admired, Men seek me until they're tired. When they find me, they break my head, And take from me my resting bed.  What am I?",what am i
piston,"I have two rings. I move by request. If the mixture is not right, I just sit at rest. What am I?",what am i
percussion,"I supply the beat, to which you tap your feet. I am found in most bands, the rest and I take the same commands. I have many forms, I am not a horn! You hit me to make the sound, sometimes even getting a rebound. What am I?",what am i
carpet,I go up and down the stairs without moving. What am I?,what am i
dog,"Forward I am an animal, but backward I am one who no man can ever see. What am I?",what am i
imagination,"I soar without wings, I see without eyes. I've traveled the universe to and fro. I've conquered the world, yet I've never been anywhere but home. Who am I?",who am i
watermelon,"I wear a green jacket on the outside, white jacket as a second layer, and a red jacket inside. I am pregnant with a lot of babies. What am I?",what am i
garlic,I stink up your breath and fights evil vampires. What am I?,what am i
bubble,I'm always wet but never dirty. I am a solid liquid. What am I?,what am i
sunglasses,"Against the sun, I protect your eyes and am often worn on the face of spies. What am I?",what am i
nest,"A home of wood in a wooded place, but built not by hand. High above the earthen ground, it holds its pale blue gems. What is it?",what is it
shoes,When you stand up he sleeps When you sleep he stands Who is it?,who is it
light,"Without me where would you be? I am not your eyes, but I help you see. What am I?",what am i
kangaroo court,"I am unfair, informal and biased; I am a sham and completely unauthorised. My history can be traced to the 19th century; But I can be very relevant today. Part of my name comes from legal maxims and common law; Whilst another is derived from judges hopping from place to place. What am I?",what am i
smoke,I can fill a house or fill your mouth but you can never catch me in your hands. What am I?,what am i
stapler,"With pointed fangs it sits in wait,  With piercing force its doles out fate,  Over bloodless victims proclaiming its might,  Eternally joining in a single bite.  What am I?",what am i
party,"To Throw Me, you'd Prefer a crowd. What Am I?",what am i
hole,"The more you take from me, the bigger I get. What am I?",what am i
apple,"I may be of the eye,  in order I am pie, in my center there is a star, I keep medics where they are. What am I?",what am i
name,"I have one,you have one,we all have one,but I willl use yours more than mine. What is it?",what is it
fork,"Three or four, I can stab through or rule the seas. You know my cousins. What am I?",what am i
circle,I am a shape that is very close to impossible to draw me perfectly i'm used in this riddle. What am I?,what am i
imagination,"If you look you cannot see me. If you see me you cannot see anything else. I can make anything you want happen, but later everything goes back to normal. What am I?",what am i
hospital,A sign for this special building. Might only show its first letter. It is where you will get taken. When injured so you get better. What is it?,what is it
ground,"I have more shoes than anybody, but less feet than everyone. I am met in the morning, but departed in the night. I may shake as if I'm angry, but I won't bite. What am I?",what am i
ball,I'm a toy.and a party. I even sound like a cry. What am I?,what am i
ghost,"When I looked In the lake, I saw my reflection, but yet I disappear from every picture I take. What am I?",what am i
light,"I surround you but I'm not clothes. I am everywhere but I don't take up space. I'm not always here, yet you can use a man-made form of me. I can go through glass but the glass will look just the same. What am I?",what am i
dog,"The earth is black and white to me.Other colors I can not see.Some call me man's best friend.Give me a bone, a lick I'll lend. What am I?",what am i
picture,"People hang me, people frame, people burn me. -What am I?",what am i
candle,I get shorter the more I'm used but I'm not a pencil. I'm made of wax but I'm not a crayon. I can help you see in the dark but I'm not a flashlight. I'm often found on a birthday cake but I'm not icing. What am I?,what am i
sun,"Not even the toughest person can touch it or even get near. However, it can be seen by everyone. Everyone knows about it, and they know it can cause problems, but people can use it to their advantage. What is it?",what is it
tea bag,"I go in dry and come out wet, The longer I’m in, the stronger I get. What am I?",what am i
map,I hold a key but open no doors. I am a guide that unlocks passage throughout the world. What am I?,what am i
mosquito,"I am an object, everywhere I go people clap for me. What am I?",what am i
bellows,"At fires I attend, I am a kitchen friend; When my nose I blow, How the embers glow! When the wind compels, How my belly swells. What am I?",what am i
clouds,I may be high.I'm not real low.Sometimes fast.Sometimes slow.You can't reach me.But you can see me. What am I?,what am i
grass,I am green but not a tree And I grow around the world What am I?,what am i
hand,I am given away as an indicator of pleasure. If you have a good one of me then you're in for some treasure. Silver and Ed I will help you to measure. If you're having trouble with this I will help at my leisure. What am I?,what am i
bat,It is the assumed nocturnal symbol of Mr. Wayne. What is it?,what is it
shirt,"Who is that with a neck and no head, two arms and no hands? What is it?",what is it
shadow,"I have no particular shape or size, I am usually dark and I am often used to disguise, Within me people may hide, Yet I am always near your side. What am I?",what am i
garbage truck,I smash but I never hurt you. Give me your unwanted items and I will eat them and take them so you can get more. Some people might not like me while others may but I still come around on certain days. What am I?,what am i
water,"I'm on the Earth. I'm in the sky. Without me dearth, Thirsty and dry.  What am I ?",what am i
past,"Half-way up the hill, I see thee at last. Lying beneath me with thy sounds and sights - A city in the twilight, dim and vast, With smoking roofs, soft bells, and gleaming lights. What is it?",what is it
cross,It can look like a TIt can look like an XThey can be found on chains. Hung around peoples necks. What is it?,what is it
target,"My first half is a thick, dark, sticky substance. My last half means 'to acquire.'  . What am I?",what am i
golf ball,"I am cute, little, white and have dimples all over, What am I?",what am i
energy,"I did not come about by birth or creation, I am found in every land and in every nation, I am what people want when they consume food, The lack of me prevents people from doing what they ordinarily would. What am I?",what am i
telephone booth,My first is a man-made voice conveyor.My second was a president slayer.My whole is supplied by a communications purveyor. What am I?,what am i
tongue,"I am often described as, A smooth talker who keeps on trekking, I don't stop until the end of the day, That's why I'm always sweating. My strength is so immense, My physique a blood-tangled mesh, And while fellow knights wear armour of fresh snow spray, And as they catch and torture prey, My body really tastes the flesh. I love to dance and prance around, My whole life is a party rave, My only drawback and lack of freedom, Is I'm tied down at the depth of a cave. Sometimes when I talk I'm serious, Often I just roll about, But when feeling as merry as cupid, I really start to say something stupid, I even manage to get my knights knocked out. I often greet random, unknown people, Sometimes I have to say bye, But still I keep on moving in my dampness, Can you guess - WHAT AM I??",what am i
baking soda,"I'm powerful enough to clean most anything, Yet gentle enough to eat. I'm used to make an explosion of sorts, Yet can be found at millions of stores worldwide. I can kill grass, And even tenderize your meat. I can clean up even the smelliest stench, and soften your fabrics. What am I?",what am i
last resort,"My first, because of others, is deferred.My second, a place where rest is assured.My whole, a course of action unpreferred. What am I?",what am i
infinity,"I am a number but I am countless, I am compared with other things but nothing compares to me. What am I?",what am i
melody,"I am the result of a creative mind, and I keep evolving through time, I can be written down on a paper, but it wont be with a common letter, I am experienced through a clever design, but still I can get stuck in your mind. What am I?",what am i
balloon,"I can be huge, or I can be small. I can be long like a sausage, or round like a ball. I might stay with you, or I might travel for miles. For those of few years, I always bring smiles. What am I?",what am i
trampoline,I am bouncy but I am not round. I can be above or in the ground. What am I?,what am i
haiku,"I'm five in the start, I'm seven in the middle, And I'm five to end. What am I?",what am i
rings,Saturn has them. Married people wear them. A tree's age can be determined by counting them.  What is it?,what is it
art,"I am the universe's complex elegance, I am everywhere. I am created through suffering, inspiration, joy, and even despair.  I am born as an idea, and then presented to the human eye. However, unlike living things, I can never die. What am I?",what am i
bible,I am old but also new. I may seem rather strange but all of me is true. I am 66 inside but really only 1I can be pocket-sized or sometimes weigh a ton!All of me is about a person you really ought to meet. He often signs his name and each story is his treat. I am a world best seller but sadly seldom read. Perhaps you've seen me on a shelf or lying by a bed?What am I?,what am i
water,"I have oxygen in me,  but neither man nor woman  dares to breath within me.  What am I?",what am i
busboy,"Although it sounds like I work on a transportation device, I actually work in a restaurant. What am I?",what am i
pinky,"I am a digit, but two of the ten.Two of me make a promise.What am I?",what am i
truth,I'm simple for a few people. But hard for them to hear. I live inside of secrets. I bring people's worst fears. What am I?,what am i
watch,"I have a face that changes, A heart that beats on time, My body can be broken, but that won't make me die. Although I don't make decisions, Or tell you what to do, One look at me and you do see what there is to do! You say you're lost without me, when I'm not around. But I can give my place away and always can be found. What am I?",what am i
bad,"""If something is ""weak sauce"" what is it?""",what is it
fog,"The more of me there is, the less you see. The less of me there is, the more you see.  What am I?",what am i
funny bone,The only amusing part of the body. What am I?,what am i
bridge,Men walk over me but boats go under me. What am I?,what am i
railroad,I only have two backbones and thousands of ribs. What am I?,what am i
truth,"Most ask for me, yet some hate to face me. For some I am agony and for others, I am relief. What am I?",what am i
leaves,I can be many colors. If you step on me I don't notice. I live only for 7 months. I come in many shapes and sizes . You may see me when you're outside. What am I?,what am i
Santa Claus,"I have been called many names, through the course of years. I may have been a real person, but I always bring lots of cheers. I am known all over the world, and I come on a winter's night, to spread joy and holiday spirit, and to set children's faces right. If you still don't know my name, just read on a little more, I live in a house on top of the world, and little children I adore. Who am I?",who am i
past,"My first is in companion, but not in enemy.My second in both peace and war.My third in simple, but not complex.My fourth in water, but not shore. To ignore me much must be forgotten.And so now you must try.To figure out this riddle.And answer: What Am I?",what am i
broom,"I have a hundred legs but cannot stand, a long neck but no head; I eat the maid's life. What am I?",what am i
basketball,"I am not wet, yet dribbling I can be. Pimples I have, yet happily people touch me, I do not have legs yet I still find a way to get up in the air, When I hear a buzz, I am ignored till I hear another.  What am I?",what am i
glove,"I do not contain flesh, feather, or scales; yet I have fingers and thumbs. What am I?",what am i
blood bank,Deposit red liquid in me. What am I?,what am i
salt,"Shake me and I'll do what you want, but first you have to pull me from the ground.I'm on the tip of your tongue and over your shoulder.What am I?",what am i
celestial body,"I can kill people, but without me there would be no people. I was born long ago and will someday die. I can cause fire and am a magician with water. I have more brothers than any person. There is very little that can stop me.What am I?",what am i
ice,"There is a thing that if you put in water and get out, put it back for about 2 minutes, you won't see it again. What is it?",what is it
poppy,"In Flanders fields, where once was blood, From battles for so few yards of mud, I woke from such slumber deep, And mocked the blood the havoc wreaked. But now I show our future hope, And enable veterans to cope, By provoking memories of blood, Before new battlefields can flood. What am I?",what am i
toes,"I am one of many, You forget I'm here, but I'm just below. Without me, you'd surely topple, Go ahead, what am I?",what am i
flower girl,I frolic down the aisle to announce here comes the bride. And on my merry way I drop petals by my side. Who am I?,who am i
onion,I can be white brown or purple and I make people cry and I only Yates sweet when cooked  What am I?,what am i
bullet,In a tunnel of darkness lies a beast of iron. It can only attack when pulled back. What is it?,what is it
road,I am longer than trees I am longer than earth . but lower than grass What am I?,what am i
paper cut,"While you were folding a letter I got you.Usually you will do whatever it takes to avoid me,but now you can't help but find me.What am I?",what am i
vitamin,I am the minerals vital for your good health. What am I?,what am i
justice,"I cut through evil like a double edged sword, And chaos flees at my approach. Balance I single-handedly upraise, Through battles fought with heart and mind, Instead of with my gaze. What am I?",what am i
book,So much knowledge between dog ears. What am I?,what am i
fingers,"I have four of these, With matching extremities. They can do many things, And hardly ever bring me pain. Unless I stick them with a pin, Or burn them sometimes when.  What is it that I can wiggle at will? And use in other means still?",what is it
bloom,What is it flowers do that rhymes with room?,what is it
coffin,"If you can touch it, you cannot go in. If you cannot touch it, you can go in. What is it?",what is it
United Nations,"Born in October of 1945, Yet I never once uttered a baby's cry. My well known family has grown very large with the years; I have no parents, spouse, siblings, children nor do I cry tears. My house is full of people each day, Yet they each prefer to go their own way. Who am I?",who am i
mountain,"It's easy to see me, Not easy to atop me, Clouds hang around me, And people like to slide down me. What am I?",what am i
skin,"You'll find me all around you; I can be clear but not seen through; If I get cut you can glue me shut, but I can do it too. What am I?",what am i
alligator,It floats like a log. It look likes a log. But it isn't a log. What is it?,what is it
keyboard,A name of an animal minus the first three letters plus a flat piece of wood. What am I ?,what am i
reflection,"You can't see me, just as the person next to you can't see theirs. Of course the only way that you can see me, is through a mirror. What am I?",what am i
equal,"Read my riddle, I pray. What God never sees, what the king seldom sees, and what we see every day. What is it?",what is it
camera,I shoot but never kill. What am I?,what am i
rope,I am a piece of equipment that has hundreds of uses; I can even be used to save a life! I am not a medicine and I am non-electric. I come in all shapes and sizes. It doesn't require much specialist training to be used. What am I?,what am i
