Word,GoldRiddle,GenRiddle
yawn,"I herald the darkness which descends on all creatures; You will know my approach by moans and wracked features. I visit the hippo, hyena, and horse, But never go near snails and spiders, of course. I would circle the globe, leaping one to the other, Should all the world's people ever clasp hands together. What am I?",
Fire,"I eat, I live. I breathe, I live. I drink, I die. What am I?",What is as unforeseen as fire and as catastrophic as fire and as unexpected as sport_injury and as tragic as Nikola_Tesla  ?
goblins,"In caves of mold, in depths untold. We harvest a crop of silver and gold. Lacking in light, we seek to fight. We vanquish our foes, though terrible in might. What is it?",
pearl,"I live in water If you cut my head I'm at your door, If you cut my tail I'm fruit, If you cut both I'm with you What am I?",What is as porous as marble and as hard as scotch and as flammable as rubber and as suspended as dust  ?
birthday,"You get many of me, but never enough.    After the last one, your life soon will snuff.    You may have one of me but one day a year,   When the last one is gone, your life disappears.     What am I?",What is as trivial as conduct_charge and as economic as household and as major as dishwasher and as larger as crabs  ?
diary,"Tell me your secrets, and they'll never be spoken. But leave my lock open, and they will be taken.  What am I?",What is as written as deed and as optical as cd and as interactive as map and as organic as carrot  ?
bed,"You use it every day, you make it every day, you have to go to it every day. What am I?",What is as inanimate as car and as handheld as knife and as lethal as explosive and as hazardous as oil  ?
candle,I am young as I am taller and I am older as I get shorter  what am I ?,
beef,"I'm from the Old World, and my name from Latin; I can be cured, or served with au gratin. What am I?",
wine,"Many partners could be mine,  I'll not choose one to love,  A priest's embrace may raise me up,  He'll claim it was not me.   No gent are you, you'll surely ask,  My age before you flirt,  To kiss your lips would be divine,  Though soon, you'll knock me back.   Seducers use me all the time,  Their eyes upon another,  Some say they're gents, but post a roll,  In gutter, I am thrown.   Even with legs, I will not run,  I'll stand on one alone,  I may reveal the words of truth,  No secret will I say.   What am I?",What is as italian as lasagna and as mexican as paprika and as pungent as cinnamon and as natural as snake  ?
diary,"My author's uncertain yet my title's the same,  I contain random text yet order's my aim.   Read me one day and see my pages are totally bare.   Try again another day and the words will be there.   I'm not a book of magic although it may sound,  I can predict the future, and inside, your life can be found.   Move my eye, I become involved in lactic extraction.   But that's just a clue , a minor distraction.    What am I?",
shipwreck,"Through its wounds, water does run. It once held many but now has none. What is it?",What is as impenetrable as fence and as natural as opium and as psychoactive as nicotine and as harmful as tick  ?
bullet,I am a monster in a dark tunnel.  Pull me back and I will bite you.  What am I?,What is as silver as silver_knife and as silver as cup and as flat as turbot and as marine as dolphin  ?
appearance,I'm pleasing to the eye   A tool for many absent of mind   A tapestry of fickle lies   Blind to even the most pensive spies   I'm often the breeder of fervent lust   But I am by far one you shouldn't trust.    What am I?,
cd player,"You switch on my button, I sing for you. You decide my volume, You decide my song. What am I?",
screw,"I like to twirl my body but keep my head up high.  After I go in, everything becomes tight.  What am I?",
stable,"As a whole, I am both safe and secure. Behead me, and I become a place of meeting. Behead me again, and I am the partner of ready. Restore me, and I become the domain of beasts.What am I?",
library,"I am a place you must be quiet in, Even though much information is shared within, I have everything you need in order to learn, But the people who run me are often stern. What am I?",What is as social as compassion and as violent as Joseph_Stalin and as shrewd as Noam_Chomsky and as intelligent as Henry_Kissinger  ?
earth,I am bigger than Venus but smaller than Uranus.  I am a living rock.  What am I??,What is as conductive as nickel and as noble as Professor_Charles_Xavier and as clever as Sergey_Brin and as insightful as William_Shakespeare  ?
fire,"When I Eat I am alive, But when I drink I die.  Who am I ??",What is as major as diabetes and as autoimmune as endometriosis and as systemic as bacteremia and as intestinal as acidophilus  ?
school,There is a house. A person enters this house blind but exits it seeing. What is it?,
music,"At the sound of me, men may dream, Or stamp their feet. At the sound of me, women may laugh, Or sometimes weep. What am I?",What is as social as politics and as serious as quadriplegia and as severe as hail and as tropical as ebony  ?
mountain,"What has roots that nobody sees, and is taller than trees.   Up, up it goes, and yet it never grows.   What is it?",
mouse,"My tail is long, my coat is brown, I like the country, I like the town. I can live in a house or live in a shed, And I come out to play when you are in bed. What am I?",
phone,"You answer me, yet I never ask you a question. What am I?",
staircase,It turns into a different story. What is it?,
bell,"It speaks with a hard tongue, it cannot breathe, for it has no lung. What is it?",
chocolate,"Oh how you love me: to some I'm a must. But to get what you need, you grind me to dust. I am dark and bitter, and when I'm white I lack meat. In winter you drink me, and in spring I'm used in a feast. I am a tree of summer and in autumn I'm a gift on an eve, while all year round I'm quite the reprieve.   What am I?",What is as delicate as eyes and as vulnerable as rider and as determined as Jack_Reacher and as stern as Yoda  ?
piano,"I've got a lot of keys, eight and eighty to be exact. Yet there's not a keyhole in the world to fit them, and that's a fact. What am I?",What is as modern as spanish and as semitic as aramaic and as figurative as alliteration and as crystalline as semiconductor  ?
cigarette,"I am slim and tall,  Many find me desirable and appealing.  They touch me and I give a false good feeling.  Once I shine in splendor,  But only once and then no more.  For many I am ""to die for"".  What am I?",
snowflake,"I fly when I am born, lie when I'm alive, and run when I am dead.  What am I?",
cross,It can look like a TIt can look like an XThey can be found on chains. Hung around peoples necks. What is it?,
thunder,I make noise yet you don't see me make it. I alarm for good yet sometimes for worse. I have a companion. What am I?,What is as scary as cave and as public as square and as closed as dumpster and as shallow as Jeremy_Paxman  ?
reflection,I have arms but cannot carry a thing. But wave at me and I wave back at you. What am I?,What is as visible as neck and as hazardous as mine and as accessible as airport and as secure as plywood_panel  ?
stamp,"I travel all over the world, but always stay in my corner. What am I?",
nightmares,"I can't t hurt you, but I can leave you with scars. Nobody wants me, but everyone has me. But you are the only one who can see me. What am I?",
burn,"I'm what one does to their victim if they cheat.I result from something cooked you overheat.I'm in your legs when running hard down the street.Do me plus ""out"", your energy will deplete.Thanks to me, your digital copy's complete. What am I?",
komodo dragon,"I live in a hot, dry, rock islands of Indonesia.  I eat carrion and live snakes, deer, goats and birds.  I am 3m long and weighs up to 136kg.  What am I?",
elephant,It is said I never forget. I am gray; I have a trunk. What am I?,What is as hoofed as horse and as powerful as church and as public as local_government and as complex as cancer  ?
dog,People are scared of me but I am loved by some. I can be your best friend but could become your enemy in a blink of an eye. What am I?,What is as mammalian as coyote and as larger as starling and as rare as ebony and as precious as emerald  ?
shadow,"As fast as an eagle, as slow as a slug. As tall as a tree, as small as a bug. Sometimes in front, sometimes behind. Never on top, and always aligned. What is it?",
Nothing,"The rich people want me, the poor people have me, if you eat me you die. What am I?",
stapler,"The things I bite, they don't bleed, I don't bite until you push me; I bring my victims together each time I bite, But they'll come undone if you pull it just right. What am I?",
road,"This is an old Canadian riddle from 1300-1900 AD. What is it that which goes up the hill.And down the hill, And of all yet standeth still?",What is as rigid as Captain_William_Bligh and as handsome as Tony_Stark and as entertaining as Tony_Stark and as sardonic as Muhammad_Ali  ?
death,"Some try to hide, and some try to cheat, but time will show, and we always will meet. Try as you might, to guess my name, I promise you'll know when you I do claim. Who am I?",What is as demographic as weight and as negative as dishonesty and as positive as love and as aesthetic as elegance  ?
future,I am always in front and never behind. What am I?,
hippo,I have four legs.                                                   I live in Africa. I am big and grey. I live in the river.  What am I?,
dust,People are hired to get rid of me.    I'm often hiding under your bed.    In time I'll always return you see.    Bite me and you're surely dead.    What am I?,
palm tree,My first word has lines that intersect.My second has limbs that grow erect.My whole in cold spots you'd not expect. What am I?,
lava,"The bottom heats, The top cools, And little blobs.Swim in my pools. I can be different colours, And be a source of light, A bedroom accessory, I light up the night!  What am I?",What is as volcanic as lava_flow and as complex as cardiovascular_disease and as chronic as cardiovascular_disease and as degenerative as arthritis  ?
dreams,I go through you fast but you see me slow.  What am I?,
onion,"Some sad, some good, some bad, some great.   WHAT AM I??????????",
glasses,"Without a bridle, or a saddle, across a thing I ride astraddle. And those I ride, by help of me, though almost blind, are made to see. What am I?",What is as loose as sheet and as organic as broccoli and as raw as celery and as dried as rigatoni  ?
venom,"I have no fangs, yet I constantly bite.   I have no scales, yet I slither through you.   What am I?",
paradox,"I am and yet cannot. I am an Idea, yet can rot I am two but none. I am on land, but on sea. What am I?",
love,I multiply and add when you divide me with others. What am I?,
feather,I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt. My merest touch brings laughter. What am I?,
snail,I have a foot but no legs. What am I?,
phone,"You answer me, although I never ask you questions. What am I?",
statue,"They say the eyes are windows to your soul, But yet I had no soul, Through time to time I always stand tall, An immortal, Nothing could move me, If I could, I would run as fast as I could, Feeling the wind carry me beneath my feet, But alas, I can not, The Medusa's Curse What am I?",
egg,Ice melts when heated up. But I solidify when I'm heated up. What am I?,
Hurricane,I have an eye but cannot see.  I am stronger and faster then any man alive but have no limbs.   What am I?,
human heart,"It is Cold and it is Hot,  It is White and it is Dark,  It is Stone and it is Wax,  Its true nature is Flesh,  And its color is Red.    What am I?",
top,I am present in a laptop. I am also a human's t-shirt. I have the highest mark in class. I am usually described as something above. What am I?,
nike,"I am a tick, I am usually black or white, You will find me on many clothing, People think I am cool.What am I?",
traffic light,"I stare at you, you stare at me. I have three eyes, yet can't see. Every time I blink, I give you commands. You do as you are told, with your feet and hands. What am I?",
anchor,I keep boats from moving through the water. What am I?,What is as nautical as boat and as private as hospital and as sensitive as face and as vulnerable as woman  ?
air,"I'm in every room, yet outside. I move at different paces, but you never see me moving. Where ever I am its crowded, but when your there you don't see or feel anyone. If you try to hit me you always miss, yet you always feel me. You need me to live, but I cause disasters. What am I?",
phonebook,"A book once owned by the wealthy, now rare to find. Never for sale and often left behind. What am I?",
christmas tree,"My born colors are mint and cherry, usually I am covered with bright orbs and lights off fireworks circling me, what am I?",
age,"Those who have it least don't know that they have it.  Those who have it most wish they had less of it, but not too little or none at all.  What is it?",
lie,"I'm sometimes white, and always wrong. I can break a heart and hurt the strong. I can build love and tear it down. I can make a smile, but more often bring a frown. What am I?",
pencil,"As a stone inside a tree, I'll help your words outlive thee. But if you push me as I stand, the more I move the less I am.What am I?",
frog,I have a puppet thatrhymes with dog.It is a little green And sits on a log!What is it?,
myself,Not my sister nor my brother but still the child of my mother and father. Who am I?,
pillow,"I get squished, smoothed out. In the morning I feel 3 pounds lighter, I get hot when being all smothered with filthy skin. Please take a shower before you use me. What am I?",
paper,I sometimes have paint put on me but I'm not a wall. I come from trees but I'm not a fruit. I get put in a printer but I'm not ink. What am I?,
roads,I run in and out of town all day and night but I never get tired.   What am I?,
heroine,"My first two are male, and my first three female.My first four save them both, and my whole is a female of the same sort.What am I?",What is as deadly as Jason_Voorhees and as ruthless as Count_Dracula and as determined as Conan_the_Barbarian and as agile as Kobe_Bryant  ?
scarecrow,"Although raised to conquer it, I first have to embrace it, and now it is my weapon of harm. Who am I?",What is as inflatable as balloon and as artificial as concrete and as solid as pine and as beautiful as oak  ?
vacuum cleaner,I have a big mouth and I am also quite loud! I am NOT a gossip but I do get involved with everyone's dirty business. What am I?,
mirror,"I am square or rectangle, i see you in the bathroom, i see at school, i even see you at all the stores, when im dirty you clean me, when im broke you fix me, what am i?",What is as smooth as wall and as exterior as concrete and as impermeable as concrete and as concrete as roads  ?
soda,When it's gone bad and flat I hate it but when it's fresh and fizzy I love to taste it. What is it?,What is as clear as tequila and as edible as banana and as animal as dog and as marine as freighter  ?
shadow,"Its right behind you,And creeps on the ground,It follows you home,But does not make a sound.Careful when you turn around.What is it?",
parking lot,"A thousand wheels, but move i do not call me what i am, call me a lot what am i ??",
clock,I have 2 hands for only one use. I come In many different shapes. What am I?,What is as mechanical as hardness and as structural as elastin and as major as medicine and as classical as chlorpromazine  ?
mountains,"What has roots that nobody sees, and is taller than trees.  Up, up it goes, and yet it never grows.  What is it?",
smoke,"There may be a houseful or a holeful,but you cannot catch a bowful.  what am i??",What is as airborne as fumes and as toxic as hydrogen and as harmful as lead and as catalytic as copper  ?
eye,"A hole in a pole. Though I fill a hole in white, I'm used more by the day and less by the night. What am I?",
rubik's cube,"Red and orange, blue and green, touching brothers yellow and white.  The final solution is always in sight.  Yet only by minds sharp and keen.  What am I?",
rubber ball,I get thrown in the air and will fall down: I get thrown down and I will rise in the air What am I?,
phone,I can distract you and I can hurt you.  You always check me out regularly.  What am I?,What is as portable as pistol and as light as linen and as heavier as tank and as recreational as campground  ?
headache,"""Name an English word of more than 2 letters that both begins and ends with the letters ""he"" in that order, there are two possible answers. What is it?""",What is as persistent as Francis_Crick and as farseeing as Albert_Einstein and as inspirational as Wolfgang_Amadeus_Mozart and as inscrutable as Obi-wan_Kenobi  ?
piano,"I am played by ages young through old, Performed and practiced by many a few. Your focus and creativity tested ten fold, As it will take much time from you. My blacks and whites can not be told, But with your hands are pressed. This method of art can't be sold, By anyone who doesn't make it their best. I was first made many centuries ago, Intended for works of virtuosic motion. Then my style was changed after Antonio, To vary genres of drama and emotion. More can be told by my abilities known, As I range in pitches by plenty. I sound elegant with a crowd of tone, But am also sung with or alongside many. What am I?",
mosquito,"I am an object, everywhere I go people clap for me. What am I?",
heart,What am i? I am with you.  I hold your love hate and fair likeness.  I beat to my own rythm at different times. What am I?,
experience,You can get it from doing nothing and everything.  The wise and foolish both have it.  The more and less you have of it the better and worst you are in life.  Time is only boundary that keeps us from obtaining it.  Most take this value for granted.  There is NO device to measure it.  It governs all and can never be tamed.  You gain it by solving this riddle.  What is it???,What is as relevant as receipts and as electronic as internet and as natural as cotton and as artificial as pier  ?
coffin,"The man who needs me doesn't want me.  the man who makes me dosen't need me, and the man who has me dosen't know he has me. what am i",
energy,"I come from the everyday food that you eat, I also come mostly from wheat. I start to go away when you start to walk or run, So don't go around having too much fun!  What am I?",What is as strategic as George_Washington and as visionary as Robin_Hood and as bold as Buzz_Lightyear and as noble as mahogany  ?
runny nose,"I can run constantly without ever getting tired.   When I run, I frustrate people and drive them crazy,  Yet I don't even have to move to irritate you.   What am I?",
contact lens,Tiny flower bowl.Filled with an iris.Gives the gift of sight. What am I?,
heart,"I can be lost, yet still without. I can be given, yet still kept. I can be broken, yet in one piece. I can be stolen, yet still in your grasp. What am I?",What is as muscular as Charles_Atlas and as fatalistic as Sarah_Connor and as wilful as Spartacus and as daring as Amelia_Earhart  ?
stress,I come to you when life is full.People say that I am rather cruel.I leave you knotted and confused.and when I am gone you'll feel alive and enthused! What am I?,
human brain,"I can't speak, as I have no mouth, but I named myself. What am I?",What is as heterogeneous as silicon and as flat as card and as flat as forehead and as sensitive as plastic  ?
chimera,"I'm formed of incongruous parts, and my first five letters identify a metal object that makes music.  What am I?",
microwave,"I could seem to mean small water. But in reality if you use it, something will be hot, while not using it, something will stay cold. What am I?",What is as major as biology and as diverse as medicine and as scientific as Walter_White and as smart as James_Bond  ?
elevator,"Question: I can't go left, I can't go right.  I am forever stuck in a building over three stories high.  What am I?",
swan,"My dress is tranquil when I tread the earth, or dwell at home, or drift on the water. Sometimes my wings and this wide sky lift me over the dwellings of men, and then strong clouds carry me over the people. My ornaments echo loudly and melodiously, Illustriously sing when I am not near the earth and stream, a sailing spirit. What am I?",
tree,"My rings are not worth much, but they do tell my age. What am I?",
stars,"At night they come without being fetched, And by day they are lost without being stolen.  What is it?",
hearse,"I'm sometimes white, Although sometimes I'm black. I take you there, But never bring you back. What am I?",
breath,It weighs next to nothing but no one can hold it for long.   What is it?,What is as focal as window and as closed as cone and as impervious as sand and as compressible as cushion  ?
Hyphen,"My first is high, My second damp, My whole a tie, A writer's cramp. What am I?",What is as typographical as letters and as individual as honesty and as masculine as aggression and as geometric as length  ?
camera,A device that nearly everyone has that can freeze anyone it sees what is it?,
boloon,what can you through it off a clif and it wont pop. when you use a forek it pops. what am i??????,
courage,"I am born in fear, raised in truth,   and I come to my own in deed.    When comes a time that I'm called forth,   I come to serve the cause of need.   What am I?",
alphabet,"I have an eye but am blind, a sea, but no water; a bee, but no honey; Tea but no coffee; and a why, but no answer. What am I?",
sharpener,"I eat as you turn me,  my blade cutting wood,   when I am full,  empty me you should.     What am I?",
tissue,"Round and round, in circles I go.How it diminishes me so. For starters, I am looking great.But subject to the hand of fate. My purity has been defiled.Sent on a journey, wet and wild. Once I've been used up to the core.My twin starts the cycle once more. What am I?",What is as thin as meat_patty and as nutritious as juice and as acidic as tea and as strong as General_Zod  ?
butterfly,"I have 16 legs then, I sleep for about a fortnight and a merge with 6 legs. What am I?",What is as interesting as philosophy and as mathematical as algebra and as abstract as property and as abstract as color  ?
chalk,Used on a diamond and left on a board. It's great for a gymnast his grip to restore. What is it?,What is as dry as bean and as dried as ziti and as favorite as checkers and as competitive as football  ?
tongue,"I am boneless, small, and weak, yet can crush and kill; the speed of what comes out of me outstrips the steed. My great storehouse is your heart. Keep me to keep your soul from troubles. What am I?",What is as internal as tapeworm and as animal as cat and as rosaceous as plum and as large as gaur  ?
finger,"I am tall sometimes im short, wide sometimes thin and i acompany three others.  what am I?",
pacman,"I spend most of my day eating white.  When I am quick enough, I get rewarded with fruit and somethings blue.  In a dark room with blue walls, I run from the ghost that roam the halls.  What am I?",
menorah,I am a special candle holder for Hanukkah. I have eight candles and one special candle called a shamash that lights all the other candles. I represent the miracle of the oil lasting for 8 days. What am I?,What is as sacred as sanctuary and as urban as mouse and as larger as butterfly and as social as business  ?
graveyard,"In this place, people lie, people cry, and people ask why. In this place, people sleep, people weep, and people's solitude, they keep. What is it?",
basketball,"I am not wet, yet dribbling I can be. Pimples I have, yet happily people touch me, I do not have legs yet I still find a way to get up in the air, When I hear a buzz, I am ignored till I hear another.  What am I?",
diamond,"I may be hard, I may be rough,Bound in the round to claim a love.What am I?",What is as geometric as cylinder and as geometrical as cone and as rough as heel and as diverse as yeast  ?
skin,"When liquid splashes me, none seeps through. When I am moved alot, liquid I spew. When I am hit, color I change. And color, I come in quite a range. What I cover is very complex, and I am very easy to flex. What am I?",
coal,"Black as night I can be, Until my Mother sits on me; Then clear as ice I become.In the rough, thank you Mum. What am I?",
actor,"I must cry even if I am happy, and be angry even if I am sad. People adore me, but don't always see who I really am. What am I?",What is as passionate as Romeo_Montague and as persuasive as Rush_Limbaugh and as erudite as Gore_Vidal and as cunning as Richard_B._Riddick  ?
water bottle,My first can be seen extensively from outer space.My second may originate from an arid place.My whole is a good companion while running a race. What am I?,What is as everyday as magazine and as handmade as painting and as visual as drawing and as static as drawing  ?
eye,"Pronounced as one letter, And written with three, Two letters there are, And two only in me. I'm double, I'm single, I'm black, blue, and gray, I'm read from both ends, And the same either way. What am I?",What is as visible as face and as exotic as toucan and as breeding as common_merganser and as seasonal as asparagus  ?
frog,I have four legs and am covered withe spots but I also go in the water and can go back on land.  what am I?,What is as wild as duck and as breeding as cows and as feral as cat and as native as frog  ?
neddle,"I am the smallest eye,        what am I?",
piano key,"I am a key but i open no door  I will never fit into any lock  I help to play music but only with others of my own kind  I can not do my job alone,    What am I?",
moon,"People have stepped on me, but not many. I never stay full for long. I have a dark side. What am I?",
bright,"I act like a lamp, but i have the sound of a bee. What am I?",
your shoes,"I walk with you almost every day, yet you never notice me.  You step on me, but you never say sorry.  What am I?",
heart,"It can be said: To be gold is to be good; To be stone is to be nothing; To be glass is to be fragile; To be cold is to be cruel; Unmetaphored, what am I?",
acorn,"I am small and round lying on the cold, cold ground.  People come and step on me that's why I'm so cracked you see.  What am I?",What is as heavy as excavator and as basic as physiology and as biological as antibody and as interfering as detergent  ?
envelope,"I can deliver but cannot walk, I can say things but have no mouth, I am small but can contain big things. What am I?",
cherry,There is a little man Wearing a red coat Holding a stick With a stone in his throught  What is it?,What is as sweet as muscat and as spanish as rice and as fresh as chive and as aromatic as cedar  ?
belch,I am the reaction after enjoying soda. What am I?,What is as natural as sunshine and as cognitive as reasoning and as musical as Nigel_Tufnel and as witty as Robert_Downey_Jr.  ?
curtains,"I'm the eyelid to your life and hide you when you're inside.You can draw me and you can pull me, but you must leave to see my good side.What am I?",
snowflakes,"Ne'er the same, In multitude you see me. You love me, you hate me, What am I?",
tree,"Note: The structure of this riddle is modeled after those written in old English, where alliteration takes center stage just as much as rhyme. I am a giant,                            an ancient king.With many a jewel        by my neck are hanging.Then a monster comes,           a heartless thief. The bite so bitter                      brings me grief. It takes my treasure,              my riches untold, My rubies, my emeralds,       my silver, my gold. What am I?",What is as familiar as herb and as multicellular as human and as ruminant as deer and as big as buffalo  ?
Best friend,"I am the family you chose, with me by your side, you'll never lose! Who am I?",
pond,Im a object that reflect of other object. I am coverd with many gallons of water/iam a coverd with with water. In the dark you would not see it.  when its light you will?what am i????????,
grapes,"Crushed beneath trampling feet, kept in darkness and cold. I am useless if I have suffered not; but having suffered, my temper is sweet and strong to all those who partake. What am I, at start?",
tooth,"I'm white, and used for cutting and grinding. When I'm damaged, humans usually remove me or fill me. For most animals I am a useful tool.What am I?",
diploma,I am a piece of paper that takes most people 3 or 4 years to get. What am I?,
kite,"I love to dance and twist and prance, I shake my tail, as away I sail, wingless I fly into the sky. What am I?",
lightning,"My tines be long, my tines be short. My tines end ere, my first report. What am I?",What is as elemental as silicon and as covalent as carbon and as simple as pulley and as industrial as nickel  ?
windmill,"I have four wings, but cannot fly, I never laugh and never cry; On the same spot I'm always found, toiling away with little sound. What am I?",What is as mechanical as bearing and as structural as secondary_structure and as natural as opium and as organic as manure  ?
time,"Some people see me to be linear, to others I'm not. I'm always marching forward and can never stop. I watch you in your days until we have to part ways. What am I ?",
shoes,"I walk with you almost every day, yet you never notice me. You step on me, but you never say sorry. What am I?",What is as tight as belt and as sexy as thong and as appropriate as shorts and as comfortable as leotard  ?
tea bag,"I go in dry and come out wet, The longer I’m in, the stronger I get. What am I?",
refrigerator,I keep food cold so it doesn't grow mold. What am I?,
future,I am all ways in front of you but can never be seen think of tomorrow and you'll know what I mean what am i?,
cheerios,"Maybe you eat me, perhaps you don't. Leave me alone too long and I'll get soggy, but either way I still float. The beginning of my name is the same word for happy; the rest comes before the letter ""p"".  What am I?",
Post Office,I am two words with thousands of letters in me. What am I?,What is as civic as school and as local as fish and as fresh as thyme and as dried as date  ?
balloon,I get pumped up with air                I am can float              If you give to much air i bust                   What am I?,
spectacle,"I spread open my legs, slide the face between them, and put my bridge on the face's nose. What am I?",
bookworm,"Though learning has fed me, I know not a letter; I live among the books, Yet am never the better. What am I?",
teddy bear,Lifeless eyes on my smiling face and watch your child's sleeping place. In their dreams they hold me tight. Who am I?,
breath,"I am free for the taking. Through all of your life, though given but once at birth. I am less than nothing in weight, but will fell the strongest of you if held. What am I?",
pupil of an eye,"Different lights do make me strange, thus into different sizes I will change.   What am I?",
haiku,"I'm five in the start, I'm seven in the middle, And I'm five to end. What am I?",
traffic light,"I have three eyes and one leg. If you disobey me, you will surely be punished. What am I?",
railing,i go up and down the stairs what am i,
beaver,I am a busy worker who is a water mammal. What am I?,What is as larger as butterfly and as beneficial as feverfew and as fragrant as jasmine and as exotic as macaw  ?
coffee,"A necessity to some, a treasure to many, I'm best enjoyed among pleasant company. Some like me hot, some like me cold. Some prefer mild, some like me bold. What am I?",What is as tropical as leprosy and as debilitating as glaucoma and as serious as theft and as traditional as basketball  ?
trampoline,I am a toy and can be any color. I make you and your friends jump up and down. Everyone stand on me and bounce! What am I?,What is as gymnastic as mechanical_exerciser and as electric as cellular_phone and as electric as lightning and as electropositive as palladium  ?
table,I have four legs but never walk   I may be covered in flowers but have no soil   I hold food three times a day but never eat a meal.   What am I?,
mississippi river,I have five i's but cannot see  I have a mouth but cannot speack  I have a bed but do not sleep  What am I?,
quilt,"I am made of scraps and rags, Yet when I am put together, I keep you warm in the winter. What am I?",What is as plush as moose and as nocturnal as mouse and as unwanted as spyware and as electronic as cd  ?
puppy,I'm like a dog with the tail that wags and all but am not a dog. What am I?,
peanut,"A structure with two occupants, sometimes one, rarely three.   Break the walls, eat the boarders, then throw away me.   What am I?",What is as young as lettuce and as savory as pasty and as tasty as soup and as heavier as truck  ?
crane.,"It has a long neck, a name of a bird, feeds on ships' cargo, and is not alive.  What is it?",
past,"I am a stain in your memories, many times you question me. What am I?",What is as popular as cocaine and as illegal as expense-account_fraud and as spiritual as kindness and as personal as cash  ?
Cheese.,"Not born, but from a Mother's body drawn, I hang until half of me is gone. I sleep in a cave until I grow old, then valued for my hardened gold. What am I?",
crane,"I have a long neck,   I'm  named after a bird,   I Feed on cargo of ships  I'm  not alive    What am I ?",
minerals,"I can be hard, I can be soft. I can scratch my fellow self, or I can be scratched. I'm not always as strong as another version of me. I can be used as a form or communication, as well as presents or luxury. Inside and outside the earth's crust I am made, and waiting times range from one day to millions of years. I come in many colors when I am solid, and I can also be grouped together to make another common solid. Controversy has been made about health concerns in which I am removed from the earth, from disease to sudden death.  While a certain few are mentioned above, I grow constantly under your feet.  Little do you know you always walk on me, even when you don't try.  Mountains, mines, I can be found anywhere, my rarity ranges from diamond to the most common pencil.  I am collected, sold, extracted everyday.  You use me so commonly that you may not realize I am what I am.  I have many different names, hundreds at least, but I am categorized under one name.  What am I?",
penmanship,"I am a word of three syllables, each of which is a word; my first is an article in common use; my second, an animal of uncommon intelligence; my third, though not an animal, is used in carrying burdens. My whole is a useful art. What am I?",What is as written as deeds and as financial as theft and as petty as Napoleon_Bonaparte and as cocky as Dr._Eldon_Tyrell  ?
coarse,I'm rough to the touch; Blood does me through veins; I can be taken in math; The path of a plane. What am I?,
love,I am the hardest thing to create and maintane but I am very easily broken what am I?,What is as abstract as faith and as scientific as chemistry and as influential as Rupert_Murdoch and as wealthy as Dr._Eldon_Tyrell  ?
pixel,You need thousands of me to create a digital image what am i ??,
shoes,"Runs over fields and woods all day Under the bed at night sits not alone, With long tongue hanging out, A-waiting for a bone. "" What am I?",What is as useful as goat and as aquatic as surfing and as outdoor as porch and as sensitive as airport  ?
stapler,"With pointed fangs it sits in wait, With piercing force it doles out fate, Over bloodless victims proclaiming its might, Eternally joining in a single bite. What is it?",What is as simple as screwdriver and as useful as cattle and as predatory as swordfish and as white as white_paper  ?
eraser,"Although I'm far from the point, I'm not a mistake. I fix yours. What am I?",What is as inexpensive as fan and as basic as egg and as starchy as barley and as unrefined as egg  ?
horizon,"When you stop and look, you can always see me.  If you try to touch you cannot feel me.  I cannot move, but as you near me, I will move away from you.  What am I?",
onion,When you peel me you cry what am I?,
coffee,"Discovered in Africa, I spread like a tide to become a hotstaple known the world wide.  A necessity to some, a treasure to many, I'm best enjoyed amoung pleasant company.  Some like me hot and some like me cold.  Some prefer mild, others only bold.  Some take me straight, while some savor my essence to which has been added a  flavor.  So put down your cares and sit awhile with me; I'll send you back refreshed and full of energy.    What am I?",What is as powdered as spice and as traditional as tamale and as sugary as malt and as volatile as water  ?
touchscreen.,"I can sense your touch, but can't feel it. What am I?",
feather,I am the outstretched fingers that seize and hold the wind.  Wisdom flows from me in other hands.  Upon me are sweet dreams dreamt.  My merest touch brings laughter.  What am I?,What is as colorful as Leonardo_Da_Vinci and as cunning as Le_Chiffre and as controlling as Hans_Gruber and as cynical as Indiana_Jones  ?
imagination,"I can invent dreams or open the skies. It's easy to use me, just close your eyes. What am I?",
dog,"The earth is black and white to me.Other colors I can not see.Some call me man's best friend.Give me a bone, a lick I'll lend. What am I?",
clock,"This thing runs but cannot walk, sometimes sings but never talks. Lacks arms, has hands; lacks a head but has a face. What is it?",What is as functional as amine and as disadvantaged as youth and as entertaining as Garry_Trudeau and as eloquent as Bill_Clinton  ?
pair of tongs,"Long legs, bandy thighs,  A litte head and no eyes.    What am I?",
secret,"What is it that is too much for one, enough for two, and nothing at all for three?",
leaves,"I am around when the days get short, and the nights long.  I am everywhere that you can see.  I scream undertoe when you walk over me.  What am I?",
fire escape,My first's in a barbecue grill's destiny.My second removes you from catastrophe.My whole affords you a downward route to flee. What am I?,
age,"I go up and never come down no matter how hard you wish. As I get higher, more wrinkles crawl onto the face. What am I?",What is as firm as halibut and as fatty as breast and as dark as whiskey and as darker as orange  ?
lettuce,"It's the only vegetable or fruit that is never sold frozen, canned, processed, cooked, or in any other form but fresh.  What is it?",
rainbow,I am the only bowyoucannot tie.  What am I?,
